Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Richard Bragdon,Steven J LaForest,Anthony Martin,Meriet Gray Miller,Cully Robinson,Daniel Joseph Waggoner,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 1","Riley Brook",39,0,8,5,16,4,0,72,130
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 2","Drummond",31,1,8,12,10,30,3,95,361
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 3","Drummond",31,2,2,4,25,18,0,82,296
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 4","Drummond",37,0,4,8,27,20,0,96,314
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 5","Drummond",27,2,5,7,21,23,0,85,325
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 6","Drummond",29,1,4,7,18,19,0,78,297
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 7","Drummond",29,0,2,5,33,16,3,88,304
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 8","Drummond",60,4,9,10,42,18,2,145,386
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 9","New Denmark",54,2,5,5,45,20,0,131,354
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 10","Salmonhurst Corner",89,2,5,9,29,12,3,149,377
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 11","Burntland Brook",63,3,4,3,16,5,1,95,277
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 12","Saint-André",34,2,2,2,19,21,2,82,197
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 13","Saint-André",33,4,2,6,20,24,2,91,289
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 14","Saint-André",59,2,9,4,37,14,3,128,368
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 15","Saint-André",30,0,3,5,38,17,0,93,236
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 16","Saint-André",26,2,0,9,38,12,1,88,269
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 17","Saint-André",34,3,5,5,37,10,1,95,275
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 18","Grand Falls / Grand-Sault",23,0,2,6,35,17,1,84,343
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 19","Grand Falls / Grand-Sault",42,2,3,8,24,22,1,102,374
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 20","Grand Falls / Grand-Sault",45,2,6,9,56,25,2,145,435
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 21","Grand Falls / Grand-Sault",29,4,1,11,34,23,1,103,335
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 22","Grand Falls / Grand-Sault",38,3,1,5,38,18,0,103,403
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 23","Grand Falls / Grand-Sault",30,0,5,5,27,20,0,87,397
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 24","Grand Falls / Grand-Sault",33,5,5,8,35,11,2,99,428
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 25","Grand Falls / Grand-Sault",34,2,4,11,48,15,2,116,355
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 26","Grand Falls / Grand-Sault",46,0,4,6,31,16,0,103,407
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 27","Grand Falls / Grand-Sault",47,4,7,12,40,17,3,130,433
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 28","Grand Falls / Grand-Sault",41,2,3,10,47,18,0,121,419
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 29","Plaster Rock",65,0,3,14,13,16,2,113,390
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 30","Plaster Rock",30,1,1,10,8,5,0,55,256
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 31","Plaster Rock",45,0,1,8,15,8,0,77,360
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 32","Sisson Ridge",39,1,1,8,11,4,0,64,235
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 33","McLaughlin",74,0,4,13,32,15,0,138,425
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 34","Gillespie Settlement",60,4,4,15,52,20,3,158,436
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 35","North Tilley",138,1,7,20,47,18,1,232,282
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 36","South Tilley",Merged with No./Fusionné avec le n°35,,,,,,,,227
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 37","Juniper",45,2,13,13,24,18,0,115,194
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 38","Upper California",35,1,1,9,19,4,2,71,255
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 39","Aroostook",42,0,3,8,17,5,1,76,244
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 40","Aroostook",51,1,4,10,33,6,0,105,259
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 41","Arthurette",31,1,2,9,19,6,0,68,232
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 42","Arthurette",75,0,6,18,37,14,5,155,371
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 43","Rowena",13,1,7,19,42,5,0,87,429
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 44","Tobique 20",2,1,5,40,32,4,1,85,413
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 45","Currie",36,3,3,5,28,10,0,85,328
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 46","Perth-Andover",22,0,2,3,18,5,0,50,212
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 47","Perth-Andover",32,0,4,12,21,6,0,75,223
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 48","Perth-Andover",32,1,2,12,18,3,0,68,205
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 49","Perth-Andover",31,2,2,21,36,7,4,103,327
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 50","Perth-Andover",40,0,5,12,27,6,1,91,315
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 51","Andover",30,1,3,11,29,3,2,79,350
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 52","Perth",42,3,13,15,20,15,0,108,331
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 53","Johnville",38,0,7,8,30,8,0,91,254
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 54","Divide",43,0,6,13,13,8,0,83,156
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 55","Bairdsville",46,0,2,5,18,11,0,82,267
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 56","Holmesville",47,1,6,5,17,5,0,81,331
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 57","Beechwood",49,1,6,11,13,15,0,95,301
