Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Wilfried Richard Alexander Danzinger,Lorne Gershuny,Diem Marchand-Lafortune,Terry Parker,Nestor Sanajko,Paul Taylor,Arif Virani,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35081,"Parkdale--High Park/Parkdale--High Park"," 1","Toronto",10,0,7,0,24,117,99,1,258,398
35081,"Parkdale--High Park/Parkdale--High Park"," 2","Toronto",13,1,4,2,31,173,104,1,329,472
35081,"Parkdale--High Park/Parkdale--High Park"," 3","Toronto",8,0,3,2,24,103,58,3,201,475
35081,"Parkdale--High Park/Parkdale--High Park"," 4","Toronto",5,0,2,3,10,97,74,1,192,417
35081,"Parkdale--High Park/Parkdale--High Park"," 5","Toronto",10,2,3,0,21,65,58,1,160,571
35081,"Parkdale--High Park/Parkdale--High Park"," 6","Toronto",5,0,3,1,20,107,64,1,201,500
35081,"Parkdale--High Park/Parkdale--High Park"," 7","Toronto",9,0,1,0,21,64,71,0,166,465
35081,"Parkdale--High Park/Parkdale--High Park"," 8","Toronto",3,0,3,1,12,79,92,0,190,499
35081,"Parkdale--High Park/Parkdale--High Park"," 9","Toronto",7,0,2,0,14,60,56,1,140,445
35081,"Parkdale--High Park/Parkdale--High Park"," 10","Toronto",2,0,2,0,18,85,69,1,177,452
35081,"Parkdale--High Park/Parkdale--High Park"," 11","Toronto",6,0,4,0,14,83,80,1,188,468
35081,"Parkdale--High Park/Parkdale--High Park"," 12","Toronto",2,0,1,1,7,51,59,1,122,449
35081,"Parkdale--High Park/Parkdale--High Park"," 13","Toronto",5,0,2,0,29,55,49,0,140,452
35081,"Parkdale--High Park/Parkdale--High Park"," 14","Toronto",3,0,1,0,17,72,48,0,141,435
35081,"Parkdale--High Park/Parkdale--High Park"," 15","Toronto",5,1,4,1,28,72,55,1,167,478
35081,"Parkdale--High Park/Parkdale--High Park"," 16","Toronto",9,0,7,0,28,78,85,0,207,439
35081,"Parkdale--High Park/Parkdale--High Park"," 17","Toronto",2,1,6,0,25,72,93,0,199,445
35081,"Parkdale--High Park/Parkdale--High Park"," 18","Toronto",8,0,3,1,35,83,64,2,196,451
35081,"Parkdale--High Park/Parkdale--High Park"," 19","Toronto",10,1,5,1,27,67,102,0,213,464
35081,"Parkdale--High Park/Parkdale--High Park"," 20","Toronto",2,1,2,1,26,40,81,0,153,456
35081,"Parkdale--High Park/Parkdale--High Park"," 21","Toronto",5,1,3,0,19,50,59,1,138,417
35081,"Parkdale--High Park/Parkdale--High Park"," 22","Toronto",4,0,2,0,26,57,67,0,156,467
35081,"Parkdale--High Park/Parkdale--High Park"," 23","Toronto",6,0,5,0,23,73,44,0,151,463
35081,"Parkdale--High Park/Parkdale--High Park"," 24","Toronto",3,0,2,0,22,72,72,1,172,470
35081,"Parkdale--High Park/Parkdale--High Park"," 25","Toronto",3,0,5,0,22,43,79,1,153,431
35081,"Parkdale--High Park/Parkdale--High Park"," 26","Toronto",14,0,1,0,20,48,58,0,141,428
35081,"Parkdale--High Park/Parkdale--High Park"," 27","Toronto",6,0,3,1,24,65,76,0,175,477
35081,"Parkdale--High Park/Parkdale--High Park"," 28","Toronto",2,0,0,1,9,69,45,1,127,448
35081,"Parkdale--High Park/Parkdale--High Park"," 29","Toronto",4,0,6,0,12,66,58,2,148,433
35081,"Parkdale--High Park/Parkdale--High Park"," 30","Toronto",6,0,3,0,24,63,61,0,157,454
35081,"Parkdale--High Park/Parkdale--High Park"," 31","Toronto",9,0,1,0,19,52,60,3,144,472
35081,"Parkdale--High Park/Parkdale--High Park"," 32","Toronto",2,1,2,0,24,81,31,1,142,433
35081,"Parkdale--High Park/Parkdale--High Park"," 33","Toronto",5,0,4,0,16,73,51,0,149,433
35081,"Parkdale--High Park/Parkdale--High Park"," 34","Toronto",5,0,3,1,27,75,45,1,157,446
35081,"Parkdale--High Park/Parkdale--High Park"," 35","Toronto",7,0,2,0,26,67,57,1,160,441
35081,"Parkdale--High Park/Parkdale--High Park"," 36","Toronto",14,1,6,0,29,59,53,1,163,448
35081,"Parkdale--High Park/Parkdale--High Park"," 37","Toronto",7,0,10,1,19,120,80,1,238,628
35081,"Parkdale--High Park/Parkdale--High Park"," 38","Toronto",5,0,1,0,14,23,40,0,83,344
35081,"Parkdale--High Park/Parkdale--High Park"," 39","Toronto",3,0,2,0,21,37,74,0,137,401
35081,"Parkdale--High Park/Parkdale--High Park"," 40","Toronto",11,0,1,2,17,24,45,0,100,354
35081,"Parkdale--High Park/Parkdale--High Park"," 41","Toronto",3,0,7,0,39,39,75,0,163,474
35081,"Parkdale--High Park/Parkdale--High Park"," 42","Toronto",10,0,4,2,34,63,99,2,214,453
35081,"Parkdale--High Park/Parkdale--High Park"," 43","Toronto",8,0,5,2,42,78,82,0,217,476
35081,"Parkdale--High Park/Parkdale--High Park"," 44","Toronto",2,0,6,0,16,85,72,0,181,430
35081,"Parkdale--High Park/Parkdale--High Park"," 45","Toronto",6,0,4,0,27,83,87,2,209,470
35081,"Parkdale--High Park/Parkdale--High Park"," 46","Toronto",3,0,4,0,21,85,73,2,188,406
35081,"Parkdale--High Park/Parkdale--High Park"," 47","Toronto",6,1,5,0,27,83,67,2,191,457
35081,"Parkdale--High Park/Parkdale--High Park"," 48","Toronto",5,1,10,0,25,70,52,0,163,379
35081,"Parkdale--High Park/Parkdale--High Park"," 49","Toronto",5,0,2,1,24,57,60,0,149,431
35081,"Parkdale--High Park/Parkdale--High Park"," 50","Toronto",5,0,2,0,35,50,67,1,160,454
35081,"Parkdale--High Park/Parkdale--High Park"," 51","Toronto",4,0,1,0,30,42,54,0,131,470
35081,"Parkdale--High Park/Parkdale--High Park"," 52","Toronto",0,0,5,1,28,37,101,2,174,477
35081,"Parkdale--High Park/Parkdale--High Park"," 53","Toronto",4,0,5,1,36,57,63,2,168,564
35081,"Parkdale--High Park/Parkdale--High Park"," 54","Toronto",6,1,4,0,23,40,72,0,146,446
35081,"Parkdale--High Park/Parkdale--High Park"," 55","Toronto",5,1,3,1,23,50,77,1,161,472
35081,"Parkdale--High Park/Parkdale--High Park"," 56","Toronto",11,0,5,0,23,42,93,0,174,468
35081,"Parkdale--High Park/Parkdale--High Park"," 57","Toronto",1,0,7,0,23,65,59,0,155,405
35081,"Parkdale--High Park/Parkdale--High Park"," 58","Toronto",4,1,4,0,26,58,101,0,194,478
35081,"Parkdale--High Park/Parkdale--High Park"," 59","Toronto",4,0,8,1,40,89,115,0,257,520
35081,"Parkdale--High Park/Parkdale--High Park"," 60","Toronto",5,1,3,1,38,66,105,1,220,465
35081,"Parkdale--High Park/Parkdale--High Park"," 61","Toronto",10,0,5,1,53,56,90,1,216,455
35081,"Parkdale--High Park/Parkdale--High Park"," 62","Toronto",4,0,5,0,67,72,122,2,272,483
35081,"Parkdale--High Park/Parkdale--High Park"," 63","Toronto",4,1,1,1,48,63,144,2,264,486
35081,"Parkdale--High Park/Parkdale--High Park"," 64","Toronto",2,0,7,0,79,34,82,1,205,439
35081,"Parkdale--High Park/Parkdale--High Park"," 65","Toronto",2,0,5,1,47,42,80,0,177,447
35081,"Parkdale--High Park/Parkdale--High Park"," 66","Toronto",9,0,10,2,17,61,62,2,163,466
35081,"Parkdale--High Park/Parkdale--High Park"," 67","Toronto",3,0,2,0,33,76,100,0,214,461
35081,"Parkdale--High Park/Parkdale--High Park"," 68","Toronto",3,0,2,0,51,69,139,0,264,485
35081,"Parkdale--High Park/Parkdale--High Park"," 69","Toronto",3,0,2,1,23,51,118,0,198,475
35081,"Parkdale--High Park/Parkdale--High Park"," 70","Toronto",5,0,4,0,24,54,85,0,172,431
35081,"Parkdale--High Park/Parkdale--High Park"," 71","Toronto",6,0,5,0,23,91,61,1,187,413
35081,"Parkdale--High Park/Parkdale--High Park"," 72","Toronto",6,1,4,1,29,84,94,0,219,551
35081,"Parkdale--High Park/Parkdale--High Park"," 73","Toronto",5,1,1,0,19,92,78,0,196,454
35081,"Parkdale--High Park/Parkdale--High Park"," 74","Toronto",4,0,7,1,23,69,71,1,176,413
35081,"Parkdale--High Park/Parkdale--High Park"," 75","Toronto",9,0,10,0,16,67,87,1,190,427
35081,"Parkdale--High Park/Parkdale--High Park"," 76","Toronto",4,0,4,0,22,83,63,0,176,402
35081,"Parkdale--High Park/Parkdale--High Park"," 77","Toronto",4,0,7,1,29,89,77,0,207,456
35081,"Parkdale--High Park/Parkdale--High Park"," 78","Toronto",4,0,1,0,15,28,59,0,107,456
35081,"Parkdale--High Park/Parkdale--High Park"," 79","Toronto",1,0,1,0,14,68,44,0,128,468
35081,"Parkdale--High Park/Parkdale--High Park"," 80","Toronto",5,0,3,1,8,67,65,0,149,516
35081,"Parkdale--High Park/Parkdale--High Park"," 81","Toronto",2,1,0,0,18,57,67,0,145,535
35081,"Parkdale--High Park/Parkdale--High Park"," 82","Toronto",5,0,2,0,21,67,53,1,149,419
35081,"Parkdale--High Park/Parkdale--High Park"," 83","Toronto",0,0,5,0,21,61,70,0,157,463
35081,"Parkdale--High Park/Parkdale--High Park"," 84","Toronto",12,0,2,0,11,82,73,1,181,342
35081,"Parkdale--High Park/Parkdale--High Park"," 85","Toronto",5,1,9,0,20,113,87,1,236,481
35081,"Parkdale--High Park/Parkdale--High Park"," 86","Toronto",11,0,4,0,30,83,76,0,204,441
35081,"Parkdale--High Park/Parkdale--High Park"," 87","Toronto",7,1,4,0,10,57,42,0,121,422
35081,"Parkdale--High Park/Parkdale--High Park"," 88","Toronto",6,0,3,1,43,62,108,1,224,479
35081,"Parkdale--High Park/Parkdale--High Park"," 89","Toronto",0,0,2,0,29,55,97,2,185,428
35081,"Parkdale--High Park/Parkdale--High Park"," 90","Toronto",9,0,3,0,40,54,87,0,193,484
35081,"Parkdale--High Park/Parkdale--High Park"," 91","Toronto",2,0,2,1,40,42,66,0,153,434
35081,"Parkdale--High Park/Parkdale--High Park"," 92","Toronto",2,0,7,1,6,47,53,0,116,456
35081,"Parkdale--High Park/Parkdale--High Park"," 93","Toronto",6,0,3,0,14,70,35,1,129,458
35081,"Parkdale--High Park/Parkdale--High Park"," 94","Toronto",4,2,5,0,12,84,43,1,151,437
35081,"Parkdale--High Park/Parkdale--High Park"," 95","Toronto",7,0,6,1,19,57,60,0,150,505
35081,"Parkdale--High Park/Parkdale--High Park"," 96","Toronto",3,0,6,0,9,82,56,1,157,478
35081,"Parkdale--High Park/Parkdale--High Park"," 97","Toronto",5,0,2,0,12,82,47,2,150,447
35081,"Parkdale--High Park/Parkdale--High Park"," 98","Toronto",5,1,1,0,10,15,94,1,127,385
35081,"Parkdale--High Park/Parkdale--High Park"," 99","Toronto",7,0,1,0,18,46,97,0,169,424
35081,"Parkdale--High Park/Parkdale--High Park"," 100","Toronto",6,2,1,0,48,61,79,0,197,474
35081,"Parkdale--High Park/Parkdale--High Park"," 101","Toronto",3,0,3,0,30,26,82,0,144,456
35081,"Parkdale--High Park/Parkdale--High Park"," 102","Toronto",6,0,4,1,34,42,89,0,176,498
35081,"Parkdale--High Park/Parkdale--High Park"," 103","Toronto",10,0,7,1,39,37,70,0,164,463
35081,"Parkdale--High Park/Parkdale--High Park"," 104","Toronto",4,0,0,0,46,54,81,0,185,467
35081,"Parkdale--High Park/Parkdale--High Park"," 105","Toronto",11,0,2,1,44,37,73,1,169,408
35081,"Parkdale--High Park/Parkdale--High Park"," 106","Toronto",0,1,4,0,13,87,57,1,163,432
35081,"Parkdale--High Park/Parkdale--High Park"," 107","Toronto",2,0,2,0,9,71,56,2,142,393
35081,"Parkdale--High Park/Parkdale--High Park"," 108","Toronto",7,1,3,2,19,72,50,1,155,418
35081,"Parkdale--High Park/Parkdale--High Park"," 109","Toronto",4,1,1,1,15,77,62,0,161,479
35081,"Parkdale--High Park/Parkdale--High Park"," 110","Toronto",6,1,3,0,17,68,64,0,159,472
