Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Claire Card,Dawn Dumont Walker,Jeremy Fisher,North-Marie Hunter,Guto Penteado,Corey Tochor,Carl A Wesolowski,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47011,"Saskatoon--University/Saskatoon--University"," 54","Saskatoon",48,11,0,2,2,60,1,0,124,337
47011,"Saskatoon--University/Saskatoon--University"," 55","Saskatoon",45,31,0,2,7,65,0,1,151,381
47011,"Saskatoon--University/Saskatoon--University"," 56","Saskatoon",59,12,1,3,5,55,1,0,136,414
47011,"Saskatoon--University/Saskatoon--University"," 57","Saskatoon",51,13,0,2,14,74,4,0,158,411
47011,"Saskatoon--University/Saskatoon--University"," 58","Saskatoon",82,13,0,4,9,44,1,0,153,386
47011,"Saskatoon--University/Saskatoon--University"," 59","Saskatoon",68,14,1,0,8,65,0,1,157,382
47011,"Saskatoon--University/Saskatoon--University"," 60","Saskatoon",64,6,1,2,9,37,0,0,119,379
47011,"Saskatoon--University/Saskatoon--University"," 61","Saskatoon",63,19,0,1,8,67,0,0,158,385
47011,"Saskatoon--University/Saskatoon--University"," 62","Saskatoon",35,12,0,1,5,97,1,0,151,437
47011,"Saskatoon--University/Saskatoon--University"," 63","Saskatoon",43,5,0,4,10,82,1,0,145,435
47011,"Saskatoon--University/Saskatoon--University"," 64","Saskatoon",48,14,0,3,9,87,0,0,161,441
47011,"Saskatoon--University/Saskatoon--University"," 65","Saskatoon",28,17,0,1,3,39,2,0,90,328
47011,"Saskatoon--University/Saskatoon--University"," 66","Saskatoon",25,13,0,2,4,55,0,2,101,351
47011,"Saskatoon--University/Saskatoon--University"," 67A","Saskatoon",24,13,0,1,2,53,0,1,94,339
47011,"Saskatoon--University/Saskatoon--University"," 67B","Saskatoon",19,3,0,0,5,52,0,2,81,336
47011,"Saskatoon--University/Saskatoon--University"," 68","Saskatoon",69,17,0,2,10,90,0,0,188,577
47011,"Saskatoon--University/Saskatoon--University"," 69A","Saskatoon",49,9,1,0,6,45,0,0,110,368
47011,"Saskatoon--University/Saskatoon--University"," 69B","Saskatoon",43,19,1,0,6,46,1,1,117,332
47011,"Saskatoon--University/Saskatoon--University"," 70","Saskatoon",35,14,0,0,2,101,3,1,156,502
47011,"Saskatoon--University/Saskatoon--University"," 71","Saskatoon",27,15,1,0,3,35,0,0,81,361
47011,"Saskatoon--University/Saskatoon--University"," 72","Saskatoon",48,23,1,1,4,108,0,3,188,510
47011,"Saskatoon--University/Saskatoon--University"," 73","Saskatoon",31,20,0,2,2,60,0,0,115,356
47011,"Saskatoon--University/Saskatoon--University"," 74","Saskatoon",31,15,0,0,3,56,0,0,105,358
47011,"Saskatoon--University/Saskatoon--University"," 75","Saskatoon",23,12,0,1,5,43,0,1,85,381
47011,"Saskatoon--University/Saskatoon--University"," 76","Saskatoon",54,18,0,2,4,49,0,0,127,423
47011,"Saskatoon--University/Saskatoon--University"," 77","Saskatoon",37,11,0,6,3,78,0,0,135,412
47011,"Saskatoon--University/Saskatoon--University"," 78","Saskatoon",38,16,0,1,3,65,0,0,123,489
