Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jason Hickey,John Reist,Meryl Sarty,Richard Trevor Warren,John Williamson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 1","Newtown",28,7,24,23,77,1,160,392
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 2","Smiths Creek",51,8,16,31,97,2,205,401
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 3","Coles Island",49,13,36,32,108,2,240,479
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 4","Head of Millstream",11,10,25,17,43,3,109,306
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 5","Berwick",22,7,9,16,58,0,112,301
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 6","Collina",18,11,14,22,62,1,128,389
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 7","McGregor Brook",13,6,24,14,76,0,133,386
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 8","Studholm",23,9,24,20,72,0,148,372
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 9","Studholm",26,7,15,22,57,1,128,324
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 10","Cambridge-Narrows",25,5,11,13,51,0,105,340
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 11","Cambridge-Narrows",25,0,6,13,46,0,90,267
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 12","Whites Cove",18,2,7,14,68,1,110,305
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 13","Jemseg",23,12,12,25,42,0,114,223
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 14","Upper Gagetown",46,13,11,18,70,0,158,271
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 15","Belleisle Creek",9,4,8,11,41,0,73,273
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 16","Springfield",25,6,14,21,48,0,114,343
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 17","Hatfield Point",22,3,13,16,104,0,158,305
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 18","Keirsteadville",38,14,11,27,105,0,195,391
