Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ryan Abbott,Sonia Andhi,Tina Bains,Joe Kennedy,Felix Kongyuy,Kevin Pielak,Randeep Sarai,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59032,"Surrey Centre/Surrey-Centre"," 1","Surrey",1,62,35,13,2,0,79,0,192,479
59032,"Surrey Centre/Surrey-Centre"," 2","Surrey",1,58,22,12,10,2,66,5,176,490
59032,"Surrey Centre/Surrey-Centre"," 3","Surrey",1,35,36,14,4,2,78,2,172,480
59032,"Surrey Centre/Surrey-Centre"," 4","Surrey",1,43,28,11,5,0,59,2,149,489
59032,"Surrey Centre/Surrey-Centre"," 5","Surrey",2,39,25,9,3,1,51,2,132,524
59032,"Surrey Centre/Surrey-Centre"," 6","Surrey",0,55,32,10,3,4,88,1,193,625
59032,"Surrey Centre/Surrey-Centre"," 7","Surrey",0,41,26,6,5,0,80,0,158,462
59032,"Surrey Centre/Surrey-Centre"," 8","Surrey",1,52,41,6,4,0,79,3,186,529
59032,"Surrey Centre/Surrey-Centre"," 9","Surrey",0,68,55,13,1,0,86,0,223,530
59032,"Surrey Centre/Surrey-Centre"," 10","Surrey",0,74,74,15,7,0,81,2,253,484
59032,"Surrey Centre/Surrey-Centre"," 11","Surrey",0,43,33,3,1,1,71,0,152,391
59032,"Surrey Centre/Surrey-Centre"," 12","Surrey",1,52,19,2,2,1,103,1,181,450
59032,"Surrey Centre/Surrey-Centre"," 13","Surrey",0,36,56,20,2,2,43,0,159,422
59032,"Surrey Centre/Surrey-Centre"," 14","Surrey",2,52,55,6,3,1,61,3,183,444
59032,"Surrey Centre/Surrey-Centre"," 15","Surrey",0,66,36,11,5,4,58,1,181,442
59032,"Surrey Centre/Surrey-Centre"," 16","Surrey",0,41,34,3,7,0,54,0,139,406
59032,"Surrey Centre/Surrey-Centre"," 17","Surrey",0,51,41,17,3,3,80,3,198,435
59032,"Surrey Centre/Surrey-Centre"," 18","Surrey",1,57,44,8,6,2,90,0,208,556
59032,"Surrey Centre/Surrey-Centre"," 19","Surrey",0,44,37,3,4,0,42,1,131,369
59032,"Surrey Centre/Surrey-Centre"," 20","Surrey",Merged with No./Fusionné avec le n°17,,,,,,,,,472
59032,"Surrey Centre/Surrey-Centre"," 21","Surrey",1,42,64,15,5,0,77,0,204,467
59032,"Surrey Centre/Surrey-Centre"," 22","Surrey",0,59,54,11,5,3,119,0,251,515
59032,"Surrey Centre/Surrey-Centre"," 23","Surrey",Merged with No./Fusionné avec le n°22,,,,,,,,,462
59032,"Surrey Centre/Surrey-Centre"," 24","Surrey",0,38,20,6,4,1,102,0,171,528
59032,"Surrey Centre/Surrey-Centre"," 25","Surrey",2,45,17,1,4,0,79,5,153,437
59032,"Surrey Centre/Surrey-Centre"," 26","Surrey",0,38,37,9,6,4,50,0,144,404
59032,"Surrey Centre/Surrey-Centre"," 27","Surrey",2,38,28,9,5,2,40,1,125,485
59032,"Surrey Centre/Surrey-Centre"," 28","Surrey",0,54,29,15,1,3,70,1,173,519
59032,"Surrey Centre/Surrey-Centre"," 29","Surrey",0,38,29,4,7,3,66,0,147,438
59032,"Surrey Centre/Surrey-Centre"," 30","Surrey",0,47,32,1,2,4,84,1,171,449
59032,"Surrey Centre/Surrey-Centre"," 31","Surrey",0,37,28,4,5,3,62,0,139,496
59032,"Surrey Centre/Surrey-Centre"," 32","Surrey",1,58,34,12,4,2,73,0,184,327
59032,"Surrey Centre/Surrey-Centre"," 33","Surrey",Merged with No./Fusionné avec le n°32,,,,,,,,,415
59032,"Surrey Centre/Surrey-Centre"," 34","Surrey",1,54,60,14,3,8,74,1,215,299
59032,"Surrey Centre/Surrey-Centre"," 35","Surrey",Merged with No./Fusionné avec le n°34,,,,,,,,,471
59032,"Surrey Centre/Surrey-Centre"," 36","Surrey",0,32,21,4,6,2,30,0,95,435
59032,"Surrey Centre/Surrey-Centre"," 37","Surrey",1,33,15,9,1,0,40,0,99,367
59032,"Surrey Centre/Surrey-Centre"," 38","Surrey",0,70,42,13,12,0,62,3,202,459
59032,"Surrey Centre/Surrey-Centre"," 39","Surrey",Merged with No./Fusionné avec le n°38,,,,,,,,,396
59032,"Surrey Centre/Surrey-Centre"," 40","Surrey",0,30,8,6,1,0,24,1,70,327
59032,"Surrey Centre/Surrey-Centre"," 41","Surrey",0,21,20,4,1,2,20,1,69,305
59032,"Surrey Centre/Surrey-Centre"," 42","Surrey",1,45,57,14,3,0,61,2,183,497
59032,"Surrey Centre/Surrey-Centre"," 43","Surrey",0,40,50,6,8,5,64,4,177,471
59032,"Surrey Centre/Surrey-Centre"," 44","Surrey",0,47,46,2,5,0,54,2,156,476
59032,"Surrey Centre/Surrey-Centre"," 45","Surrey",1,48,45,15,3,6,51,1,170,387
59032,"Surrey Centre/Surrey-Centre"," 46","Surrey",0,60,25,15,7,3,71,2,183,413
