Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jamie Ruby,Scott Simms,Clifford Small,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 154","Grand Falls-Windsor",18,80,116,6,220,629
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 155","Grand Falls-Windsor",27,91,87,1,206,531
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 156","Grand Falls-Windsor",15,73,110,4,202,495
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 157","Grand Falls-Windsor",16,62,61,3,142,403
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 158","Grand Falls-Windsor",16,60,65,4,145,432
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 159","Grand Falls-Windsor",16,61,66,2,145,403
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 160","Grand Falls-Windsor",12,72,66,0,150,398
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 161","Grand Falls-Windsor",11,69,73,6,159,441
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 162","Grand Falls-Windsor",5,51,38,2,96,342
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 163","Grand Falls-Windsor",11,56,43,2,112,391
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 164","Grand Falls-Windsor",11,30,31,2,74,382
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 165","Grand Falls-Windsor",15,102,85,2,204,548
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 166","Grand Falls-Windsor",10,65,37,1,113,374
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 167","Grand Falls-Windsor",12,62,25,5,104,351
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 168","Grand Falls-Windsor",17,79,51,0,147,411
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 169","Grand Falls-Windsor",13,56,30,3,102,366
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 170","Grand Falls-Windsor",20,66,40,2,128,428
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 171","Grand Falls-Windsor",15,64,41,2,122,354
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 172","Grand Falls-Windsor",18,64,35,3,120,370
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 173","Grand Falls-Windsor",5,57,38,2,102,368
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 174","Badger",12,92,110,1,215,442
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 175","Badger",4,75,59,0,138,271
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 176","Buchans Junction--Millertown",3,37,21,0,61,138
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 177","Buchans",6,46,29,0,81,255
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 178","Buchans",13,83,21,0,117,314
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 179","Pool's Cove",5,27,44,2,78,155
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 180","Head of Bay D'Espoir--St. Veronica's",2,72,29,2,105,216
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 181","Milltown",8,77,57,6,148,413
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 182","Conne River",30,97,47,4,178,689
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 183","Morrisville",2,26,12,3,43,66
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 184","Rencontre East",7,25,15,2,49,90
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 185","St. Alban's",11,70,121,11,213,558
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 186","St. Alban's",10,36,66,5,117,310
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 187","St. Alban's",2,28,40,4,74,165
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 188","Belleoram",9,25,44,1,79,295
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 189","Gaultois",1,36,7,0,44,94
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 190","Mose Ambrose",6,62,39,6,113,309
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 191","Hermitage-Sandyville",8,102,52,11,173,378
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 192","McCallum",4,15,3,0,22,35
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 193","Harbour Breton",2,32,40,0,74,263
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 194","Harbour Breton",2,24,25,1,52,241
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 195","Harbour Breton",4,62,51,0,117,395
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 196","Harbour Breton",9,55,55,2,121,410
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 197","Wreck Cove",1,33,10,0,44,123
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 198","Seal Cove",1,79,15,0,95,193
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 500","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 501","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°48,,,,,4
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 502","Mobile poll/Bureau itinérant",0,18,8,8,34,90
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 503","Mobile poll/Bureau itinérant",3,5,17,0,25,36
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 504","Mobile poll/Bureau itinérant",0,9,1,0,10,11
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 505","Mobile poll/Bureau itinérant",Results combined with no. 11/Résultats combinés au n° 11,,,,,19
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 506","Mobile poll/Bureau itinérant",0,4,2,2,8,18
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 507","Mobile poll/Bureau itinérant",0,8,1,0,9,9
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 508","Mobile poll/Bureau itinérant",1,2,2,2,7,8
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 509","Mobile poll/Bureau itinérant",0,22,11,6,39,86
