Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Guy Bernatchez,Diane Lebouthillier,Monique Leduc,Lisa Phung,Jean-Pierre Pigeon,Christian Rioux,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 1","Gaspé",69,31,2,3,9,1,2,117,294
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 2","Gaspé",84,43,0,6,15,3,1,152,443
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 3","Gaspé",72,48,1,5,16,1,10,153,453
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 4","Gaspé",57,56,1,3,8,3,1,129,447
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 5","Gaspé",43,37,1,0,6,3,6,96,432
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 6","Gaspé",48,21,0,2,10,1,0,82,452
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 7","Gaspé",110,53,0,4,8,3,5,183,668
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 8","Gaspé",92,52,0,9,5,1,7,166,442
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 9","Gaspé",30,27,0,2,5,1,1,66,161
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 10","Grande-Vallée",76,40,1,1,6,0,2,126,360
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 11","Grande-Vallée",66,61,0,3,12,1,0,143,351
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 12","Grande-Vallée",67,52,3,2,4,3,4,135,372
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 13","Gaspé",71,40,4,7,12,2,5,141,302
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 14","Sainte-Madeleine-de-la-Rivière-Madeleine",57,82,3,0,17,0,4,163,283
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 15","Cloridorme",55,32,0,1,13,1,2,104,247
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 16","Cloridorme",34,47,1,0,6,0,5,93,202
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 17","Cloridorme",24,18,0,0,5,0,1,48,101
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 18","Gaspé",95,109,2,8,21,0,3,238,565
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 19","Gaspé",90,105,0,16,14,4,6,235,551
