Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dwayne Cappelletti,Pierre-Alexandre Corneillet,Angiolino d'Anello,Isabel Dion,Angelo Iacono,Cindy Mercer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24004,"Alfred-Pellan/Alfred-Pellan"," 1","Laval",6,3,31,60,38,8,8,154,412
24004,"Alfred-Pellan/Alfred-Pellan"," 2","Laval",6,5,29,65,81,12,6,204,507
24004,"Alfred-Pellan/Alfred-Pellan"," 3","Laval",7,12,17,58,81,9,6,190,478
24004,"Alfred-Pellan/Alfred-Pellan"," 4","Laval",1,3,19,64,77,9,1,174,417
24004,"Alfred-Pellan/Alfred-Pellan"," 5","Laval",11,5,34,63,65,20,2,200,470
24004,"Alfred-Pellan/Alfred-Pellan"," 6","Laval",5,3,9,41,58,18,3,137,427
24004,"Alfred-Pellan/Alfred-Pellan"," 7","Laval",5,5,12,36,68,6,4,136,380
24004,"Alfred-Pellan/Alfred-Pellan"," 8","Laval",6,8,13,36,84,11,3,161,408
24004,"Alfred-Pellan/Alfred-Pellan"," 9","Laval",11,8,21,44,82,21,5,192,486
24004,"Alfred-Pellan/Alfred-Pellan"," 10","Laval",6,4,15,58,39,11,2,135,397
24004,"Alfred-Pellan/Alfred-Pellan"," 11","Laval",5,8,10,60,80,14,6,183,462
24004,"Alfred-Pellan/Alfred-Pellan"," 12","Laval",11,5,18,47,104,25,9,219,491
24004,"Alfred-Pellan/Alfred-Pellan"," 13","Laval",3,0,24,44,75,17,3,166,434
24004,"Alfred-Pellan/Alfred-Pellan"," 14","Laval",10,7,12,32,106,16,10,193,496
24004,"Alfred-Pellan/Alfred-Pellan"," 15","Laval",2,1,9,26,83,18,5,144,409
24004,"Alfred-Pellan/Alfred-Pellan"," 16","Laval",6,3,20,39,129,17,5,219,444
24004,"Alfred-Pellan/Alfred-Pellan"," 17","Laval",9,7,23,55,120,16,8,238,508
24004,"Alfred-Pellan/Alfred-Pellan"," 18","Laval",11,2,18,53,96,21,3,204,441
24004,"Alfred-Pellan/Alfred-Pellan"," 19","Laval",8,6,25,34,83,10,5,171,390
24004,"Alfred-Pellan/Alfred-Pellan"," 20","Laval",9,10,20,50,131,24,6,250,548
24004,"Alfred-Pellan/Alfred-Pellan"," 21A","Laval",6,2,15,19,99,11,2,154,399
24004,"Alfred-Pellan/Alfred-Pellan"," 21B","Laval",10,4,23,19,95,9,4,164,417
24004,"Alfred-Pellan/Alfred-Pellan"," 22","Laval",6,3,14,50,56,21,6,156,348
24004,"Alfred-Pellan/Alfred-Pellan"," 23","Laval",9,4,19,62,73,18,2,187,459
24004,"Alfred-Pellan/Alfred-Pellan"," 24","Laval",4,4,18,56,52,16,1,151,340
24004,"Alfred-Pellan/Alfred-Pellan"," 25","Laval",9,2,17,66,46,12,11,163,385
24004,"Alfred-Pellan/Alfred-Pellan"," 26","Laval",10,3,14,38,52,16,6,139,388
24004,"Alfred-Pellan/Alfred-Pellan"," 27","Laval",4,5,17,97,50,10,2,185,463
24004,"Alfred-Pellan/Alfred-Pellan"," 28","Laval",19,6,24,88,51,14,5,207,513
24004,"Alfred-Pellan/Alfred-Pellan"," 29","Laval",5,4,33,81,58,12,3,196,462
24004,"Alfred-Pellan/Alfred-Pellan"," 30","Laval",5,3,17,26,116,10,2,179,414
24004,"Alfred-Pellan/Alfred-Pellan"," 31","Laval",9,6,16,47,73,18,6,175,519
24004,"Alfred-Pellan/Alfred-Pellan"," 32","Laval",16,4,24,49,178,23,5,299,578
24004,"Alfred-Pellan/Alfred-Pellan"," 33","Laval",4,6,21,34,128,19,3,215,465
24004,"Alfred-Pellan/Alfred-Pellan"," 34","Laval",3,4,28,56,151,23,2,267,498
24004,"Alfred-Pellan/Alfred-Pellan"," 35","Laval",7,4,28,48,99,13,5,204,500
24004,"Alfred-Pellan/Alfred-Pellan"," 36","Laval",7,10,44,33,157,29,5,285,528
24004,"Alfred-Pellan/Alfred-Pellan"," 37","Laval",5,4,37,67,148,31,5,297,588
24004,"Alfred-Pellan/Alfred-Pellan"," 38","Laval",7,6,40,43,99,16,1,212,473
24004,"Alfred-Pellan/Alfred-Pellan"," 39","Laval",9,6,58,30,123,17,1,244,536
24004,"Alfred-Pellan/Alfred-Pellan"," 40","Laval",6,4,19,52,129,24,2,236,533
24004,"Alfred-Pellan/Alfred-Pellan"," 41","Laval",5,3,15,58,45,10,3,139,429
24004,"Alfred-Pellan/Alfred-Pellan"," 42","Laval",10,4,46,63,60,18,3,204,478
24004,"Alfred-Pellan/Alfred-Pellan"," 43","Laval",2,0,30,43,34,5,6,120,303
24004,"Alfred-Pellan/Alfred-Pellan"," 44","Laval",7,2,59,22,136,15,1,242,522
24004,"Alfred-Pellan/Alfred-Pellan"," 45","Laval",6,3,38,6,75,7,2,137,366
24004,"Alfred-Pellan/Alfred-Pellan"," 46","Laval",1,3,44,20,87,18,3,176,433
24004,"Alfred-Pellan/Alfred-Pellan"," 47","Laval",3,3,57,18,98,7,1,187,476
24004,"Alfred-Pellan/Alfred-Pellan"," 48","Laval",7,1,16,54,76,9,1,164,409
24004,"Alfred-Pellan/Alfred-Pellan"," 49","Laval",9,2,32,33,86,12,3,177,367
24004,"Alfred-Pellan/Alfred-Pellan"," 50","Laval",4,3,27,37,76,23,5,175,446
24004,"Alfred-Pellan/Alfred-Pellan"," 51","Laval",13,7,21,63,50,19,6,179,440
24004,"Alfred-Pellan/Alfred-Pellan"," 52","Laval",3,2,2,19,47,11,1,85,355
24004,"Alfred-Pellan/Alfred-Pellan"," 53","Laval",10,1,15,56,62,30,3,177,427
24004,"Alfred-Pellan/Alfred-Pellan"," 54","Laval",6,6,13,53,71,22,10,181,432
24004,"Alfred-Pellan/Alfred-Pellan"," 55","Laval",3,3,12,40,63,5,1,127,344
24004,"Alfred-Pellan/Alfred-Pellan"," 56","Laval",6,2,7,19,42,5,3,84,267
24004,"Alfred-Pellan/Alfred-Pellan"," 57","Laval",14,2,42,2,138,14,3,215,483
24004,"Alfred-Pellan/Alfred-Pellan"," 58","Laval",6,2,22,6,71,9,3,119,335
24004,"Alfred-Pellan/Alfred-Pellan"," 59","Laval",5,2,25,5,96,12,0,145,400
24004,"Alfred-Pellan/Alfred-Pellan"," 60","Laval",6,0,52,5,107,6,1,177,474
24004,"Alfred-Pellan/Alfred-Pellan"," 61","Laval",4,1,35,16,60,8,1,125,322
24004,"Alfred-Pellan/Alfred-Pellan"," 62","Laval",3,6,20,4,98,11,1,143,380
24004,"Alfred-Pellan/Alfred-Pellan"," 63","Laval",11,2,53,4,145,15,4,234,516
24004,"Alfred-Pellan/Alfred-Pellan"," 64","Laval",5,1,59,5,67,11,1,149,350
24004,"Alfred-Pellan/Alfred-Pellan"," 65","Laval",3,2,47,8,98,13,0,171,458
24004,"Alfred-Pellan/Alfred-Pellan"," 66","Laval",7,3,45,29,120,18,1,223,586
24004,"Alfred-Pellan/Alfred-Pellan"," 67","Laval",3,4,64,5,130,16,6,228,613
24004,"Alfred-Pellan/Alfred-Pellan"," 68","Laval",7,3,21,28,62,14,4,139,408
24004,"Alfred-Pellan/Alfred-Pellan"," 69","Laval",5,3,19,23,37,10,5,102,365
24004,"Alfred-Pellan/Alfred-Pellan"," 70","Laval",5,8,23,83,65,17,7,208,544
24004,"Alfred-Pellan/Alfred-Pellan"," 71","Laval",4,9,19,48,51,23,4,158,433
24004,"Alfred-Pellan/Alfred-Pellan"," 72","Laval",5,2,24,20,69,22,3,145,370
24004,"Alfred-Pellan/Alfred-Pellan"," 73","Laval",3,2,16,31,65,21,6,144,404
24004,"Alfred-Pellan/Alfred-Pellan"," 74","Laval",6,4,22,33,74,18,5,162,417
24004,"Alfred-Pellan/Alfred-Pellan"," 75","Laval",9,5,31,15,83,7,5,155,415
24004,"Alfred-Pellan/Alfred-Pellan"," 76","Laval",2,6,33,22,78,19,2,162,403
24004,"Alfred-Pellan/Alfred-Pellan"," 77","Laval",2,0,26,11,90,12,0,141,388
24004,"Alfred-Pellan/Alfred-Pellan"," 78","Laval",2,2,16,39,63,13,0,135,365
24004,"Alfred-Pellan/Alfred-Pellan"," 79","Laval",6,7,19,54,65,18,7,176,393
24004,"Alfred-Pellan/Alfred-Pellan"," 80","Laval",5,2,13,26,62,11,2,121,371
24004,"Alfred-Pellan/Alfred-Pellan"," 81","Laval",1,2,10,19,32,6,1,71,270
24004,"Alfred-Pellan/Alfred-Pellan"," 82","Laval",4,1,15,15,39,3,2,79,262
24004,"Alfred-Pellan/Alfred-Pellan"," 83","Laval",2,4,25,35,65,18,0,149,450
24004,"Alfred-Pellan/Alfred-Pellan"," 84","Laval",2,0,8,37,38,8,0,93,312
24004,"Alfred-Pellan/Alfred-Pellan"," 85","Laval",9,6,19,41,82,19,4,180,465
24004,"Alfred-Pellan/Alfred-Pellan"," 86","Laval",3,3,17,51,58,29,8,169,451
24004,"Alfred-Pellan/Alfred-Pellan"," 87","Laval",3,6,20,40,67,11,6,153,406
24004,"Alfred-Pellan/Alfred-Pellan"," 88","Laval",5,4,13,59,79,25,1,186,378
24004,"Alfred-Pellan/Alfred-Pellan"," 89","Laval",11,6,13,40,66,14,4,154,511
24004,"Alfred-Pellan/Alfred-Pellan"," 90","Laval",8,5,15,53,69,11,2,163,339
24004,"Alfred-Pellan/Alfred-Pellan"," 91","Laval",1,3,10,46,89,12,2,163,384
24004,"Alfred-Pellan/Alfred-Pellan"," 92","Laval",2,3,19,27,91,20,6,168,352
24004,"Alfred-Pellan/Alfred-Pellan"," 93","Laval",5,5,42,39,110,21,4,226,433
24004,"Alfred-Pellan/Alfred-Pellan"," 94","Laval",4,4,19,60,93,21,1,202,384
24004,"Alfred-Pellan/Alfred-Pellan"," 95","Laval",6,4,36,26,102,16,2,192,451
24004,"Alfred-Pellan/Alfred-Pellan"," 96","Laval",9,6,32,67,86,16,9,225,428
24004,"Alfred-Pellan/Alfred-Pellan"," 97","Laval",9,6,40,27,109,15,10,216,441
24004,"Alfred-Pellan/Alfred-Pellan"," 98","Laval",3,5,24,15,103,19,0,169,357
24004,"Alfred-Pellan/Alfred-Pellan"," 99","Laval",5,3,18,64,93,19,2,204,347
24004,"Alfred-Pellan/Alfred-Pellan"," 100","Laval",7,1,17,27,88,14,3,157,343
24004,"Alfred-Pellan/Alfred-Pellan"," 101","Laval",10,6,18,59,78,14,3,188,417
24004,"Alfred-Pellan/Alfred-Pellan"," 102","Laval",2,3,9,14,62,9,1,100,303
24004,"Alfred-Pellan/Alfred-Pellan"," 103","Laval",7,4,15,55,91,9,6,187,347
24004,"Alfred-Pellan/Alfred-Pellan"," 104","Laval",5,3,13,42,94,12,8,177,493
24004,"Alfred-Pellan/Alfred-Pellan"," 105","Laval",9,6,8,33,51,14,5,126,363
24004,"Alfred-Pellan/Alfred-Pellan"," 106","Laval",9,1,11,44,65,9,6,145,423
24004,"Alfred-Pellan/Alfred-Pellan"," 107","Laval",4,3,20,39,79,21,4,170,371
24004,"Alfred-Pellan/Alfred-Pellan"," 108","Laval",5,3,9,44,80,16,4,161,342
24004,"Alfred-Pellan/Alfred-Pellan"," 109","Laval",4,6,22,36,95,8,2,173,392
