Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Scot Davidson,Benjamin Jenkins,Daniella Johnson,Michael Lotter,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35119,"York--Simcoe/York--Simcoe"," 1","Chippewas of Georgina Island First Nation",49,17,18,6,0,90,188
35119,"York--Simcoe/York--Simcoe"," 2","Georgina",269,68,71,26,3,437,594
35119,"York--Simcoe/York--Simcoe"," 3","Georgina",Merged with No./Fusionné avec le n°8,,,,,,500
35119,"York--Simcoe/York--Simcoe"," 4","Georgina",Merged with No./Fusionné avec le n°2,,,,,,576
35119,"York--Simcoe/York--Simcoe"," 5","Georgina",161,27,39,23,1,251,602
35119,"York--Simcoe/York--Simcoe"," 6","Georgina",274,91,56,30,3,454,533
35119,"York--Simcoe/York--Simcoe"," 7","Georgina",Merged with No./Fusionné avec le n°6,,,,,,530
35119,"York--Simcoe/York--Simcoe"," 8","Georgina",227,47,122,32,4,432,595
35119,"York--Simcoe/York--Simcoe"," 9","Georgina",211,56,77,26,1,371,705
35119,"York--Simcoe/York--Simcoe"," 10","Georgina",Merged with No./Fusionné avec le n°9,,,,,,679
35119,"York--Simcoe/York--Simcoe"," 11","Georgina",166,63,76,30,6,341,714
35119,"York--Simcoe/York--Simcoe"," 12","Georgina",180,31,84,28,3,326,679
35119,"York--Simcoe/York--Simcoe"," 13","Georgina",203,65,62,24,3,357,662
35119,"York--Simcoe/York--Simcoe"," 14","Georgina",Merged with No./Fusionné avec le n°15,,,,,,575
35119,"York--Simcoe/York--Simcoe"," 15","Georgina",180,57,62,25,1,325,610
35119,"York--Simcoe/York--Simcoe"," 16","Georgina",Merged with No./Fusionné avec le n°17,,,,,,664
35119,"York--Simcoe/York--Simcoe"," 17","Georgina",187,61,90,23,2,363,659
35119,"York--Simcoe/York--Simcoe"," 18","Georgina",Merged with No./Fusionné avec le n°17,,,,,,125
35119,"York--Simcoe/York--Simcoe"," 19","Georgina",158,60,60,26,7,311,733
35119,"York--Simcoe/York--Simcoe"," 20","Georgina",Merged with No./Fusionné avec le n°22,,,,,,718
35119,"York--Simcoe/York--Simcoe"," 21","Georgina",Merged with No./Fusionné avec le n°13,,,,,,573
35119,"York--Simcoe/York--Simcoe"," 22","Georgina",173,61,81,31,0,346,773
35119,"York--Simcoe/York--Simcoe"," 23","Georgina",114,37,73,21,0,245,840
35119,"York--Simcoe/York--Simcoe"," 24","Georgina",Merged with No./Fusionné avec le n°19,,,,,,457
35119,"York--Simcoe/York--Simcoe"," 25","Georgina",204,40,59,31,1,335,486
35119,"York--Simcoe/York--Simcoe"," 26","Georgina",87,22,50,22,0,181,433
35119,"York--Simcoe/York--Simcoe"," 27","Georgina",Merged with No./Fusionné avec le n°25,,,,,,486
35119,"York--Simcoe/York--Simcoe"," 28","Georgina",181,57,80,31,2,351,793
35119,"York--Simcoe/York--Simcoe"," 29","Georgina",Merged with No./Fusionné avec le n°11,,,,,,607
35119,"York--Simcoe/York--Simcoe"," 30","Georgina",Merged with No./Fusionné avec le n°12,,,,,,605
35119,"York--Simcoe/York--Simcoe"," 31","Georgina",159,58,74,14,2,307,715
35119,"York--Simcoe/York--Simcoe"," 32","Georgina",Merged with No./Fusionné avec le n°51,,,,,,525
35119,"York--Simcoe/York--Simcoe"," 33","Georgina",Merged with No./Fusionné avec le n°28,,,,,,561
35119,"York--Simcoe/York--Simcoe"," 34","Georgina",195,73,93,20,1,382,592
35119,"York--Simcoe/York--Simcoe"," 35","Georgina",Merged with No./Fusionné avec le n°31,,,,,,606
35119,"York--Simcoe/York--Simcoe"," 36","Georgina",Merged with No./Fusionné avec le n°37,,,,,,544
35119,"York--Simcoe/York--Simcoe"," 37","Georgina",187,76,88,33,4,388,594
35119,"York--Simcoe/York--Simcoe"," 38","Georgina",146,38,87,23,3,297,639
35119,"York--Simcoe/York--Simcoe"," 39","Georgina",137,41,90,27,0,295,635
35119,"York--Simcoe/York--Simcoe"," 40","Georgina",Merged with No./Fusionné avec le n°61,,,,,,570
35119,"York--Simcoe/York--Simcoe"," 41","Georgina",Merged with No./Fusionné avec le n°54,,,,,,532
35119,"York--Simcoe/York--Simcoe"," 42","Georgina",Merged with No./Fusionné avec le n°38,,,,,,588
35119,"York--Simcoe/York--Simcoe"," 43","Georgina",108,64,106,25,3,306,546
35119,"York--Simcoe/York--Simcoe"," 44","Georgina",163,64,97,26,1,351,597
35119,"York--Simcoe/York--Simcoe"," 45","Georgina",149,41,70,18,2,280,586
35119,"York--Simcoe/York--Simcoe"," 46","Georgina",136,46,62,24,2,270,600
35119,"York--Simcoe/York--Simcoe"," 47","Georgina",Merged with No./Fusionné avec le n°52,,,,,,535
35119,"York--Simcoe/York--Simcoe"," 48","Georgina",Merged with No./Fusionné avec le n°46,,,,,,574
35119,"York--Simcoe/York--Simcoe"," 49","Georgina",Merged with No./Fusionné avec le n°45,,,,,,528
35119,"York--Simcoe/York--Simcoe"," 50","Georgina",Merged with No./Fusionné avec le n°55,,,,,,554
35119,"York--Simcoe/York--Simcoe"," 51","Georgina",182,76,93,22,2,375,551
35119,"York--Simcoe/York--Simcoe"," 52","Georgina",142,60,76,31,5,314,550
35119,"York--Simcoe/York--Simcoe"," 53","Georgina",Merged with No./Fusionné avec le n°39,,,,,,573
35119,"York--Simcoe/York--Simcoe"," 54","Georgina",161,66,68,28,4,327,642
35119,"York--Simcoe/York--Simcoe"," 55","Georgina",132,76,88,21,1,318,634
35119,"York--Simcoe/York--Simcoe"," 56","Georgina",Merged with No./Fusionné avec le n°34,,,,,,540
35119,"York--Simcoe/York--Simcoe"," 57","Georgina",Merged with No./Fusionné avec le n°44,,,,,,567
35119,"York--Simcoe/York--Simcoe"," 58","Georgina",91,46,84,21,0,242,876
35119,"York--Simcoe/York--Simcoe"," 59","Georgina",123,59,76,15,2,275,591
35119,"York--Simcoe/York--Simcoe"," 60","Georgina",Merged with No./Fusionné avec le n°43,,,,,,537
35119,"York--Simcoe/York--Simcoe"," 61","Georgina",132,69,95,32,1,329,612
35119,"York--Simcoe/York--Simcoe"," 62","Georgina",Merged with No./Fusionné avec le n°64,,,,,,597
35119,"York--Simcoe/York--Simcoe"," 63","Georgina",Merged with No./Fusionné avec le n°59,,,,,,583
35119,"York--Simcoe/York--Simcoe"," 64","Georgina",140,65,87,26,6,324,592
35119,"York--Simcoe/York--Simcoe"," 65","East Gwillimbury",181,73,104,26,3,387,601
35119,"York--Simcoe/York--Simcoe"," 66","East Gwillimbury",Merged with No./Fusionné avec le n°73,,,,,,469
35119,"York--Simcoe/York--Simcoe"," 67","East Gwillimbury",Merged with No./Fusionné avec le n°74,,,,,,523
35119,"York--Simcoe/York--Simcoe"," 68","East Gwillimbury",Merged with No./Fusionné avec le n°75,,,,,,559
35119,"York--Simcoe/York--Simcoe"," 69","East Gwillimbury",Merged with No./Fusionné avec le n°72,,,,,,528
