Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Valérie Beauséjour,Julius Bute,Luc Desilets,Michael Dionne,Marc Duffy-Vincelette,Joseph Hakizimana,Linda Lapointe,Hans Roker Jr,Alec Ware,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 153A","Saint-Eustache",0,1,19,1,4,5,12,5,1,3,51,145
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 153B","Saint-Eustache",3,1,56,2,12,2,87,1,2,13,179,272
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 154","Saint-Eustache",1,0,66,0,15,8,39,7,6,1,143,369
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 155","Saint-Eustache",6,1,58,0,17,19,45,4,2,4,156,513
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 156","Saint-Eustache",1,0,82,0,23,10,52,6,3,5,182,411
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 157","Saint-Eustache",1,0,28,1,10,7,16,2,1,2,68,198
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 158","Deux-Montagnes",6,1,79,1,9,18,62,3,1,6,186,452
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 159","Deux-Montagnes",3,1,59,4,21,22,86,5,0,3,204,436
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 160","Deux-Montagnes",4,0,87,0,18,25,66,7,5,0,212,440
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 161","Deux-Montagnes",3,0,64,0,16,12,55,4,2,2,158,379
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 162","Deux-Montagnes",5,1,50,3,14,20,43,9,3,0,148,389
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 163","Saint-Eustache",4,0,75,0,6,13,61,5,1,2,167,453
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 164","Saint-Eustache",3,0,64,2,26,16,85,7,1,2,206,523
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 165","Saint-Eustache",6,0,72,0,26,11,77,9,3,7,211,535
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 166","Saint-Eustache",6,0,65,0,16,17,89,5,1,4,203,481
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 167","Saint-Eustache",3,1,56,0,15,13,38,6,1,1,134,464
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 168","Saint-Eustache",7,0,61,2,19,17,53,6,1,6,172,596
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 169","Saint-Eustache",13,0,86,0,29,2,146,0,1,17,294,440
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 170","Saint-Eustache",5,1,81,2,6,14,42,3,4,5,163,413
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 171","Saint-Eustache",4,0,89,1,43,18,120,15,6,3,299,948
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 172","Saint-Eustache",4,1,61,1,25,19,30,8,4,0,153,555
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 173","Deux-Montagnes",0,0,62,1,14,16,44,2,3,1,143,412
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 174","Deux-Montagnes",2,0,40,0,18,23,60,5,3,1,152,431
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 175","Deux-Montagnes",1,0,36,2,12,23,49,1,4,7,135,345
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 176","Deux-Montagnes",3,1,44,0,15,14,50,5,4,1,137,358
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 177","Deux-Montagnes",1,1,33,0,12,14,73,9,5,3,151,397
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 178","Deux-Montagnes",1,0,70,0,13,22,37,7,4,2,156,380
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 179","Deux-Montagnes",3,0,38,0,12,19,42,9,4,1,128,392
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 180","Deux-Montagnes",0,0,47,1,11,21,51,10,5,3,149,440
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 181","Deux-Montagnes",1,0,58,0,11,19,67,5,6,7,174,435
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 182","Deux-Montagnes",7,0,60,2,15,30,81,8,5,3,211,480
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 183","Deux-Montagnes",2,0,74,0,28,11,83,5,3,1,207,443
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 184","Deux-Montagnes",5,0,57,0,12,20,71,3,1,4,173,509
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 185","Deux-Montagnes",2,1,63,0,13,17,43,5,7,0,151,379
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 186","Deux-Montagnes",0,1,45,0,19,19,33,2,3,1,123,358
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 187","Deux-Montagnes",3,0,44,0,19,16,34,9,4,7,136,391
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 188","Deux-Montagnes",0,0,57,0,6,13,54,4,5,2,141,399
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 189","Deux-Montagnes",2,0,82,0,17,19,55,10,5,3,193,401
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 190","Deux-Montagnes",3,0,53,0,23,7,37,10,2,3,138,346
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 191","Deux-Montagnes",5,0,55,2,12,35,42,2,5,2,160,405
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 192","Deux-Montagnes",2,0,57,1,20,18,56,5,3,6,168,452
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 193","Deux-Montagnes",2,0,45,0,10,18,43,4,6,3,131,368
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 194","Deux-Montagnes",7,0,56,0,9,17,53,13,10,1,166,496
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 195","Deux-Montagnes",2,2,45,0,11,21,69,9,5,3,167,411
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 196","Deux-Montagnes",0,0,38,2,12,18,61,9,3,1,144,369
