Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jacques Y Boudreau,Rob Flack,Arielle Kayabaga,Shawna Lewkowitz,Mike McMullen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35053,"London West/London-Ouest"," 1","London",Merged with No./Fusionné avec le n°2,,,,,,,305
35053,"London West/London-Ouest"," 2","London",12,108,103,61,9,2,295,500
35053,"London West/London-Ouest"," 3","London",5,78,68,20,10,4,185,508
35053,"London West/London-Ouest"," 4","London",6,145,137,60,12,3,363,713
35053,"London West/London-Ouest"," 5","London",1,59,70,72,15,1,218,557
35053,"London West/London-Ouest"," 6","London",2,49,47,57,20,5,180,432
35053,"London West/London-Ouest"," 7","London",3,124,114,118,24,1,384,467
35053,"London West/London-Ouest"," 8","London",7,60,89,28,6,2,192,468
35053,"London West/London-Ouest"," 9A","London",7,32,63,42,3,3,150,438
35053,"London West/London-Ouest"," 9B","Mobile poll/Bureau itinérant",5,25,17,1,0,0,48,60
35053,"London West/London-Ouest"," 10","London",9,92,120,59,17,1,298,810
35053,"London West/London-Ouest"," 11","London",1,57,71,70,19,0,218,547
35053,"London West/London-Ouest"," 12","London",5,58,67,39,8,1,178,513
35053,"London West/London-Ouest"," 13","London",7,61,99,59,7,1,234,606
35053,"London West/London-Ouest"," 14","London",Void/Supprimé,,,,,,,
35053,"London West/London-Ouest"," 15","London",0,54,52,80,10,2,198,518
35053,"London West/London-Ouest"," 16","London",1,52,63,58,7,0,181,518
35053,"London West/London-Ouest"," 17","London",3,28,62,58,6,4,161,482
35053,"London West/London-Ouest"," 18","London",2,34,67,34,18,1,156,367
35053,"London West/London-Ouest"," 19","London",Merged with No./Fusionné avec le n°7,,,,,,,462
35053,"London West/London-Ouest"," 20","London",2,62,86,64,15,1,230,576
35053,"London West/London-Ouest"," 21","London",4,47,60,55,18,1,185,550
35053,"London West/London-Ouest"," 22","London",2,46,61,58,10,1,178,444
35053,"London West/London-Ouest"," 23","London",Merged with No./Fusionné avec le n°25,,,,,,,296
35053,"London West/London-Ouest"," 24","London",3,49,44,25,5,1,127,419
35053,"London West/London-Ouest"," 25","London",4,76,115,73,12,3,283,354
