Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Julie Bouchard,Jean Duplain,Yves Laporte,Richard Martel,Ismaël Raymond,Jimmy Voyer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 1","Saguenay",60,15,1,71,3,1,5,156,299
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 2","Saguenay",66,26,7,89,12,2,2,204,370
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 3","Saguenay",75,24,2,105,15,4,3,228,512
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 4","Saguenay",73,27,2,100,10,3,2,217,492
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 5","Saguenay",Merged with No./Fusionné avec le n°6,,,,,,,,316
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 6","Saguenay",71,40,1,140,11,8,11,282,333
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 7","Saguenay",Merged with No./Fusionné avec le n°8,,,,,,,,331
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 8","Saguenay",85,45,4,123,13,4,5,279,352
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 9","Saguenay",65,27,1,97,5,1,3,199,388
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 10","Saguenay",Merged with No./Fusionné avec le n°11,,,,,,,,321
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 11","Saguenay",100,36,2,116,28,12,5,299,323
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 12","Saguenay",73,30,1,58,6,0,2,170,446
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 13","Saguenay",63,27,3,32,6,5,2,138,383
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 14","Saguenay",90,43,11,108,23,8,10,293,364
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 15","Saguenay",Merged with No./Fusionné avec le n°14,,,,,,,,354
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 16","Saguenay",63,31,0,88,6,6,3,197,396
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 17","Saguenay",46,33,3,83,10,2,1,178,399
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 18","Saguenay",69,28,0,93,8,1,5,204,375
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 19","Saguenay",51,32,6,84,5,2,2,182,405
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 20","Saguenay",Merged with No./Fusionné avec le n°24,,,,,,,,337
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 21","Saguenay",78,30,2,97,7,7,0,221,424
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 22","Saguenay",62,26,0,96,12,1,1,198,390
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 23","Saguenay",64,29,1,74,12,5,2,187,386
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 24","Saguenay",117,59,1,107,20,2,19,325,360
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 25","Saguenay",62,7,3,68,16,1,6,163,449
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 26","Saguenay",54,25,2,89,7,4,5,186,445
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 27","Saguenay",82,33,3,123,12,3,5,261,594
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 28","Saguenay",Merged with No./Fusionné avec le n°31,,,,,,,,341
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 29","Saguenay",64,34,1,103,10,1,8,221,437
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 30","Saguenay",56,29,5,81,10,5,4,190,399
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 31","Saguenay",99,58,3,160,15,2,7,344,395
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 32","Saguenay",82,27,3,103,11,1,5,232,429
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 33","Saguenay",118,27,1,95,5,4,0,250,459
