Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Matthew Giancola,Brian Masse,Anthony Orlando,Sandra Pupatello,Margaret Villamizar,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35117,"Windsor West/Windsor-Ouest"," 1","Windsor",9,33,24,47,0,1,114,375
35117,"Windsor West/Windsor-Ouest"," 2","Windsor",10,44,10,24,0,0,88,457
35117,"Windsor West/Windsor-Ouest"," 3","Windsor",5,44,8,17,1,3,78,385
35117,"Windsor West/Windsor-Ouest"," 4","Windsor",11,48,23,51,0,0,133,503
35117,"Windsor West/Windsor-Ouest"," 5","Windsor",12,29,11,22,1,1,76,311
35117,"Windsor West/Windsor-Ouest"," 6","Windsor",11,55,13,30,1,2,112,453
35117,"Windsor West/Windsor-Ouest"," 7","Windsor",9,45,22,35,0,1,112,534
35117,"Windsor West/Windsor-Ouest"," 8","Windsor",16,69,26,39,2,0,152,479
35117,"Windsor West/Windsor-Ouest"," 9","Windsor",7,80,28,43,3,3,164,497
35117,"Windsor West/Windsor-Ouest"," 10","Windsor",13,102,29,41,1,0,186,526
35117,"Windsor West/Windsor-Ouest"," 11","Windsor",9,16,16,25,0,3,69,378
35117,"Windsor West/Windsor-Ouest"," 12","Windsor",20,47,27,36,1,4,135,557
35117,"Windsor West/Windsor-Ouest"," 13","Windsor",6,68,17,52,0,3,146,555
35117,"Windsor West/Windsor-Ouest"," 14","Windsor",7,60,16,34,0,0,117,517
35117,"Windsor West/Windsor-Ouest"," 15","Windsor",15,72,33,38,1,2,161,601
35117,"Windsor West/Windsor-Ouest"," 16","Windsor",6,45,5,17,1,1,75,341
35117,"Windsor West/Windsor-Ouest"," 17","Windsor",5,45,5,23,0,1,79,359
35117,"Windsor West/Windsor-Ouest"," 18","Windsor",12,40,18,28,1,5,104,426
35117,"Windsor West/Windsor-Ouest"," 19","Windsor",26,87,20,38,0,1,172,508
35117,"Windsor West/Windsor-Ouest"," 20","Windsor",11,69,27,48,0,1,156,369
35117,"Windsor West/Windsor-Ouest"," 21","Windsor",11,56,26,49,1,2,145,427
35117,"Windsor West/Windsor-Ouest"," 22","Windsor",20,74,16,44,1,3,158,543
35117,"Windsor West/Windsor-Ouest"," 23","Windsor",6,99,25,40,0,2,172,519
35117,"Windsor West/Windsor-Ouest"," 24","Windsor",16,76,16,33,0,1,142,486
35117,"Windsor West/Windsor-Ouest"," 25","Windsor",20,100,29,46,1,0,196,452
35117,"Windsor West/Windsor-Ouest"," 26","Windsor",26,77,31,19,0,1,154,511
35117,"Windsor West/Windsor-Ouest"," 27","Windsor",26,86,42,33,1,1,189,490
35117,"Windsor West/Windsor-Ouest"," 28","Windsor",25,88,43,22,2,3,183,501
35117,"Windsor West/Windsor-Ouest"," 29","Windsor",10,79,22,27,2,4,144,472
35117,"Windsor West/Windsor-Ouest"," 30","Windsor",11,37,7,21,0,1,77,327
35117,"Windsor West/Windsor-Ouest"," 31","Windsor",6,49,9,22,0,0,86,323
35117,"Windsor West/Windsor-Ouest"," 32","Windsor",13,45,13,23,1,1,96,405
