Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stefanie Bunko,Brian Everaert,Marilyn Gladu,Adam Kilner,Tom Laird,Lois Nantais,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35091,"Sarnia--Lambton/Sarnia--Lambton"," 1","Plympton-Wyoming",4,30,171,62,1,70,0,338,644
35091,"Sarnia--Lambton/Sarnia--Lambton"," 2","Plympton-Wyoming",6,32,116,30,3,49,0,236,533
35091,"Sarnia--Lambton/Sarnia--Lambton"," 3","Plympton-Wyoming",10,36,297,97,4,102,0,546,483
35091,"Sarnia--Lambton/Sarnia--Lambton"," 4","Sarnia",3,16,128,30,0,64,3,244,435
35091,"Sarnia--Lambton/Sarnia--Lambton"," 5","Sarnia",6,33,121,55,0,53,0,268,355
35091,"Sarnia--Lambton/Sarnia--Lambton"," 6","Sarnia",3,20,78,32,3,30,1,167,449
35091,"Sarnia--Lambton/Sarnia--Lambton"," 7","Sarnia",Merged with No./Fusionné avec le n°5,,,,,,,,345
35091,"Sarnia--Lambton/Sarnia--Lambton"," 8","Sarnia",4,29,106,39,0,30,0,208,484
35091,"Sarnia--Lambton/Sarnia--Lambton"," 9","Sarnia",Merged with No./Fusionné avec le n°4,,,,,,,,307
35091,"Sarnia--Lambton/Sarnia--Lambton"," 10","Sarnia",12,35,191,66,1,64,0,369,431
35091,"Sarnia--Lambton/Sarnia--Lambton"," 11","Sarnia",Merged with No./Fusionné avec le n°10,,,,,,,,427
35091,"Sarnia--Lambton/Sarnia--Lambton"," 12","Sarnia",5,30,176,85,4,113,4,417,470
35091,"Sarnia--Lambton/Sarnia--Lambton"," 13","Plympton-Wyoming",Merged with No./Fusionné avec le n°3,,,,,,,,486
35091,"Sarnia--Lambton/Sarnia--Lambton"," 14","Plympton-Wyoming",6,47,255,85,8,129,3,533,529
35091,"Sarnia--Lambton/Sarnia--Lambton"," 15","Plympton-Wyoming",5,22,211,66,2,81,3,390,695
35091,"Sarnia--Lambton/Sarnia--Lambton"," 16","Plympton-Wyoming",Merged with No./Fusionné avec le n°14,,,,,,,,462
35091,"Sarnia--Lambton/Sarnia--Lambton"," 17","Sarnia",3,13,108,43,1,52,3,223,486
35091,"Sarnia--Lambton/Sarnia--Lambton"," 18","Sarnia",3,23,93,39,0,59,0,217,411
35091,"Sarnia--Lambton/Sarnia--Lambton"," 19","Sarnia",5,23,94,56,1,68,2,249,509
35091,"Sarnia--Lambton/Sarnia--Lambton"," 20","Sarnia",0,13,111,34,0,43,0,201,477
35091,"Sarnia--Lambton/Sarnia--Lambton"," 21","Sarnia",Merged with No./Fusionné avec le n°22,,,,,,,,285
35091,"Sarnia--Lambton/Sarnia--Lambton"," 22","Sarnia",6,29,143,73,0,69,5,325,392
35091,"Sarnia--Lambton/Sarnia--Lambton"," 23","Sarnia",2,25,66,55,0,55,1,204,423
35091,"Sarnia--Lambton/Sarnia--Lambton"," 24","Sarnia",Merged with No./Fusionné avec le n°45,,,,,,,,340
35091,"Sarnia--Lambton/Sarnia--Lambton"," 25","Sarnia",3,18,84,40,0,37,1,183,414
35091,"Sarnia--Lambton/Sarnia--Lambton"," 26","Sarnia",5,31,129,87,1,105,1,359,435
35091,"Sarnia--Lambton/Sarnia--Lambton"," 27","Sarnia",Merged with No./Fusionné avec le n°29,,,,,,,,417
35091,"Sarnia--Lambton/Sarnia--Lambton"," 28","Sarnia",3,28,84,63,0,49,1,228,460
35091,"Sarnia--Lambton/Sarnia--Lambton"," 29","Sarnia",10,32,153,82,1,123,0,401,444
35091,"Sarnia--Lambton/Sarnia--Lambton"," 30","Sarnia",Merged with No./Fusionné avec le n°26,,,,,,,,438
35091,"Sarnia--Lambton/Sarnia--Lambton"," 31","Sarnia",4,22,151,96,3,102,3,381,406
35091,"Sarnia--Lambton/Sarnia--Lambton"," 32","Sarnia",3,28,71,68,1,33,1,205,422
35091,"Sarnia--Lambton/Sarnia--Lambton"," 33","Sarnia",6,13,95,70,0,45,2,231,424
35091,"Sarnia--Lambton/Sarnia--Lambton"," 34","Sarnia",8,35,152,102,2,71,3,373,356
35091,"Sarnia--Lambton/Sarnia--Lambton"," 35","Sarnia",Merged with No./Fusionné avec le n°34,,,,,,,,349
35091,"Sarnia--Lambton/Sarnia--Lambton"," 36","Sarnia",Merged with No./Fusionné avec le n°31,,,,,,,,395
35091,"Sarnia--Lambton/Sarnia--Lambton"," 37","Sarnia",7,10,125,30,2,54,3,231,506
35091,"Sarnia--Lambton/Sarnia--Lambton"," 38","Sarnia",4,31,159,79,1,89,0,363,425
35091,"Sarnia--Lambton/Sarnia--Lambton"," 39","Sarnia",Merged with No./Fusionné avec le n°38,,,,,,,,400
35091,"Sarnia--Lambton/Sarnia--Lambton"," 40","Sarnia",Merged with No./Fusionné avec le n°12,,,,,,,,454
35091,"Sarnia--Lambton/Sarnia--Lambton"," 41","Sarnia",9,26,130,63,0,73,1,302,369
35091,"Sarnia--Lambton/Sarnia--Lambton"," 42","Sarnia",Merged with No./Fusionné avec le n°41,,,,,,,,346
35091,"Sarnia--Lambton/Sarnia--Lambton"," 43","Sarnia",5,25,135,100,5,63,0,333,421
