Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,André Junior Cléroux,Michael Hartnett,Jessica Joanis,Marie-France Lalonde,Spencer Oklobdzija,Mary-Elsie Wolfe,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35076,"Orléans/Orléans"," 1","Ottawa",0,2,27,110,8,52,1,200,658
35076,"Orléans/Orléans"," 2","Ottawa",2,4,20,70,10,32,0,138,342
35076,"Orléans/Orléans"," 3A","Ottawa",1,3,23,87,8,60,2,184,646
35076,"Orléans/Orléans"," 3B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500,,,,,,,,54
35076,"Orléans/Orléans"," 4","Ottawa",0,6,46,95,9,52,0,208,504
35076,"Orléans/Orléans"," 5","Ottawa",1,5,26,82,13,49,1,177,519
35076,"Orléans/Orléans"," 6","Ottawa",0,2,27,64,8,40,2,143,408
35076,"Orléans/Orléans"," 7","Ottawa",2,5,40,72,10,43,0,172,480
35076,"Orléans/Orléans"," 8","Ottawa",0,7,25,163,6,86,1,288,550
35076,"Orléans/Orléans"," 9","Ottawa",1,5,41,128,7,63,1,246,554
35076,"Orléans/Orléans"," 10","Ottawa",0,6,21,100,6,64,0,197,525
35076,"Orléans/Orléans"," 11","Ottawa",0,4,28,88,11,45,0,176,494
35076,"Orléans/Orléans"," 12","Ottawa",Merged with No./Fusionné avec le n°42,,,,,,,,421
35076,"Orléans/Orléans"," 13","Ottawa",0,2,45,90,2,57,1,197,488
35076,"Orléans/Orléans"," 14","Ottawa",0,6,45,135,8,76,2,272,442
35076,"Orléans/Orléans"," 15","Ottawa",Merged with No./Fusionné avec le n°53,,,,,,,,351
35076,"Orléans/Orléans"," 16","Ottawa",Merged with No./Fusionné avec le n°49,,,,,,,,365
35076,"Orléans/Orléans"," 17","Ottawa",0,1,25,76,3,31,0,136,386
35076,"Orléans/Orléans"," 18","Ottawa",0,2,10,54,3,34,1,104,300
35076,"Orléans/Orléans"," 19","Ottawa",1,2,18,62,3,42,3,131,395
35076,"Orléans/Orléans"," 20","Ottawa",0,3,47,73,9,44,2,178,505
35076,"Orléans/Orléans"," 21","Ottawa",2,8,32,76,2,42,1,163,415
35076,"Orléans/Orléans"," 22","Ottawa",0,0,34,84,6,53,1,178,426
35076,"Orléans/Orléans"," 23","Ottawa",1,2,22,82,3,35,1,146,381
35076,"Orléans/Orléans"," 24","Ottawa",0,1,19,69,3,42,0,134,353
35076,"Orléans/Orléans"," 25","Ottawa",0,1,28,55,2,29,1,116,375
35076,"Orléans/Orléans"," 26","Ottawa",0,3,24,46,2,44,1,120,347
35076,"Orléans/Orléans"," 27","Ottawa",0,4,27,63,3,27,1,125,349
35076,"Orléans/Orléans"," 28","Ottawa",0,3,27,88,2,30,4,154,468
35076,"Orléans/Orléans"," 29","Ottawa",0,2,21,45,8,23,0,99,398
35076,"Orléans/Orléans"," 30","Ottawa",0,7,14,111,1,58,1,192,413
35076,"Orléans/Orléans"," 31","Ottawa",0,2,21,59,2,26,1,111,441
