Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Roberta Herod,Sandra Lozano,Gilmar Oprisan,Anna Roberts,Deb Schulte,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35043,"King--Vaughan/King--Vaughan"," 62","Vaughan",0,3,8,85,45,0,141,410
35043,"King--Vaughan/King--Vaughan"," 63","Vaughan",Merged with No./Fusionné avec le n°62,,,,,,,402
35043,"King--Vaughan/King--Vaughan"," 64","Vaughan",2,13,15,142,86,2,260,482
35043,"King--Vaughan/King--Vaughan"," 65","Vaughan",2,16,8,118,80,1,225,1065
35043,"King--Vaughan/King--Vaughan"," 66","Vaughan",Merged with No./Fusionné avec le n°64,,,,,,,686
35043,"King--Vaughan/King--Vaughan"," 67","Vaughan",3,14,8,70,93,1,189,528
35043,"King--Vaughan/King--Vaughan"," 68","Vaughan",Merged with No./Fusionné avec le n°67,,,,,,,480
35043,"King--Vaughan/King--Vaughan"," 69","Vaughan",3,24,9,96,117,2,251,520
35043,"King--Vaughan/King--Vaughan"," 70","Vaughan",Merged with No./Fusionné avec le n°69,,,,,,,514
35043,"King--Vaughan/King--Vaughan"," 71","Vaughan",6,24,11,90,112,0,243,598
35043,"King--Vaughan/King--Vaughan"," 72","Vaughan",0,7,2,87,53,0,149,393
35043,"King--Vaughan/King--Vaughan"," 73","Vaughan",Merged with No./Fusionné avec le n°72,,,,,,,445
35043,"King--Vaughan/King--Vaughan"," 74","Vaughan",0,5,3,81,67,1,157,478
35043,"King--Vaughan/King--Vaughan"," 75","Vaughan",4,8,6,151,48,0,217,622
35043,"King--Vaughan/King--Vaughan"," 76","Vaughan",Merged with No./Fusionné avec le n°75,,,,,,,439
35043,"King--Vaughan/King--Vaughan"," 77","Vaughan",Merged with No./Fusionné avec le n°74,,,,,,,505
35043,"King--Vaughan/King--Vaughan"," 78","Vaughan",0,20,7,82,82,2,193,474
35043,"King--Vaughan/King--Vaughan"," 79","Vaughan",Merged with No./Fusionné avec le n°78,,,,,,,540
35043,"King--Vaughan/King--Vaughan"," 80A","Vaughan",2,8,12,62,62,1,147,795
35043,"King--Vaughan/King--Vaughan"," 80B","Vaughan",3,20,8,48,65,0,144,259
35043,"King--Vaughan/King--Vaughan"," 81","Vaughan",2,8,3,38,58,3,112,550
35043,"King--Vaughan/King--Vaughan"," 82","Vaughan",2,20,13,101,77,4,217,443
35043,"King--Vaughan/King--Vaughan"," 83","Vaughan",Merged with No./Fusionné avec le n°82,,,,,,,428
35043,"King--Vaughan/King--Vaughan"," 84","Vaughan",2,16,2,98,90,0,208,338
35043,"King--Vaughan/King--Vaughan"," 85","Vaughan",Merged with No./Fusionné avec le n°84,,,,,,,392
35043,"King--Vaughan/King--Vaughan"," 86","Vaughan",Merged with No./Fusionné avec le n°84,,,,,,,377
35043,"King--Vaughan/King--Vaughan"," 87","Vaughan",1,15,21,78,127,1,243,512
35043,"King--Vaughan/King--Vaughan"," 88","Vaughan",Merged with No./Fusionné avec le n°87,,,,,,,544
35043,"King--Vaughan/King--Vaughan"," 89","Vaughan",4,8,4,85,89,3,193,410
35043,"King--Vaughan/King--Vaughan"," 90","Vaughan",Merged with No./Fusionné avec le n°89,,,,,,,501
35043,"King--Vaughan/King--Vaughan"," 91","Vaughan",5,16,7,74,116,1,219,494
35043,"King--Vaughan/King--Vaughan"," 92","Vaughan",Merged with No./Fusionné avec le n°91,,,,,,,423
35043,"King--Vaughan/King--Vaughan"," 93","Vaughan",0,16,10,72,79,1,178,365
35043,"King--Vaughan/King--Vaughan"," 94","Vaughan",Merged with No./Fusionné avec le n°93,,,,,,,439
35043,"King--Vaughan/King--Vaughan"," 95","Vaughan",Merged with No./Fusionné avec le n°71,,,,,,,490
35043,"King--Vaughan/King--Vaughan"," 96","Nobleton",4,21,15,173,67,0,280,447
35043,"King--Vaughan/King--Vaughan"," 97","Nobleton",5,10,6,149,82,3,255,870
35043,"King--Vaughan/King--Vaughan"," 98","Vaughan",Merged with No./Fusionné avec le n°96,,,,,,,380
35043,"King--Vaughan/King--Vaughan"," 99","Vaughan",2,16,5,16,155,1,195,664
35043,"King--Vaughan/King--Vaughan"," 100","Vaughan",Merged with No./Fusionné avec le n°99,,,,,,,460
35043,"King--Vaughan/King--Vaughan"," 101","Vaughan",7,17,10,33,133,1,201,487
35043,"King--Vaughan/King--Vaughan"," 102","Vaughan",Merged with No./Fusionné avec le n°101,,,,,,,527
35043,"King--Vaughan/King--Vaughan"," 103","Vaughan",2,11,4,76,50,1,144,566
35043,"King--Vaughan/King--Vaughan"," 104","Vaughan",Merged with No./Fusionné avec le n°103,,,,,,,365
35043,"King--Vaughan/King--Vaughan"," 105","Vaughan",2,14,10,143,57,1,227,1197
35043,"King--Vaughan/King--Vaughan"," 106","Vaughan",1,8,8,146,70,3,236,830
35043,"King--Vaughan/King--Vaughan"," 107","Vaughan",Merged with No./Fusionné avec le n°106,,,,,,,526
35043,"King--Vaughan/King--Vaughan"," 108","Vaughan",6,30,11,135,154,0,336,351
35043,"King--Vaughan/King--Vaughan"," 109","Vaughan",Merged with No./Fusionné avec le n°108,,,,,,,460
35043,"King--Vaughan/King--Vaughan"," 110","Vaughan",4,23,3,155,122,1,308,501
35043,"King--Vaughan/King--Vaughan"," 111","Vaughan",Merged with No./Fusionné avec le n°108,,,,,,,439
35043,"King--Vaughan/King--Vaughan"," 112","Vaughan",Merged with No./Fusionné avec le n°110,,,,,,,514
35043,"King--Vaughan/King--Vaughan"," 113","Vaughan",6,31,9,132,174,2,354,461
35043,"King--Vaughan/King--Vaughan"," 114","Vaughan",Merged with No./Fusionné avec le n°113,,,,,,,435
35043,"King--Vaughan/King--Vaughan"," 115","Vaughan",Merged with No./Fusionné avec le n°113,,,,,,,486
35043,"King--Vaughan/King--Vaughan"," 116","Vaughan",1,14,13,102,123,2,255,591
35043,"King--Vaughan/King--Vaughan"," 117","Vaughan",Merged with No./Fusionné avec le n°116,,,,,,,427
35043,"King--Vaughan/King--Vaughan"," 118","Vaughan",5,30,8,101,170,5,319,470
35043,"King--Vaughan/King--Vaughan"," 119","Vaughan",Merged with No./Fusionné avec le n°118,,,,,,,305
35043,"King--Vaughan/King--Vaughan"," 120","Vaughan",Merged with No./Fusionné avec le n°118,,,,,,,394
35043,"King--Vaughan/King--Vaughan"," 121","Vaughan",0,21,13,92,97,3,226,400
35043,"King--Vaughan/King--Vaughan"," 122","Vaughan",Merged with No./Fusionné avec le n°121,,,,,,,351
35043,"King--Vaughan/King--Vaughan"," 123","Vaughan",3,15,3,37,104,1,163,495
35043,"King--Vaughan/King--Vaughan"," 124","Vaughan",Merged with No./Fusionné avec le n°123,,,,,,,456
35043,"King--Vaughan/King--Vaughan"," 125","Vaughan",2,16,16,67,91,0,192,572
35043,"King--Vaughan/King--Vaughan"," 126","Vaughan",Merged with No./Fusionné avec le n°125,,,,,,,490
35043,"King--Vaughan/King--Vaughan"," 127","Vaughan",0,18,5,46,94,1,164,542
35043,"King--Vaughan/King--Vaughan"," 128","Vaughan",1,20,20,136,151,2,330,582
35043,"King--Vaughan/King--Vaughan"," 129","Vaughan",Merged with No./Fusionné avec le n°128,,,,,,,470
35043,"King--Vaughan/King--Vaughan"," 130","Vaughan",4,17,18,103,110,0,252,373
35043,"King--Vaughan/King--Vaughan"," 131","Vaughan",Merged with No./Fusionné avec le n°130,,,,,,,361
35043,"King--Vaughan/King--Vaughan"," 132","Vaughan",5,21,5,88,161,2,282,383
35043,"King--Vaughan/King--Vaughan"," 133","Vaughan",Merged with No./Fusionné avec le n°132,,,,,,,323
35043,"King--Vaughan/King--Vaughan"," 134","Vaughan",4,16,6,81,141,1,249,314
35043,"King--Vaughan/King--Vaughan"," 135","Vaughan",Merged with No./Fusionné avec le n°134,,,,,,,372
35043,"King--Vaughan/King--Vaughan"," 136","Vaughan",8,24,10,103,151,0,296,292
35043,"King--Vaughan/King--Vaughan"," 137","Vaughan",0,20,7,68,99,3,197,524
35043,"King--Vaughan/King--Vaughan"," 138","Vaughan",Merged with No./Fusionné avec le n°137,,,,,,,439
35043,"King--Vaughan/King--Vaughan"," 139","Vaughan",4,12,6,93,92,2,209,446
35043,"King--Vaughan/King--Vaughan"," 140","Vaughan",Merged with No./Fusionné avec le n°139,,,,,,,421
35043,"King--Vaughan/King--Vaughan"," 141","Vaughan",2,12,11,64,92,0,181,492
35043,"King--Vaughan/King--Vaughan"," 142","Vaughan",Merged with No./Fusionné avec le n°141,,,,,,,373
35043,"King--Vaughan/King--Vaughan"," 143","Vaughan",13,24,29,134,122,0,322,524
35043,"King--Vaughan/King--Vaughan"," 144","Vaughan",Merged with No./Fusionné avec le n°143,,,,,,,459
35043,"King--Vaughan/King--Vaughan"," 145","Vaughan",13,27,16,228,200,5,489,376
35043,"King--Vaughan/King--Vaughan"," 146","Vaughan",Merged with No./Fusionné avec le n°145,,,,,,,461
35043,"King--Vaughan/King--Vaughan"," 147","Vaughan",Merged with No./Fusionné avec le n°145,,,,,,,482
35043,"King--Vaughan/King--Vaughan"," 148","Vaughan",6,33,21,178,158,2,398,460
35043,"King--Vaughan/King--Vaughan"," 149","Vaughan",Merged with No./Fusionné avec le n°148,,,,,,,587
35043,"King--Vaughan/King--Vaughan"," 150","Vaughan",4,10,5,43,105,0,167,410
35043,"King--Vaughan/King--Vaughan"," 151","Vaughan",Merged with No./Fusionné avec le n°150,,,,,,,495
35043,"King--Vaughan/King--Vaughan"," 152","Vaughan",Merged with No./Fusionné avec le n°127,,,,,,,407
35043,"King--Vaughan/King--Vaughan"," 153","Vaughan",0,21,7,51,140,0,219,461
35043,"King--Vaughan/King--Vaughan"," 154","Vaughan",Merged with No./Fusionné avec le n°153,,,,,,,562
35043,"King--Vaughan/King--Vaughan"," 155","Vaughan",3,15,3,74,104,2,201,409
35043,"King--Vaughan/King--Vaughan"," 156","Vaughan",2,21,1,95,116,3,238,701
35043,"King--Vaughan/King--Vaughan"," 157","Vaughan",1,29,13,97,111,1,252,513
35043,"King--Vaughan/King--Vaughan"," 158","Vaughan",Merged with No./Fusionné avec le n°156,,,,,,,428
35043,"King--Vaughan/King--Vaughan"," 159","Vaughan",Merged with No./Fusionné avec le n°157,,,,,,,573
35043,"King--Vaughan/King--Vaughan"," 160","Vaughan",6,26,13,109,136,0,290,500
35043,"King--Vaughan/King--Vaughan"," 161","Vaughan",Merged with No./Fusionné avec le n°160,,,,,,,430
35043,"King--Vaughan/King--Vaughan"," 162","Vaughan",Merged with No./Fusionné avec le n°165,,,,,,,443
35043,"King--Vaughan/King--Vaughan"," 163","Vaughan",6,33,10,104,131,2,286,378
35043,"King--Vaughan/King--Vaughan"," 164","Vaughan",Merged with No./Fusionné avec le n°163,,,,,,,504
35043,"King--Vaughan/King--Vaughan"," 165","Vaughan",5,27,12,86,136,0,266,480
35043,"King--Vaughan/King--Vaughan"," 166","Vaughan",3,15,6,88,98,2,212,521
35043,"King--Vaughan/King--Vaughan"," 167","Vaughan",Merged with No./Fusionné avec le n°166,,,,,,,610
35043,"King--Vaughan/King--Vaughan"," 168","Vaughan",2,14,8,81,131,0,236,588
35043,"King--Vaughan/King--Vaughan"," 169","Vaughan",Merged with No./Fusionné avec le n°168,,,,,,,572
35043,"King--Vaughan/King--Vaughan"," 170","Vaughan",Merged with No./Fusionné avec le n°155,,,,,,,541
35043,"King--Vaughan/King--Vaughan"," 171","Vaughan",1,17,11,82,95,1,207,1004
35043,"King--Vaughan/King--Vaughan"," 172","Vaughan",1,7,9,92,91,0,200,1013
35043,"King--Vaughan/King--Vaughan"," 173","Vaughan",7,30,17,161,177,1,393,527
35043,"King--Vaughan/King--Vaughan"," 174","Vaughan",Merged with No./Fusionné avec le n°173,,,,,,,516
35043,"King--Vaughan/King--Vaughan"," 175","Vaughan",8,57,15,204,282,4,570,479
35043,"King--Vaughan/King--Vaughan"," 176","Vaughan",Merged with No./Fusionné avec le n°175,,,,,,,393
35043,"King--Vaughan/King--Vaughan"," 177","Vaughan",Merged with No./Fusionné avec le n°175,,,,,,,385
35043,"King--Vaughan/King--Vaughan"," 178","Vaughan",7,26,10,143,180,2,368,395
35043,"King--Vaughan/King--Vaughan"," 179","Vaughan",Merged with No./Fusionné avec le n°136,,,,,,,477
35043,"King--Vaughan/King--Vaughan"," 180","Vaughan",Merged with No./Fusionné avec le n°178,,,,,,,529
35043,"King--Vaughan/King--Vaughan"," 181A","Vaughan",4,19,9,181,141,4,358,808
35043,"King--Vaughan/King--Vaughan"," 181B","Vaughan",3,11,11,131,128,0,284,762
35043,"King--Vaughan/King--Vaughan"," 182","Vaughan",4,12,8,351,123,2,500,658
35043,"King--Vaughan/King--Vaughan"," 183","Vaughan",2,9,19,153,128,3,314,814
35043,"King--Vaughan/King--Vaughan"," 184","Vaughan",4,22,18,230,135,1,410,474
35043,"King--Vaughan/King--Vaughan"," 185","Vaughan",Merged with No./Fusionné avec le n°184,,,,,,,477
35043,"King--Vaughan/King--Vaughan"," 186","Vaughan",Merged with No./Fusionné avec le n°182,,,,,,,458
35043,"King--Vaughan/King--Vaughan"," 187","Vaughan",1,23,6,115,132,0,277,409
35043,"King--Vaughan/King--Vaughan"," 188","Vaughan",3,16,12,55,114,1,201,669
35043,"King--Vaughan/King--Vaughan"," 189","Vaughan",11,28,12,149,125,2,327,485
35043,"King--Vaughan/King--Vaughan"," 190","Vaughan",Merged with No./Fusionné avec le n°189,,,,,,,454
35043,"King--Vaughan/King--Vaughan"," 191","Vaughan",Merged with No./Fusionné avec le n°187,,,,,,,397
35043,"King--Vaughan/King--Vaughan"," 192","Vaughan",5,27,9,83,123,3,250,381
35043,"King--Vaughan/King--Vaughan"," 193","Vaughan",Merged with No./Fusionné avec le n°192,,,,,,,467
35043,"King--Vaughan/King--Vaughan"," 194","Vaughan",2,8,1,59,143,21,234,324
35043,"King--Vaughan/King--Vaughan"," 195","Vaughan",3,25,18,80,121,5,252,447
35043,"King--Vaughan/King--Vaughan"," 196","Vaughan",Merged with No./Fusionné avec le n°195,,,,,,,415
35043,"King--Vaughan/King--Vaughan"," 197","Vaughan",2,19,2,82,156,2,263,405
35043,"King--Vaughan/King--Vaughan"," 198","Vaughan",Merged with No./Fusionné avec le n°197,,,,,,,446
35043,"King--Vaughan/King--Vaughan"," 199A","Vaughan",2,26,7,136,158,0,329,833
35043,"King--Vaughan/King--Vaughan"," 199B","Vaughan",5,22,16,142,131,2,318,894
35043,"King--Vaughan/King--Vaughan"," 200","Vaughan",10,33,8,233,201,0,485,746
35043,"King--Vaughan/King--Vaughan"," 201","Vaughan",Merged with No./Fusionné avec le n°200,,,,,,,597
35043,"King--Vaughan/King--Vaughan"," 202","Vaughan",5,29,14,100,153,6,307,967
35043,"King--Vaughan/King--Vaughan"," 203","Vaughan",4,36,6,130,201,1,378,1048
35043,"King--Vaughan/King--Vaughan"," 204","Vaughan",3,21,10,83,99,0,216,660
35043,"King--Vaughan/King--Vaughan"," 400","King City",2,4,2,36,71,1,116,233
35043,"King--Vaughan/King--Vaughan"," 401","Vaughan",Merged with No./Fusionné avec le n°134,,,,,,,32
35043,"King--Vaughan/King--Vaughan"," 402","Vaughan",1,4,1,20,37,0,63,115
35043,"King--Vaughan/King--Vaughan"," 403","Vaughan",0,2,5,33,56,2,98,134
35043,"King--Vaughan/King--Vaughan"," 404","Vaughan",1,7,3,16,56,0,83,115
35043,"King--Vaughan/King--Vaughan"," 405","Vaughan",4,14,9,69,82,0,178,296
35043,"King--Vaughan/King--Vaughan"," 406","Vaughan",3,9,8,59,66,2,147,260
35043,"King--Vaughan/King--Vaughan"," 407","Vaughan",2,7,6,58,65,6,144,284
35043,"King--Vaughan/King--Vaughan"," 408","Vaughan",3,11,4,53,79,1,151,282
35043,"King--Vaughan/King--Vaughan"," 500","Mobile poll/Bureau itinérant",2,1,2,0,3,1,9,15
35043,"King--Vaughan/King--Vaughan"," 501","Mobile poll/Bureau itinérant",0,0,2,0,5,0,7,15
35043,"King--Vaughan/King--Vaughan"," 502","Mobile poll/Bureau itinérant",0,3,0,11,21,2,37,74
35043,"King--Vaughan/King--Vaughan"," 503","Mobile poll/Bureau itinérant",0,3,0,18,29,1,51,113
35043,"King--Vaughan/King--Vaughan"," 504","Mobile poll/Bureau itinérant",2,3,1,10,19,6,41,79
35043,"King--Vaughan/King--Vaughan"," 505","Mobile poll/Bureau itinérant",0,3,0,2,6,0,11,16
35043,"King--Vaughan/King--Vaughan"," 506","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°130,,,,,,,99
35043,"King--Vaughan/King--Vaughan"," 507","Mobile poll/Bureau itinérant",0,1,1,5,8,0,15,23
35043,"King--Vaughan/King--Vaughan"," 508","Mobile poll/Bureau itinérant",0,1,1,1,17,0,20,27
35043,"King--Vaughan/King--Vaughan"," 600","King--Schomberg",15,67,46,495,364,5,992,
35043,"King--Vaughan/King--Vaughan"," 601","King--Kettleby",11,46,31,528,267,2,885,
35043,"King--Vaughan/King--Vaughan"," 602","King City",28,70,79,1057,610,5,1849,
35043,"King--Vaughan/King--Vaughan"," 603","King--Nobleton",6,15,35,368,222,2,648,
35043,"King--Vaughan/King--Vaughan"," 604","Vaughan",5,30,37,425,192,0,689,
35043,"King--Vaughan/King--Vaughan"," 605","Vaughan",5,34,44,332,235,1,651,
35043,"King--Vaughan/King--Vaughan"," 606","Vaughan",2,24,28,605,244,3,906,
35043,"King--Vaughan/King--Vaughan"," 607","Vaughan",12,38,46,393,290,5,784,
35043,"King--Vaughan/King--Vaughan"," 608","Vaughan",14,81,54,357,510,6,1022,
35043,"King--Vaughan/King--Vaughan"," 609","Vaughan",4,73,57,340,470,14,958,
35043,"King--Vaughan/King--Vaughan"," 610","Vaughan",4,55,32,190,958,14,1253,
35043,"King--Vaughan/King--Vaughan"," 611","Vaughan",14,81,54,313,496,7,965,
35043,"King--Vaughan/King--Vaughan"," 612","Vaughan",4,67,42,149,257,5,524,
35043,"King--Vaughan/King--Vaughan"," 613","Vaughan",5,48,42,384,370,2,851,
35043,"King--Vaughan/King--Vaughan"," 614","Vaughan",6,48,46,389,482,6,977,
35043,"King--Vaughan/King--Vaughan"," 615","Vaughan",6,49,45,313,393,5,811,
35043,"King--Vaughan/King--Vaughan"," 616","Vaughan",3,40,35,279,347,2,706,
35043,"King--Vaughan/King--Vaughan"," 617","Vaughan",3,24,42,560,238,4,871,
35043,"King--Vaughan/King--Vaughan"," 618","Vaughan",7,22,46,524,195,0,794,
35043,"King--Vaughan/King--Vaughan"," 619","King",12,41,77,482,275,7,894,
35043,"King--Vaughan/King--Vaughan"," 620","Vaughan",5,23,28,248,190,0,494,
35043,"King--Vaughan/King--Vaughan"," 621","Vaughan",4,21,27,312,275,5,644,
35043,"King--Vaughan/King--Vaughan",,Group 1/Groupe 1, 9,51,25,216,189,33,523,173
35043,"King--Vaughan/King--Vaughan",,Group 2/Groupe 2, 19,132,49,832,1121,67,2220,
