Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Shafqat Ali,Jim McDowell,Ronni Shino,Jagdeep Singh,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35008,"Brampton Centre/Brampton-Centre"," 1","Brampton",62,35,7,45,1,150,446
35008,"Brampton Centre/Brampton-Centre"," 2","Brampton",33,19,4,41,0,97,297
35008,"Brampton Centre/Brampton-Centre"," 3","Brampton",52,33,11,33,0,129,384
35008,"Brampton Centre/Brampton-Centre"," 4","Brampton",36,27,2,31,2,98,313
35008,"Brampton Centre/Brampton-Centre"," 5","Brampton",50,31,5,41,2,129,361
35008,"Brampton Centre/Brampton-Centre"," 6","Brampton",33,22,5,39,0,99,306
35008,"Brampton Centre/Brampton-Centre"," 7","Brampton",33,27,11,58,0,129,398
35008,"Brampton Centre/Brampton-Centre"," 8","Brampton",68,30,3,45,0,146,440
35008,"Brampton Centre/Brampton-Centre"," 9","Brampton",51,22,4,36,2,115,348
35008,"Brampton Centre/Brampton-Centre"," 10","Brampton",71,29,6,44,2,152,462
35008,"Brampton Centre/Brampton-Centre"," 11","Brampton",29,17,1,27,3,77,289
35008,"Brampton Centre/Brampton-Centre"," 12","Brampton",56,30,7,28,2,123,458
35008,"Brampton Centre/Brampton-Centre"," 13","Brampton",60,27,1,46,0,134,373
35008,"Brampton Centre/Brampton-Centre"," 14","Brampton",60,32,6,46,1,145,388
35008,"Brampton Centre/Brampton-Centre"," 15","Brampton",59,35,5,64,1,164,453
35008,"Brampton Centre/Brampton-Centre"," 16","Brampton",46,28,14,50,0,138,436
35008,"Brampton Centre/Brampton-Centre"," 17","Brampton",46,36,2,49,0,133,388
35008,"Brampton Centre/Brampton-Centre"," 18","Brampton",89,28,6,34,2,159,528
35008,"Brampton Centre/Brampton-Centre"," 19","Brampton",47,20,4,22,0,93,415
35008,"Brampton Centre/Brampton-Centre"," 20","Brampton",55,17,5,36,0,113,328
35008,"Brampton Centre/Brampton-Centre"," 21","Brampton",72,25,6,69,4,176,523
35008,"Brampton Centre/Brampton-Centre"," 22","Brampton",73,28,3,74,2,180,520
35008,"Brampton Centre/Brampton-Centre"," 23","Brampton",62,31,3,64,4,164,455
35008,"Brampton Centre/Brampton-Centre"," 24","Brampton",49,23,2,67,0,141,378
35008,"Brampton Centre/Brampton-Centre"," 25","Brampton",67,31,2,37,2,139,302
35008,"Brampton Centre/Brampton-Centre"," 26","Brampton",44,20,1,50,2,117,296
35008,"Brampton Centre/Brampton-Centre"," 27A","Brampton",54,22,4,44,0,124,420
35008,"Brampton Centre/Brampton-Centre"," 27B","Brampton",55,12,2,33,2,104,349
35008,"Brampton Centre/Brampton-Centre"," 28","Brampton",56,23,7,40,1,127,371
35008,"Brampton Centre/Brampton-Centre"," 29","Brampton",Void/Supprimé,,,,,,
35008,"Brampton Centre/Brampton-Centre"," 30","Brampton",59,17,0,24,4,104,350
35008,"Brampton Centre/Brampton-Centre"," 31","Brampton",58,27,5,21,2,113,331
35008,"Brampton Centre/Brampton-Centre"," 32","Brampton",33,26,0,31,2,92,333
35008,"Brampton Centre/Brampton-Centre"," 33","Brampton",55,36,5,72,1,169,428
35008,"Brampton Centre/Brampton-Centre"," 34","Brampton",46,14,1,26,0,87,310
35008,"Brampton Centre/Brampton-Centre"," 35","Brampton",68,27,4,43,1,143,338
35008,"Brampton Centre/Brampton-Centre"," 36","Brampton",82,57,3,62,4,208,485
35008,"Brampton Centre/Brampton-Centre"," 37","Brampton",75,28,5,56,2,166,457
35008,"Brampton Centre/Brampton-Centre"," 38","Brampton",36,27,3,39,0,105,299
35008,"Brampton Centre/Brampton-Centre"," 39","Brampton",75,19,1,27,0,122,303
