Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bailey Bedard,Bob Benzen,Mark Dejewski,Scott Forsyth,Annelise Freeman,Kathleen M. Johnson,Malka Labell,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48007,"Calgary Heritage/Calgary Heritage"," 1","Calgary",14,99,1,22,1,65,3,0,205,510
48007,"Calgary Heritage/Calgary Heritage"," 2","Calgary",17,142,1,40,2,37,8,0,247,471
48007,"Calgary Heritage/Calgary Heritage"," 3","Calgary",11,114,2,37,1,40,10,2,217,378
48007,"Calgary Heritage/Calgary Heritage"," 4","Calgary",7,140,0,31,6,40,4,1,229,441
48007,"Calgary Heritage/Calgary Heritage"," 5","Calgary",9,118,2,35,1,45,4,0,214,391
48007,"Calgary Heritage/Calgary Heritage"," 6","Calgary",7,126,0,48,1,43,2,0,227,414
48007,"Calgary Heritage/Calgary Heritage"," 7","Calgary",14,139,6,61,4,70,0,0,294,539
48007,"Calgary Heritage/Calgary Heritage"," 8","Calgary",4,89,2,35,3,28,5,0,166,369
48007,"Calgary Heritage/Calgary Heritage"," 9","Calgary",10,166,4,34,2,25,3,1,245,431
48007,"Calgary Heritage/Calgary Heritage"," 10","Calgary",4,123,1,27,1,17,2,1,176,322
48007,"Calgary Heritage/Calgary Heritage"," 11","Calgary",4,154,0,29,2,16,2,0,207,506
48007,"Calgary Heritage/Calgary Heritage"," 12","Calgary",1,83,1,17,2,30,3,0,137,404
48007,"Calgary Heritage/Calgary Heritage"," 13","Calgary",5,128,0,28,13,31,1,3,209,454
48007,"Calgary Heritage/Calgary Heritage"," 14","Calgary",13,125,0,42,1,41,2,0,224,499
48007,"Calgary Heritage/Calgary Heritage"," 15","Calgary",5,128,0,32,4,27,3,0,199,498
48007,"Calgary Heritage/Calgary Heritage"," 16","Calgary",4,124,0,43,1,32,8,0,212,424
48007,"Calgary Heritage/Calgary Heritage"," 17","Calgary",16,81,1,41,1,54,1,0,195,378
48007,"Calgary Heritage/Calgary Heritage"," 18","Calgary",18,113,2,46,3,53,3,0,238,526
48007,"Calgary Heritage/Calgary Heritage"," 19","Calgary",11,129,0,41,2,44,3,0,230,507
48007,"Calgary Heritage/Calgary Heritage"," 20","Calgary",6,47,0,26,0,32,5,2,118,462
48007,"Calgary Heritage/Calgary Heritage"," 21","Calgary",3,106,0,24,0,20,0,1,154,471
48007,"Calgary Heritage/Calgary Heritage"," 22","Calgary",3,90,0,23,1,14,1,0,132,465
48007,"Calgary Heritage/Calgary Heritage"," 23","Calgary",8,93,0,33,2,28,1,0,165,415
48007,"Calgary Heritage/Calgary Heritage"," 24","Calgary",11,73,1,21,4,52,2,2,166,521
48007,"Calgary Heritage/Calgary Heritage"," 25","Calgary",3,119,1,38,1,28,1,0,191,469
48007,"Calgary Heritage/Calgary Heritage"," 26","Calgary",4,109,0,41,3,40,3,0,200,462
48007,"Calgary Heritage/Calgary Heritage"," 27","Calgary",2,123,3,19,0,13,4,1,165,451
48007,"Calgary Heritage/Calgary Heritage"," 28","Calgary",9,75,0,28,3,38,4,0,157,380
48007,"Calgary Heritage/Calgary Heritage"," 29","Calgary",4,104,1,37,3,49,6,1,205,504
48007,"Calgary Heritage/Calgary Heritage"," 30","Calgary",13,95,1,28,2,35,3,0,177,426
48007,"Calgary Heritage/Calgary Heritage"," 31","Calgary",13,72,0,37,3,47,6,2,180,462
48007,"Calgary Heritage/Calgary Heritage"," 32","Calgary",16,51,1,39,4,54,3,0,168,524
48007,"Calgary Heritage/Calgary Heritage"," 33","Calgary",12,54,1,28,2,31,2,0,130,418
48007,"Calgary Heritage/Calgary Heritage"," 34","Calgary",13,75,2,39,7,58,6,2,202,458
48007,"Calgary Heritage/Calgary Heritage"," 35","Calgary",5,60,1,29,1,36,5,2,139,433
48007,"Calgary Heritage/Calgary Heritage"," 36","Calgary",11,80,1,38,0,44,2,0,176,382
48007,"Calgary Heritage/Calgary Heritage"," 37","Calgary",3,93,0,25,4,55,1,0,181,513
48007,"Calgary Heritage/Calgary Heritage"," 38","Calgary",4,42,0,13,0,9,0,0,68,249
48007,"Calgary Heritage/Calgary Heritage"," 39","Calgary",9,108,0,54,3,52,5,0,231,521
48007,"Calgary Heritage/Calgary Heritage"," 40","Calgary",18,136,3,41,1,54,7,0,260,543
48007,"Calgary Heritage/Calgary Heritage"," 41","Calgary",10,116,7,40,0,37,1,0,211,481
48007,"Calgary Heritage/Calgary Heritage"," 42","Calgary",8,134,1,44,1,54,4,0,246,495
48007,"Calgary Heritage/Calgary Heritage"," 43","Calgary",21,117,1,26,0,46,6,0,217,518
48007,"Calgary Heritage/Calgary Heritage"," 44","Calgary",11,64,0,23,1,49,3,0,151,428
48007,"Calgary Heritage/Calgary Heritage"," 45","Calgary",11,63,1,26,2,35,4,0,142,354
48007,"Calgary Heritage/Calgary Heritage"," 46","Calgary",16,77,1,30,0,35,3,0,162,469
48007,"Calgary Heritage/Calgary Heritage"," 47","Calgary",13,66,1,25,0,44,3,0,152,437
48007,"Calgary Heritage/Calgary Heritage"," 48","Calgary",4,81,4,31,4,27,1,0,152,468
48007,"Calgary Heritage/Calgary Heritage"," 49","Calgary",4,82,0,26,0,31,6,2,151,476
48007,"Calgary Heritage/Calgary Heritage"," 50","Calgary",3,114,1,42,1,27,1,1,190,476
48007,"Calgary Heritage/Calgary Heritage"," 51","Calgary",11,109,0,17,0,16,1,0,154,399
48007,"Calgary Heritage/Calgary Heritage"," 52","Calgary",10,59,0,32,1,39,6,0,147,383
48007,"Calgary Heritage/Calgary Heritage"," 53","Calgary",6,64,1,21,1,18,4,1,116,463
48007,"Calgary Heritage/Calgary Heritage"," 54","Calgary",2,99,0,34,2,18,1,2,158,452
48007,"Calgary Heritage/Calgary Heritage"," 55","Calgary",10,120,1,24,2,39,4,4,204,431
48007,"Calgary Heritage/Calgary Heritage"," 56","Calgary",15,91,1,26,7,28,2,1,171,405
48007,"Calgary Heritage/Calgary Heritage"," 57","Calgary",12,66,0,28,0,29,3,1,139,354
48007,"Calgary Heritage/Calgary Heritage"," 58","Calgary",10,109,0,23,7,54,0,0,203,454
48007,"Calgary Heritage/Calgary Heritage"," 59","Calgary",6,63,1,15,3,35,4,0,127,369
48007,"Calgary Heritage/Calgary Heritage"," 60","Calgary",3,61,0,17,2,36,4,0,123,376
48007,"Calgary Heritage/Calgary Heritage"," 61","Calgary",10,85,2,29,3,24,6,0,159,392
48007,"Calgary Heritage/Calgary Heritage"," 62","Calgary",4,81,0,27,4,25,2,1,144,415
48007,"Calgary Heritage/Calgary Heritage"," 63","Calgary",7,60,1,19,0,22,2,0,111,353
48007,"Calgary Heritage/Calgary Heritage"," 64","Calgary",5,59,0,16,1,41,3,1,126,364
48007,"Calgary Heritage/Calgary Heritage"," 65","Calgary",11,51,2,19,3,26,1,1,114,393
48007,"Calgary Heritage/Calgary Heritage"," 66","Calgary",4,66,1,32,1,37,3,0,144,387
48007,"Calgary Heritage/Calgary Heritage"," 67","Calgary",14,49,0,27,1,30,3,0,124,351
48007,"Calgary Heritage/Calgary Heritage"," 68","Calgary",13,81,1,32,2,43,4,0,176,493
48007,"Calgary Heritage/Calgary Heritage"," 69","Calgary",13,72,2,15,2,36,3,0,143,385
48007,"Calgary Heritage/Calgary Heritage"," 70","Calgary",17,103,1,25,1,45,2,0,194,456
48007,"Calgary Heritage/Calgary Heritage"," 71","Calgary",8,94,1,39,1,43,5,0,191,470
48007,"Calgary Heritage/Calgary Heritage"," 72","Calgary",10,88,1,38,1,52,3,0,193,505
48007,"Calgary Heritage/Calgary Heritage"," 73","Calgary",15,98,0,29,0,37,2,1,182,403
48007,"Calgary Heritage/Calgary Heritage"," 74","Calgary",15,123,1,43,1,60,6,0,249,499
48007,"Calgary Heritage/Calgary Heritage"," 75","Calgary",14,121,2,35,1,34,2,0,209,436
48007,"Calgary Heritage/Calgary Heritage"," 76","Calgary",11,71,0,37,5,51,5,0,180,452
48007,"Calgary Heritage/Calgary Heritage"," 77","Calgary",10,132,0,21,2,45,3,1,214,425
48007,"Calgary Heritage/Calgary Heritage"," 78","Calgary",19,138,1,45,1,64,6,2,276,515
48007,"Calgary Heritage/Calgary Heritage"," 79","Calgary",23,121,0,30,4,48,2,0,228,503
48007,"Calgary Heritage/Calgary Heritage"," 80","Calgary",21,120,0,45,2,62,3,0,253,539
48007,"Calgary Heritage/Calgary Heritage"," 81","Calgary",12,118,2,31,3,63,6,0,235,528
48007,"Calgary Heritage/Calgary Heritage"," 82","Calgary",7,90,0,33,1,48,4,1,184,451
48007,"Calgary Heritage/Calgary Heritage"," 83","Calgary",4,109,0,19,2,42,9,2,187,474
