Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Catherine Dickins,Greg Fergus,Eric Fleury,Samuel Gendron,Simon Gnocchini-Messier,Josée Lafleur,Mike LeBlanc,Sandrine Perion,Simon Provost,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24030,"Hull--Aylmer/Hull--Aylmer"," 1","Gatineau",0,94,3,17,8,3,2,13,44,1,185,441
24030,"Hull--Aylmer/Hull--Aylmer"," 2","Gatineau",0,53,2,19,4,1,0,9,37,2,127,424
24030,"Hull--Aylmer/Hull--Aylmer"," 3","Gatineau",0,69,2,11,5,0,1,12,29,0,129,430
24030,"Hull--Aylmer/Hull--Aylmer"," 4","Gatineau",0,71,3,8,4,2,0,22,18,0,128,361
24030,"Hull--Aylmer/Hull--Aylmer"," 5","Gatineau",0,59,5,13,11,2,1,13,23,2,129,369
24030,"Hull--Aylmer/Hull--Aylmer"," 6","Gatineau",1,58,3,14,2,3,0,16,32,1,130,328
24030,"Hull--Aylmer/Hull--Aylmer"," 7","Gatineau",0,57,4,20,5,2,0,14,22,1,125,346
24030,"Hull--Aylmer/Hull--Aylmer"," 8","Gatineau",0,54,9,14,3,0,0,7,27,2,116,360
24030,"Hull--Aylmer/Hull--Aylmer"," 9","Gatineau",1,46,8,13,1,0,1,8,12,1,91,300
24030,"Hull--Aylmer/Hull--Aylmer"," 10","Gatineau",0,83,5,17,3,1,1,19,12,1,142,484
24030,"Hull--Aylmer/Hull--Aylmer"," 11","Gatineau",0,49,6,14,5,1,0,11,11,4,101,303
24030,"Hull--Aylmer/Hull--Aylmer"," 12","Gatineau",0,63,6,19,9,3,3,18,34,1,156,374
24030,"Hull--Aylmer/Hull--Aylmer"," 13","Gatineau",0,35,8,13,5,1,0,10,13,0,85,354
24030,"Hull--Aylmer/Hull--Aylmer"," 14","Gatineau",0,60,1,23,6,0,0,21,41,1,153,432
24030,"Hull--Aylmer/Hull--Aylmer"," 15","Gatineau",2,83,1,15,10,0,1,6,24,1,143,382
24030,"Hull--Aylmer/Hull--Aylmer"," 16","Gatineau",0,54,9,14,3,0,0,7,27,2,116,350
24030,"Hull--Aylmer/Hull--Aylmer"," 17","Gatineau",0,70,5,17,5,0,1,6,39,0,143,401
24030,"Hull--Aylmer/Hull--Aylmer"," 18","Gatineau",1,42,4,19,1,1,0,13,15,0,96,422
24030,"Hull--Aylmer/Hull--Aylmer"," 19","Gatineau",0,70,1,20,3,2,0,12,35,2,145,400
24030,"Hull--Aylmer/Hull--Aylmer"," 20","Gatineau",0,66,4,18,2,0,1,14,17,1,123,396
24030,"Hull--Aylmer/Hull--Aylmer"," 21","Gatineau",0,56,11,20,2,1,2,15,41,3,151,364
24030,"Hull--Aylmer/Hull--Aylmer"," 22","Gatineau",0,64,7,30,3,0,0,16,41,1,162,481
24030,"Hull--Aylmer/Hull--Aylmer"," 23","Gatineau",0,61,8,24,2,0,0,10,30,1,136,374
24030,"Hull--Aylmer/Hull--Aylmer"," 24","Gatineau",1,64,10,21,1,1,0,3,18,2,121,389
24030,"Hull--Aylmer/Hull--Aylmer"," 25","Gatineau",1,61,4,16,1,2,0,13,14,2,114,403
24030,"Hull--Aylmer/Hull--Aylmer"," 26","Gatineau",0,55,8,20,1,0,0,10,14,0,108,372
24030,"Hull--Aylmer/Hull--Aylmer"," 27","Gatineau",0,62,10,19,5,1,1,13,19,1,131,419
24030,"Hull--Aylmer/Hull--Aylmer"," 28","Gatineau",0,42,7,15,4,1,0,12,15,1,97,354
24030,"Hull--Aylmer/Hull--Aylmer"," 29","Gatineau",1,68,6,14,4,0,0,9,19,3,124,325
