Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Thomas Hatch,Dan Muys,Lorne Newick,Bill Panchyshyn,Vito Sgro,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 108","Hamilton",4,71,34,6,92,2,209,524
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 109","Hamilton",Merged with No./Fusionné avec le n°102,,,,,,,414
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 110","Hamilton",11,127,65,14,112,0,329,374
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 111","Hamilton",Merged with No./Fusionné avec le n°110,,,,,,,362
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 112","Hamilton",5,67,38,12,69,0,191,450
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 113A","Hamilton",1,102,40,13,61,1,218,608
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 113B","Hamilton",1,93,40,13,66,0,213,603
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 114","Hamilton",Merged with No./Fusionné avec le n°150,,,,,,,379
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 115","Hamilton",6,59,86,11,100,5,267,425
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 116","Hamilton",6,94,62,12,141,3,318,636
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 117","Hamilton",Merged with No./Fusionné avec le n°115,,,,,,,373
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 118","Hamilton",0,56,48,14,73,1,192,568
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 119","Hamilton",2,89,34,15,70,3,213,472
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 120","Hamilton",12,141,63,9,155,1,381,439
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 121","Hamilton",Merged with No./Fusionné avec le n°120,,,,,,,433
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 122","Hamilton",3,115,66,38,154,2,378,484
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 123","Hamilton",Merged with No./Fusionné avec le n°122,,,,,,,423
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 124","Hamilton",7,71,51,10,97,0,236,550
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 125","Hamilton",0,22,17,1,26,0,66,442
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 126","Hamilton",1,46,34,7,42,0,130,544
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 127","Hamilton",4,51,33,9,88,1,186,524
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 128","Hamilton",2,41,36,3,105,0,187,435
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 129","Hamilton",Merged with No./Fusionné avec le n°128,,,,,,,428
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 130","Hamilton",4,53,52,16,84,0,209,586
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 131","Hamilton",2,143,91,26,109,0,371,472
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 132","Hamilton",4,76,51,25,111,2,269,395
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 133","Hamilton",4,76,48,8,71,0,207,490
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 134","Hamilton",Merged with No./Fusionné avec le n°132,,,,,,,399
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 135","Hamilton",Merged with No./Fusionné avec le n°136,,,,,,,430
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 136","Hamilton",5,144,98,24,125,6,402,449
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 137A","Hamilton",6,51,30,11,99,3,200,599
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 137B","Hamilton",4,68,24,12,100,9,217,649
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 138","Hamilton",Merged with No./Fusionné avec le n°139,,,,,,,265
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 139","Hamilton",0,89,47,9,83,6,234,373
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 140","Hamilton",3,75,37,15,132,0,262,784
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 141","Hamilton",7,106,40,10,111,2,276,758
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 142","Hamilton",3,71,30,15,35,0,154,403
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 143","Hamilton",Merged with No./Fusionné avec le n°175,,,,,,,398
