Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Vassif Aliev,Rachid Bandou,Rima El-Helou,Annie Koutrakis,Alejandro Morales-Loaiza,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24078,"Vimy/Vimy"," 1","Laval",5,34,11,61,0,0,111,426
24078,"Vimy/Vimy"," 2","Laval",24,32,21,79,8,5,169,458
24078,"Vimy/Vimy"," 3","Laval",22,63,40,117,10,8,260,469
24078,"Vimy/Vimy"," 4","Laval",14,46,16,126,8,2,212,447
24078,"Vimy/Vimy"," 5","Laval",14,42,30,115,6,8,215,439
24078,"Vimy/Vimy"," 6","Laval",29,46,38,120,13,1,247,408
24078,"Vimy/Vimy"," 7","Laval",17,62,29,94,6,4,212,385
24078,"Vimy/Vimy"," 8","Laval",19,21,32,89,8,1,170,374
24078,"Vimy/Vimy"," 9","Laval",18,44,30,128,18,5,243,460
24078,"Vimy/Vimy"," 10","Laval",12,28,23,104,3,1,171,417
24078,"Vimy/Vimy"," 11","Laval",16,73,19,101,6,2,217,458
24078,"Vimy/Vimy"," 12","Laval",23,54,32,114,7,1,231,438
24078,"Vimy/Vimy"," 13","Laval",18,57,13,109,8,5,210,395
24078,"Vimy/Vimy"," 14","Laval",20,44,12,68,5,5,154,382
24078,"Vimy/Vimy"," 15","Laval",19,58,12,83,4,2,178,390
24078,"Vimy/Vimy"," 16","Laval",18,31,12,71,11,1,144,362
24078,"Vimy/Vimy"," 17","Laval",17,65,14,86,6,0,188,397
24078,"Vimy/Vimy"," 18","Laval",14,41,6,65,16,0,142,450
24078,"Vimy/Vimy"," 19","Laval",14,35,30,85,5,3,172,472
24078,"Vimy/Vimy"," 20","Laval",30,52,28,108,11,5,234,470
24078,"Vimy/Vimy"," 21","Laval",12,28,19,114,10,0,183,367
24078,"Vimy/Vimy"," 22","Laval",26,51,28,116,6,5,232,473
24078,"Vimy/Vimy"," 23","Laval",18,29,29,89,7,0,172,372
24078,"Vimy/Vimy"," 24","Laval",31,49,41,91,8,2,222,435
24078,"Vimy/Vimy"," 25","Laval",14,41,18,61,5,4,143,454
24078,"Vimy/Vimy"," 26","Laval",10,37,19,50,11,1,128,433
24078,"Vimy/Vimy"," 27","Laval",20,44,10,33,7,3,117,427
24078,"Vimy/Vimy"," 28","Laval",9,24,11,43,6,4,97,386
24078,"Vimy/Vimy"," 29","Laval",31,45,14,131,21,5,247,627
24078,"Vimy/Vimy"," 30","Laval",19,41,13,81,10,1,165,509
24078,"Vimy/Vimy"," 31","Laval",18,33,9,40,2,2,104,342
24078,"Vimy/Vimy"," 32","Laval",17,31,6,40,4,2,100,373
24078,"Vimy/Vimy"," 33","Laval",35,27,12,47,12,1,134,368
24078,"Vimy/Vimy"," 34","Laval",9,25,15,69,10,5,133,464
24078,"Vimy/Vimy"," 35","Laval",33,30,9,60,5,6,143,470
24078,"Vimy/Vimy"," 36","Laval",26,57,15,70,7,7,182,436
24078,"Vimy/Vimy"," 37","Laval",18,27,8,51,13,2,119,356
24078,"Vimy/Vimy"," 38","Laval",14,39,19,55,10,2,139,440
24078,"Vimy/Vimy"," 39","Laval",17,37,7,35,9,1,106,426
24078,"Vimy/Vimy"," 40","Laval",12,20,11,75,4,1,123,318
24078,"Vimy/Vimy"," 41","Laval",10,26,11,37,6,4,94,348
24078,"Vimy/Vimy"," 42","Laval",15,20,9,54,9,1,108,341
24078,"Vimy/Vimy"," 43","Laval",18,27,16,60,8,7,136,358
24078,"Vimy/Vimy"," 44","Laval",14,36,17,46,9,2,124,376
24078,"Vimy/Vimy"," 45","Laval",19,38,21,60,5,7,150,412
24078,"Vimy/Vimy"," 46","Laval",20,17,16,88,3,5,149,422
24078,"Vimy/Vimy"," 47","Laval",10,28,24,92,4,3,161,398
24078,"Vimy/Vimy"," 48","Laval",19,28,11,55,0,3,116,327
24078,"Vimy/Vimy"," 49","Laval",30,29,8,50,6,1,124,365
24078,"Vimy/Vimy"," 50","Laval",26,34,7,73,5,1,146,440
24078,"Vimy/Vimy"," 51","Laval",5,47,12,49,2,1,116,403
24078,"Vimy/Vimy"," 52A","Laval",Merged with No./Fusionné avec le n°51,,,,,,,48
24078,"Vimy/Vimy"," 52B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°52C,,,,,,,71
24078,"Vimy/Vimy"," 52C","Mobile poll/Bureau itinérant",4,15,15,97,1,3,135,150
24078,"Vimy/Vimy"," 53","Laval",21,26,18,54,14,7,140,459
24078,"Vimy/Vimy"," 54","Laval",33,42,19,62,10,2,168,470
24078,"Vimy/Vimy"," 55","Laval",20,60,38,119,13,6,256,447
24078,"Vimy/Vimy"," 56","Laval",18,51,39,92,8,4,212,435
24078,"Vimy/Vimy"," 57","Laval",18,33,19,54,12,7,143,404
24078,"Vimy/Vimy"," 58","Laval",23,27,28,141,9,5,233,463
24078,"Vimy/Vimy"," 59","Laval",11,18,11,100,5,5,150,350
24078,"Vimy/Vimy"," 60","Laval",13,28,9,80,5,3,138,339
24078,"Vimy/Vimy"," 61","Laval",18,32,17,60,11,7,145,413
24078,"Vimy/Vimy"," 62","Laval",18,25,24,68,9,7,151,407
24078,"Vimy/Vimy"," 63","Laval",9,19,20,102,10,4,164,396
24078,"Vimy/Vimy"," 64","Laval",26,32,6,79,11,3,157,351
24078,"Vimy/Vimy"," 65","Laval",17,23,10,94,5,3,152,328
24078,"Vimy/Vimy"," 66","Laval",9,30,9,60,7,5,120,306
24078,"Vimy/Vimy"," 67","Laval",18,44,10,76,12,4,164,420
24078,"Vimy/Vimy"," 68","Laval",14,39,39,89,3,8,192,415
24078,"Vimy/Vimy"," 69","Laval",15,40,8,62,4,10,139,334
24078,"Vimy/Vimy"," 70","Laval",11,32,13,70,7,3,136,402
24078,"Vimy/Vimy"," 71","Laval",30,38,24,85,20,3,200,544
24078,"Vimy/Vimy"," 72","Laval",16,27,10,76,5,0,134,424
24078,"Vimy/Vimy"," 73","Laval",21,22,5,37,4,1,90,342
24078,"Vimy/Vimy"," 74","Laval",16,43,14,51,7,1,132,404
24078,"Vimy/Vimy"," 75","Laval",26,45,16,55,10,2,154,383
24078,"Vimy/Vimy"," 76","Laval",21,57,19,80,6,6,189,480
24078,"Vimy/Vimy"," 77","Laval",21,27,20,56,9,6,139,360
24078,"Vimy/Vimy"," 78","Laval",29,38,18,42,0,7,134,416
24078,"Vimy/Vimy"," 79","Laval",19,35,23,51,10,3,141,427
24078,"Vimy/Vimy"," 80","Laval",27,43,11,70,5,6,162,372
24078,"Vimy/Vimy"," 81","Laval",21,20,20,88,9,8,166,373
24078,"Vimy/Vimy"," 82","Laval",21,38,8,84,6,5,162,404
24078,"Vimy/Vimy"," 83","Laval",31,48,15,93,4,3,194,393
24078,"Vimy/Vimy"," 84","Laval",13,23,8,85,5,2,136,317
24078,"Vimy/Vimy"," 85","Laval",4,30,5,47,11,4,101,322
24078,"Vimy/Vimy"," 86","Laval",21,29,13,68,11,5,147,355
24078,"Vimy/Vimy"," 87","Laval",16,14,25,72,6,5,138,383
24078,"Vimy/Vimy"," 88","Laval",24,42,10,76,7,2,161,408
24078,"Vimy/Vimy"," 89","Laval",26,20,16,83,11,4,160,363
24078,"Vimy/Vimy"," 90","Laval",34,57,31,89,11,2,224,552
24078,"Vimy/Vimy"," 91","Laval",32,52,17,67,13,4,185,367
24078,"Vimy/Vimy"," 92","Laval",27,52,18,71,3,3,174,345
24078,"Vimy/Vimy"," 93","Laval",20,49,12,80,5,3,169,364
24078,"Vimy/Vimy"," 94","Laval",24,39,20,56,7,3,149,360
24078,"Vimy/Vimy"," 95","Laval",31,23,18,53,11,2,138,438
24078,"Vimy/Vimy"," 96","Laval",25,28,19,75,6,0,153,468
24078,"Vimy/Vimy"," 97","Laval",36,39,11,62,5,4,157,422
24078,"Vimy/Vimy"," 98","Laval",25,34,10,55,7,1,132,314
24078,"Vimy/Vimy"," 99","Laval",25,40,24,110,11,2,212,527
24078,"Vimy/Vimy"," 100","Laval",44,77,46,126,18,6,317,731
24078,"Vimy/Vimy"," 101","Laval",19,22,18,73,6,1,139,447
24078,"Vimy/Vimy"," 102","Laval",20,27,18,83,7,2,157,688
24078,"Vimy/Vimy"," 103A","Laval",9,26,40,85,15,3,178,423
24078,"Vimy/Vimy"," 103B","Laval",17,25,34,71,11,6,164,353
24078,"Vimy/Vimy"," 104","Laval",9,19,27,98,12,2,167,559
24078,"Vimy/Vimy"," 105","Laval",9,9,12,69,5,0,104,400
24078,"Vimy/Vimy"," 106A","Laval",Merged with No./Fusionné avec le n°103A,,,,,,,175
24078,"Vimy/Vimy"," 106B","Laval",Merged with No./Fusionné avec le n°103B,,,,,,,175
24078,"Vimy/Vimy"," 107","Laval",17,22,23,63,10,3,138,413
24078,"Vimy/Vimy"," 108","Laval",25,26,15,34,4,2,106,369
24078,"Vimy/Vimy"," 109","Laval",24,16,18,54,6,5,123,365
24078,"Vimy/Vimy"," 110","Laval",10,20,10,52,7,1,100,441
24078,"Vimy/Vimy"," 111","Laval",15,67,76,175,12,5,350,739
24078,"Vimy/Vimy"," 112","Laval",17,20,32,87,7,1,164,450
24078,"Vimy/Vimy"," 113","Laval",10,45,39,105,3,3,205,647
24078,"Vimy/Vimy"," 114","Laval",10,38,28,106,6,0,188,566
24078,"Vimy/Vimy"," 115","Laval",10,50,10,98,2,1,171,668
24078,"Vimy/Vimy"," 116A","Laval",20,29,22,99,5,4,179,650
24078,"Vimy/Vimy"," 116B","Laval",18,33,21,73,1,4,150,643
24078,"Vimy/Vimy"," 117","Laval",17,28,18,54,1,1,119,425
24078,"Vimy/Vimy"," 118","Laval",18,31,11,45,3,1,109,342
24078,"Vimy/Vimy"," 119","Laval",27,45,13,69,7,5,166,467
24078,"Vimy/Vimy"," 120","Laval",18,39,22,69,6,5,159,335
24078,"Vimy/Vimy"," 121","Laval",30,38,20,83,4,2,177,448
24078,"Vimy/Vimy"," 122","Laval",19,27,32,90,7,2,177,402
24078,"Vimy/Vimy"," 123","Laval",27,35,21,58,5,1,147,400
