Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Anne Marie Anonsen,Linda Hogan,Churence Rogers,Sharon Vokey,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 47B","Port Blandford",6,4,40,44,1,95,149
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 48","Bunyan's Cove",5,3,44,60,0,112,283
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 49","Bloomfield",14,6,60,74,3,157,385
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 50","Musgravetown",13,11,62,62,2,150,443
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 51","Cannings Cove",0,2,28,26,0,56,156
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 52A","Lethbridge",11,4,44,65,1,125,456
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 52B","Lethbridge",10,4,35,37,0,86,245
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 53","Portland--Jamestown--Winter Brook",8,1,23,28,0,60,139
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 54","Sweet Bay",5,5,28,26,4,68,157
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 55","Southern Bay--Princeton",5,5,53,57,3,123,273
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 56","Plate Cove West--Plate Cove East",10,2,46,49,7,114,220
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 57","Open Hall--Red Cliffe--Tickle Cove",4,1,26,14,0,45,67
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 58","King's Cove",4,4,31,20,2,61,151
