Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nabila Ben Youssef,Christian Boutin,Garnet Colly,Alain Lepine,Raymond Martin,Christine Paré,Julio Rivera,Justin Trudeau,Béatrice Zako,Above Znoneofthe,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24055,"Papineau/Papineau"," 1","Montréal",17,6,0,4,0,9,17,146,0,0,6,205,442
24055,"Papineau/Papineau"," 2","Montréal",35,5,0,7,1,22,18,103,3,0,3,197,476
24055,"Papineau/Papineau"," 3","Montréal",8,10,1,5,1,11,14,136,1,2,5,194,484
24055,"Papineau/Papineau"," 4","Montréal",54,0,0,2,0,40,17,102,0,2,3,220,508
24055,"Papineau/Papineau"," 5","Montréal",17,5,0,1,0,35,9,131,0,1,2,201,466
24055,"Papineau/Papineau"," 6","Montréal",25,2,0,3,0,19,10,101,1,0,3,164,409
24055,"Papineau/Papineau"," 7","Montréal",38,7,0,5,0,34,12,107,1,2,1,207,458
24055,"Papineau/Papineau"," 8","Montréal",32,5,0,7,1,31,16,124,0,0,3,219,469
24055,"Papineau/Papineau"," 9","Montréal",35,2,0,3,1,26,7,65,0,0,4,143,403
24055,"Papineau/Papineau"," 10","Montréal",16,2,0,1,0,26,6,138,1,0,4,194,433
24055,"Papineau/Papineau"," 11","Montréal",26,6,1,6,0,19,22,116,0,5,7,208,470
24055,"Papineau/Papineau"," 12","Montréal",29,5,1,2,0,44,11,93,0,1,4,190,382
24055,"Papineau/Papineau"," 13","Montréal",18,3,0,5,0,37,6,90,0,0,7,166,390
24055,"Papineau/Papineau"," 14","Montréal",14,2,0,2,2,31,9,84,0,0,2,146,389
24055,"Papineau/Papineau"," 15","Montréal",14,6,0,4,0,13,3,70,0,0,2,112,391
24055,"Papineau/Papineau"," 16","Montréal",7,6,0,3,0,24,7,90,0,0,2,139,361
24055,"Papineau/Papineau"," 17","Montréal",16,8,1,8,1,15,14,115,0,0,3,181,421
24055,"Papineau/Papineau"," 18","Montréal",16,10,0,4,0,24,4,104,0,2,4,168,412
24055,"Papineau/Papineau"," 19","Montréal",15,5,1,1,0,25,8,90,1,2,4,152,401
24055,"Papineau/Papineau"," 20","Montréal",14,2,1,4,0,17,9,90,0,0,5,142,400
24055,"Papineau/Papineau"," 21","Montréal",9,1,0,1,0,28,15,113,0,0,4,171,384
24055,"Papineau/Papineau"," 22","Montréal",3,3,1,0,1,16,20,71,0,1,0,116,395
24055,"Papineau/Papineau"," 23","Montréal",16,6,0,4,0,22,12,116,0,1,6,183,435
24055,"Papineau/Papineau"," 24","Montréal",6,10,1,2,0,15,3,112,2,1,3,155,400
24055,"Papineau/Papineau"," 25","Montréal",14,6,1,2,0,15,12,115,1,0,0,166,368
24055,"Papineau/Papineau"," 26","Montréal",20,9,0,3,0,22,9,95,0,3,3,164,417
24055,"Papineau/Papineau"," 27","Montréal",26,3,0,9,1,31,14,84,0,1,3,172,428
24055,"Papineau/Papineau"," 28","Montréal",15,6,1,3,1,34,13,110,2,1,6,192,448
24055,"Papineau/Papineau"," 29","Montréal",29,3,0,7,0,33,15,80,0,0,5,172,389
24055,"Papineau/Papineau"," 30","Montréal",21,5,1,2,1,16,12,76,2,3,4,143,385
24055,"Papineau/Papineau"," 31","Montréal",27,1,0,0,1,33,10,84,0,0,3,159,447
24055,"Papineau/Papineau"," 32","Montréal",31,11,0,6,1,34,11,72,1,1,3,171,424
24055,"Papineau/Papineau"," 33","Montréal",23,2,0,4,0,37,11,79,0,0,6,162,416
24055,"Papineau/Papineau"," 34","Montréal",34,4,0,7,0,37,7,73,0,4,6,172,426
24055,"Papineau/Papineau"," 35","Montréal",32,4,1,9,1,34,3,77,0,2,2,165,404
24055,"Papineau/Papineau"," 36","Montréal",31,3,0,3,0,63,8,61,0,1,3,173,405
24055,"Papineau/Papineau"," 37","Montréal",40,2,0,5,0,48,8,62,0,0,1,166,418
24055,"Papineau/Papineau"," 38","Montréal",21,4,0,9,1,38,5,91,0,1,4,174,418
24055,"Papineau/Papineau"," 39","Montréal",14,3,0,4,1,23,8,88,0,1,5,147,405
24055,"Papineau/Papineau"," 40","Montréal",11,5,0,3,0,33,2,78,1,0,1,134,414
24055,"Papineau/Papineau"," 41","Montréal",12,2,1,0,0,24,11,95,0,0,6,151,423
24055,"Papineau/Papineau"," 42","Montréal",22,1,0,2,0,37,6,79,0,1,0,148,389
24055,"Papineau/Papineau"," 43","Montréal",24,3,2,8,0,53,10,122,1,1,3,227,443
24055,"Papineau/Papineau"," 44","Montréal",48,6,0,6,1,48,8,72,0,3,2,194,407
24055,"Papineau/Papineau"," 45","Montréal",21,6,0,8,0,42,8,78,0,0,2,165,383
24055,"Papineau/Papineau"," 46","Montréal",44,6,0,7,0,50,8,58,1,3,3,180,407
24055,"Papineau/Papineau"," 47","Montréal",34,2,2,14,0,63,9,84,1,5,1,215,442
24055,"Papineau/Papineau"," 48","Montréal",15,6,2,8,1,35,9,100,0,2,6,184,446
24055,"Papineau/Papineau"," 49","Montréal",21,5,1,3,0,34,7,126,0,2,7,206,446
24055,"Papineau/Papineau"," 50","Montréal",16,0,1,9,0,51,5,79,0,2,3,166,422
24055,"Papineau/Papineau"," 51","Montréal",20,6,2,15,1,90,13,167,0,2,7,323,417
24055,"Papineau/Papineau"," 52","Montréal",27,5,0,4,0,32,11,83,0,1,0,163,439
24055,"Papineau/Papineau"," 53","Montréal",Merged with No./Fusionné avec le n°51,,,,,,,,,,,,409
24055,"Papineau/Papineau"," 54A","Montréal",23,0,1,6,0,52,3,80,0,1,3,169,458
24055,"Papineau/Papineau"," 54B","Montréal",30,2,0,6,0,40,10,101,0,0,8,197,461
24055,"Papineau/Papineau"," 55A","Montréal",19,5,0,5,1,47,7,67,0,4,1,156,423
24055,"Papineau/Papineau"," 55B","Montréal",15,2,1,3,1,44,13,78,1,6,1,165,413
24055,"Papineau/Papineau"," 56","Montréal",15,6,0,3,0,40,9,83,0,4,4,164,426
24055,"Papineau/Papineau"," 57","Montréal",26,1,0,3,1,35,9,111,1,1,4,192,424
24055,"Papineau/Papineau"," 58","Montréal",20,13,0,2,1,44,9,70,1,1,0,161,430
24055,"Papineau/Papineau"," 59","Montréal",20,8,0,7,1,17,5,125,0,0,6,189,496
