Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Cheryl Burbidge,Alxys Chamberlain,Chris d'Entremont,Scott Spidle,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12011,"West Nova/Nova-Ouest"," 1","Canada Creek",21,47,61,13,0,142,326
12011,"West Nova/Nova-Ouest"," 2","Harbourville",36,49,79,28,1,193,366
12011,"West Nova/Nova-Ouest"," 3","Grafton",24,32,41,12,0,109,305
12011,"West Nova/Nova-Ouest"," 4","Somerset",22,38,55,11,2,128,298
12011,"West Nova/Nova-Ouest"," 5","Berwick",22,73,33,8,0,136,409
12011,"West Nova/Nova-Ouest"," 6","Somerset",24,60,52,11,1,148,383
12011,"West Nova/Nova-Ouest"," 7","South Berwick",25,62,63,11,1,162,446
12011,"West Nova/Nova-Ouest"," 8","Waterville",18,37,51,15,1,122,333
12011,"West Nova/Nova-Ouest"," 9","Waterville",31,44,45,13,0,133,338
12011,"West Nova/Nova-Ouest"," 10","Waterville",32,53,50,18,0,153,344
12011,"West Nova/Nova-Ouest"," 11","Windermere--South Waterville",10,17,39,9,0,75,275
12011,"West Nova/Nova-Ouest"," 12","Mobile poll/Bureau itinérant",0,25,17,0,0,42,159
12011,"West Nova/Nova-Ouest"," 13","Morden",28,64,104,24,0,220,444
12011,"West Nova/Nova-Ouest"," 14","Aylesford",15,47,66,13,0,141,294
12011,"West Nova/Nova-Ouest"," 15","Aylesford",31,72,83,22,0,208,462
12011,"West Nova/Nova-Ouest"," 16","Aylesford",31,56,58,20,0,165,350
12011,"West Nova/Nova-Ouest"," 17A","Berwick",13,34,32,8,0,87,271
12011,"West Nova/Nova-Ouest"," 17B","Mobile poll/Bureau itinérant",2,12,11,3,0,28,28
12011,"West Nova/Nova-Ouest"," 18","Berwick",37,73,45,8,1,164,511
12011,"West Nova/Nova-Ouest"," 19","Berwick",21,46,24,4,0,95,336
12011,"West Nova/Nova-Ouest"," 20","Berwick",19,34,42,3,0,98,348
12011,"West Nova/Nova-Ouest"," 21","Berwick West",20,22,42,16,0,100,305
12011,"West Nova/Nova-Ouest"," 22","Morristown--Aylesford East",10,27,40,5,0,82,238
