Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lee Aquart,Daniel Blanchard,George Chahal,Harry Dhillon,Gurinder Singh Gill,Nadeem Rana,Jag Sahota,Janna So,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48013,"Calgary Skyview/Calgary Skyview"," 1A","Calgary",0,0,55,11,44,0,95,1,0,206,658
48013,"Calgary Skyview/Calgary Skyview"," 1B","Calgary",1,0,49,6,27,0,84,2,0,169,658
48013,"Calgary Skyview/Calgary Skyview"," 1C","Calgary",0,0,68,9,29,0,98,3,3,210,663
48013,"Calgary Skyview/Calgary Skyview"," 2","Calgary",2,0,36,10,46,0,78,0,1,173,468
48013,"Calgary Skyview/Calgary Skyview"," 3","Calgary",0,0,33,7,18,0,70,4,0,132,341
48013,"Calgary Skyview/Calgary Skyview"," 4","Calgary",1,0,30,6,33,0,89,6,5,170,404
48013,"Calgary Skyview/Calgary Skyview"," 5","Calgary",2,0,33,6,38,0,97,1,1,178,456
48013,"Calgary Skyview/Calgary Skyview"," 6","Calgary",0,2,36,9,26,0,65,1,3,142,394
48013,"Calgary Skyview/Calgary Skyview"," 7","Calgary",0,0,13,6,33,0,72,3,1,128,339
48013,"Calgary Skyview/Calgary Skyview"," 8","Calgary",2,0,17,6,22,0,55,0,0,102,373
48013,"Calgary Skyview/Calgary Skyview"," 9","Calgary",0,0,49,3,46,0,73,4,1,176,560
48013,"Calgary Skyview/Calgary Skyview"," 10","Calgary",1,0,67,18,38,3,84,3,1,215,616
48013,"Calgary Skyview/Calgary Skyview"," 11","Calgary",1,0,54,2,25,5,51,2,2,142,439
48013,"Calgary Skyview/Calgary Skyview"," 12","Calgary",1,0,33,10,41,0,59,2,0,146,553
48013,"Calgary Skyview/Calgary Skyview"," 13","Calgary",0,0,59,13,40,0,78,2,5,197,528
48013,"Calgary Skyview/Calgary Skyview"," 14","Calgary",2,0,35,7,31,0,65,2,2,144,376
48013,"Calgary Skyview/Calgary Skyview"," 15","Calgary",1,0,60,14,36,0,99,1,4,215,646
48013,"Calgary Skyview/Calgary Skyview"," 16","Calgary",0,0,42,8,26,0,70,2,0,148,376
48013,"Calgary Skyview/Calgary Skyview"," 17","Calgary",1,0,52,12,40,0,97,3,2,207,518
48013,"Calgary Skyview/Calgary Skyview"," 18","Calgary",0,0,38,6,31,0,79,1,0,155,439
48013,"Calgary Skyview/Calgary Skyview"," 19","Calgary",0,0,41,10,21,0,70,3,1,146,448
48013,"Calgary Skyview/Calgary Skyview"," 20","Calgary",0,0,37,11,46,1,88,4,1,188,491
48013,"Calgary Skyview/Calgary Skyview"," 21","Calgary",0,0,36,10,17,0,78,3,1,145,409
48013,"Calgary Skyview/Calgary Skyview"," 22","Calgary",0,1,41,4,26,1,60,0,1,134,388
48013,"Calgary Skyview/Calgary Skyview"," 23","Calgary",0,0,40,9,33,0,112,5,2,201,599
48013,"Calgary Skyview/Calgary Skyview"," 24","Calgary",0,0,35,9,28,0,56,0,0,128,417
48013,"Calgary Skyview/Calgary Skyview"," 25","Calgary",1,3,54,11,32,0,54,3,0,158,501
48013,"Calgary Skyview/Calgary Skyview"," 26","Calgary",1,0,26,5,21,0,60,1,1,115,360
48013,"Calgary Skyview/Calgary Skyview"," 27","Calgary",0,2,28,8,26,0,69,1,0,134,457
48013,"Calgary Skyview/Calgary Skyview"," 28","Calgary",0,0,21,12,35,0,57,1,0,126,422
48013,"Calgary Skyview/Calgary Skyview"," 29","Calgary",0,0,19,9,21,0,79,4,2,134,488
48013,"Calgary Skyview/Calgary Skyview"," 30","Calgary",0,0,27,3,24,0,67,0,0,121,433
48013,"Calgary Skyview/Calgary Skyview"," 31A","Calgary",0,0,78,7,17,0,42,0,1,145,449
48013,"Calgary Skyview/Calgary Skyview"," 31B","Calgary",0,0,69,3,30,0,43,0,1,146,456
48013,"Calgary Skyview/Calgary Skyview"," 32A","Calgary",0,0,54,4,22,0,33,2,2,117,441
48013,"Calgary Skyview/Calgary Skyview"," 32B","Calgary",0,0,60,9,21,1,42,3,1,137,443
48013,"Calgary Skyview/Calgary Skyview"," 33","Calgary",0,2,82,9,27,0,63,0,4,187,584
48013,"Calgary Skyview/Calgary Skyview"," 34A","Calgary",0,0,55,5,33,0,34,1,2,130,617
48013,"Calgary Skyview/Calgary Skyview"," 34B","Calgary",0,0,42,5,24,0,46,0,2,119,597
48013,"Calgary Skyview/Calgary Skyview"," 35","Calgary",0,0,86,2,28,0,52,2,4,174,594
48013,"Calgary Skyview/Calgary Skyview"," 36A","Calgary",0,0,69,3,15,0,39,3,0,129,491
48013,"Calgary Skyview/Calgary Skyview"," 36B","Mobile poll/Bureau itinérant",1,0,3,0,0,0,0,0,2,6,51
48013,"Calgary Skyview/Calgary Skyview"," 37A","Calgary",0,0,72,5,31,0,37,1,1,147,513
48013,"Calgary Skyview/Calgary Skyview"," 37B","Calgary",0,0,80,0,21,0,43,2,5,151,486
48013,"Calgary Skyview/Calgary Skyview"," 38A","Calgary",0,0,47,2,40,0,57,1,3,150,579
48013,"Calgary Skyview/Calgary Skyview"," 38B","Calgary",1,0,55,6,39,0,53,3,0,157,593
48013,"Calgary Skyview/Calgary Skyview"," 39","Calgary",1,1,68,3,25,0,55,1,0,154,359
48013,"Calgary Skyview/Calgary Skyview"," 40","Calgary",0,1,91,2,31,0,22,1,5,153,365
48013,"Calgary Skyview/Calgary Skyview"," 41","Calgary",0,0,104,6,17,0,52,2,2,183,427
48013,"Calgary Skyview/Calgary Skyview"," 42","Calgary",0,2,100,3,18,0,32,3,5,163,423
48013,"Calgary Skyview/Calgary Skyview"," 43","Calgary",2,0,81,2,22,0,40,1,1,149,383
48013,"Calgary Skyview/Calgary Skyview"," 44","Calgary",1,0,71,1,24,0,34,0,3,134,345
48013,"Calgary Skyview/Calgary Skyview"," 45","Calgary",2,1,44,8,28,0,74,2,0,159,486
48013,"Calgary Skyview/Calgary Skyview"," 46","Calgary",2,1,37,6,33,0,101,0,1,181,546
48013,"Calgary Skyview/Calgary Skyview"," 47","Calgary",2,1,34,3,23,1,83,1,0,148,473
48013,"Calgary Skyview/Calgary Skyview"," 48","Calgary",6,0,24,11,32,0,51,3,1,128,345
48013,"Calgary Skyview/Calgary Skyview"," 49","Calgary",0,0,25,7,34,2,82,1,1,152,472
48013,"Calgary Skyview/Calgary Skyview"," 50","Calgary",0,0,31,8,22,0,50,1,0,112,354
48013,"Calgary Skyview/Calgary Skyview"," 51","Calgary",0,0,27,8,20,0,94,1,0,150,447
48013,"Calgary Skyview/Calgary Skyview"," 52","Calgary",1,0,41,5,39,0,70,2,0,158,410
48013,"Calgary Skyview/Calgary Skyview"," 53A","Calgary",2,0,37,8,27,0,80,0,1,155,454
48013,"Calgary Skyview/Calgary Skyview"," 53B","Calgary",2,0,46,5,29,0,68,1,2,153,476
48013,"Calgary Skyview/Calgary Skyview"," 54","Calgary",1,0,33,17,40,0,86,1,2,180,458
48013,"Calgary Skyview/Calgary Skyview"," 55A","Calgary",0,0,108,5,23,0,34,1,1,172,656
48013,"Calgary Skyview/Calgary Skyview"," 55B","Calgary",3,0,112,8,41,0,48,2,0,214,658
48013,"Calgary Skyview/Calgary Skyview"," 55C","Calgary",0,1,102,5,33,1,27,0,7,176,668
48013,"Calgary Skyview/Calgary Skyview"," 55D","Calgary",1,0,88,1,36,0,46,0,1,173,678
48013,"Calgary Skyview/Calgary Skyview"," 55E","Calgary",0,2,109,5,26,0,39,2,1,184,635
48013,"Calgary Skyview/Calgary Skyview"," 56","Calgary",0,0,113,4,18,2,32,1,0,170,381
48013,"Calgary Skyview/Calgary Skyview"," 57","Calgary",1,0,73,2,26,1,32,0,1,136,338
48013,"Calgary Skyview/Calgary Skyview"," 58","Calgary",0,0,106,14,27,0,27,1,1,176,447
48013,"Calgary Skyview/Calgary Skyview"," 59","Calgary",0,0,115,6,18,0,33,1,1,174,424
48013,"Calgary Skyview/Calgary Skyview"," 60","Calgary",1,0,104,5,28,0,45,0,0,183,485
48013,"Calgary Skyview/Calgary Skyview"," 61","Calgary",1,0,117,2,31,0,49,0,4,204,589
48013,"Calgary Skyview/Calgary Skyview"," 62","Calgary",0,0,76,0,17,1,22,0,0,116,370
48013,"Calgary Skyview/Calgary Skyview"," 63A","Calgary",0,1,98,1,23,1,22,0,2,148,462
48013,"Calgary Skyview/Calgary Skyview"," 63B","Calgary",0,1,80,0,35,0,41,0,3,160,465
48013,"Calgary Skyview/Calgary Skyview"," 64","Calgary",0,0,146,0,28,0,43,0,1,218,647
48013,"Calgary Skyview/Calgary Skyview"," 65","Calgary",0,1,84,6,21,0,20,0,1,133,379
48013,"Calgary Skyview/Calgary Skyview"," 66","Calgary",1,0,75,1,16,0,30,2,0,125,395
48013,"Calgary Skyview/Calgary Skyview"," 67","Calgary",0,0,47,4,16,0,16,0,0,83,324
48013,"Calgary Skyview/Calgary Skyview"," 68","Calgary",0,0,38,1,23,0,34,0,2,98,314
48013,"Calgary Skyview/Calgary Skyview"," 69","Calgary",0,0,57,4,19,0,27,1,0,108,453
48013,"Calgary Skyview/Calgary Skyview"," 70A","Calgary",0,0,68,0,30,0,27,0,0,125,425
48013,"Calgary Skyview/Calgary Skyview"," 70B","Calgary",1,0,54,5,18,2,38,1,0,119,406
48013,"Calgary Skyview/Calgary Skyview"," 71","Calgary",1,0,111,3,29,0,59,0,0,203,728
48013,"Calgary Skyview/Calgary Skyview"," 72A","Calgary",0,1,156,3,33,0,49,0,8,250,720
48013,"Calgary Skyview/Calgary Skyview"," 72B","Calgary",2,2,141,5,38,0,51,0,0,239,745
48013,"Calgary Skyview/Calgary Skyview"," 73A","Calgary",0,0,106,1,48,0,48,1,6,210,547
48013,"Calgary Skyview/Calgary Skyview"," 73B","Calgary",0,0,131,3,31,1,28,0,1,195,542
48013,"Calgary Skyview/Calgary Skyview"," 73C","Calgary",0,0,112,0,22,0,32,1,2,169,500
48013,"Calgary Skyview/Calgary Skyview"," 74","Calgary",1,0,104,4,52,1,51,1,6,220,545
48013,"Calgary Skyview/Calgary Skyview"," 75","Calgary",1,0,77,6,17,1,38,1,2,143,464
48013,"Calgary Skyview/Calgary Skyview"," 76","Calgary",0,3,77,9,33,0,47,1,3,173,428
48013,"Calgary Skyview/Calgary Skyview"," 77","Calgary",2,1,116,10,49,0,56,1,3,238,558
48013,"Calgary Skyview/Calgary Skyview"," 78","Calgary",0,0,65,7,37,1,64,2,0,176,510
48013,"Calgary Skyview/Calgary Skyview"," 79","Calgary",0,2,104,7,16,0,35,1,3,168,459
48013,"Calgary Skyview/Calgary Skyview"," 80","Calgary",2,1,75,4,38,0,51,2,1,174,390
48013,"Calgary Skyview/Calgary Skyview"," 81","Calgary",0,0,108,3,26,0,59,0,2,198,595
48013,"Calgary Skyview/Calgary Skyview"," 82","Calgary",1,0,58,1,13,1,30,1,1,106,336
48013,"Calgary Skyview/Calgary Skyview"," 83","Calgary",0,0,67,8,36,0,49,3,0,163,518
48013,"Calgary Skyview/Calgary Skyview"," 84","Calgary",0,0,90,5,31,1,28,1,0,156,450
48013,"Calgary Skyview/Calgary Skyview"," 85","Calgary",0,0,79,2,23,2,22,1,1,130,402
48013,"Calgary Skyview/Calgary Skyview"," 86","Calgary",0,0,113,2,21,0,13,2,2,153,415
48013,"Calgary Skyview/Calgary Skyview"," 87","Calgary",0,2,90,1,13,0,27,0,2,135,391
48013,"Calgary Skyview/Calgary Skyview"," 88","Calgary",0,0,65,5,34,0,46,1,2,153,503
48013,"Calgary Skyview/Calgary Skyview"," 89","Calgary",0,0,53,5,14,0,41,2,0,115,390
48013,"Calgary Skyview/Calgary Skyview"," 90","Calgary",1,0,77,4,30,0,36,4,2,154,462
