Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Scott Aitchison,James Fawcett,Heather Hay,Marc Mantha,Jovanie Nicoyishakiye,Daniel Predie Jr,James Tole,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 64","Sundridge",48,1,19,2,22,0,21,1,114,396
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 65","Sundridge",45,0,32,1,17,1,13,0,109,424
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 66","Sundridge",41,0,15,7,17,1,5,0,86,357
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 67","Sundridge",20,0,20,2,18,0,10,1,71,215
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 68","Sundridge",67,0,21,9,26,1,34,0,158,419
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 69","Lake Bernard",77,0,35,4,32,2,15,0,165,536
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 70","Magnetawan",92,1,26,5,30,1,15,1,171,473
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 71","Magnetawan",97,0,25,7,56,0,26,2,213,383
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 72","Magnetawan",107,0,23,10,48,4,8,0,200,387
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 73","Burk's Falls",71,0,14,13,11,0,15,1,125,394
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 74","Burk's Falls",52,0,34,9,21,0,22,0,138,428
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 75","Burk's Falls",65,0,41,9,17,0,11,0,143,498
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 76","Burk's Falls",60,0,20,3,17,0,14,1,115,404
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 77","Ryerson",106,0,22,12,30,0,26,2,198,547
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 78A","Kearney",173,1,25,7,56,1,33,1,297,381
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 78B","Kearney",121,0,41,14,48,0,24,0,248,311
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 79A","Kearney",Merged with No./Fusionné avec le n°78A,,,,,,,,,199
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 79B","Kearney",Merged with No./Fusionné avec le n°78B,,,,,,,,,168
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 80","Katrine",133,0,35,10,49,1,23,2,253,521
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 81","Sprucedale",98,0,34,5,44,2,16,0,199,405
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 82","Sprucedale",107,1,46,9,31,0,36,0,230,443
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 83","Emsdale",137,1,30,4,47,0,29,3,251,572
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 84","Emsdale",139,1,26,17,37,0,18,0,238,483
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 85","Clear Lake",84,0,26,8,48,0,18,1,185,364
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 86","Novar",102,0,37,8,26,1,13,2,189,365
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 87","Novar",132,0,31,11,41,1,21,0,237,413
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 88","Huntsville",89,0,35,6,28,1,41,0,200,456
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 89","Huntsville",58,1,26,14,15,0,13,0,127,416
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 90","Huntsville",71,0,30,8,19,0,15,0,143,432
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 91","Huntsville",112,0,34,11,39,1,23,0,220,623
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 92A","Huntsville",63,0,29,8,17,0,21,0,138,327
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 92B","Huntsville",70,0,12,4,28,0,6,0,120,365
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 93A","Huntsville",59,0,19,2,26,0,12,0,118,362
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 93B","Huntsville",61,0,21,6,25,0,4,1,118,365
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 94","Huntsville",73,1,57,18,48,1,8,0,206,454
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 95","Huntsville",52,0,27,6,35,0,7,0,127,432
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 96","Huntsville",51,0,16,5,13,0,7,0,92,258
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 97","Huntsville",54,0,28,5,24,1,10,0,122,376
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 98","Huntsville",75,0,25,8,28,0,12,0,148,437
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 99","Huntsville",64,0,24,7,27,0,14,1,137,397
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 100","Huntsville",72,0,24,13,22,1,9,0,141,416
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 101","Huntsville",69,0,20,15,34,0,20,0,158,463
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 102","Huntsville",46,0,37,8,14,1,14,2,122,453
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 103","Huntsville",47,0,26,16,27,0,9,0,125,381
