Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Scott Aitchison,James Fawcett,Heather Hay,Marc Mantha,Jovanie Nicoyishakiye,Daniel Predie Jr,James Tole,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 151","Bracebridge",80,0,32,10,57,0,8,1,188,435
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 152","Bracebridge",75,0,44,10,33,0,6,0,168,420
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 153","Bracebridge",75,0,24,10,34,0,6,0,149,426
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 154","Bracebridge",59,0,26,8,49,0,2,0,144,495
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 155","Milford Bay",153,1,55,25,65,0,20,3,322,594
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 156","Bracebridge",112,0,25,17,53,0,10,0,217,580
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 157","Bracebridge",42,7,23,14,30,0,9,0,125,432
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 158","Bracebridge",35,2,30,11,55,0,16,0,149,451
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 159","Bracebridge",75,2,36,12,49,0,5,0,179,445
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 160","Bracebridge",61,0,51,19,36,2,14,3,186,491
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 161","Bracebridge",91,2,47,21,53,1,7,3,225,564
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 162","Bracebridge",89,0,22,25,36,1,14,0,187,477
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 163","Bracebridge",78,0,33,17,44,1,14,0,187,503
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 164","Bracebridge",62,0,41,6,28,1,13,1,152,473
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 165","Bracebridge",119,0,29,13,28,0,17,0,206,538
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 166","Bracebridge",104,1,67,12,64,0,19,2,269,530
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 167","Walkers Point",98,0,23,7,23,0,2,0,153,288
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 168","Gravenhurst",86,1,51,17,50,0,15,0,220,559
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 169","Gravenhurst",71,0,45,9,31,0,9,0,165,431
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 170A","Gravenhurst",43,0,28,9,29,1,7,0,117,306
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 170B","Gravenhurst",37,0,29,18,22,0,8,1,115,319
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 171","Gravenhurst",45,0,46,6,34,1,10,0,142,438
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 172","Gravenhurst",73,1,31,7,28,1,20,0,161,468
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 173","Gravenhurst",48,0,48,13,43,0,19,0,171,511
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 174","Gravenhurst",44,1,35,13,28,1,7,0,129,477
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 175A","Gravenhurst",101,0,31,7,47,0,10,0,196,118
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 175B","Gravenhurst",65,1,31,9,38,1,8,0,153,80
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 175C","Gravenhurst",62,0,28,6,28,0,7,0,131,97
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 176A","Gravenhurst",Merged with No./Fusionné avec le n°175A,,,,,,,,,196
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 176B","Gravenhurst",Merged with No./Fusionné avec le n°175B,,,,,,,,,131
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 176C","Gravenhurst",Merged with No./Fusionné avec le n°175C,,,,,,,,,98
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 177A","Gravenhurst",Merged with No./Fusionné avec le n°175A,,,,,,,,,238
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 177B","Gravenhurst",Merged with No./Fusionné avec le n°175B,,,,,,,,,205
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 177C","Gravenhurst",Merged with No./Fusionné avec le n°175C,,,,,,,,,175
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 178","Gravenhurst",25,0,14,7,19,0,3,0,68,196
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 179","Gravenhurst",61,1,39,4,33,0,10,1,149,453
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 180","Gravenhurst",53,0,48,20,32,0,11,0,164,508
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 181","Gravenhurst",50,1,39,3,25,0,10,0,128,410
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 182","Gravenhurst",56,2,17,7,28,0,7,1,118,449
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 183","Gravenhurst",42,1,40,8,30,0,14,0,135,395
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 184","Gravenhurst",86,0,33,10,62,3,6,1,201,551
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 185","Gravenhurst",81,0,37,8,40,2,31,1,200,559
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 186","Gravenhurst",152,0,60,43,36,0,21,2,314,554
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 187","Gravenhurst",74,0,33,11,38,0,16,0,172,411
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 188","Gravenhurst",88,0,20,3,49,0,18,1,179,373
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 189","Gravenhurst",120,0,32,12,55,0,29,1,249,446
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 190","Dokis 9",13,0,39,6,50,0,2,2,112,201
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 191","Henvey Inlet 2",4,0,21,0,12,0,2,0,39,111
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 192","Magnetewan 1--Naiscoutaing 17A",8,0,15,1,11,2,2,0,39,56
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 193","Shawanaga 17",6,0,40,1,25,3,3,0,78,148
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 194","Parry Island First Nation",10,0,69,2,38,1,7,0,127,232
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 195","Moose Point 79",11,0,15,2,21,0,7,0,56,131
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 196","Wahta Mohawk Territory",13,0,16,2,19,1,4,0,55,107
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 500","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503,,,,,,,,,51
