Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Afeez Ajibowu,Katelyn Cody,Chelsea Hillier,Michael Hopkins,Amanda Stark,Karen Vecchio,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 46","St. Thomas",56,28,30,0,4,124,0,242,635
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 47","Aylmer",22,32,38,0,6,113,0,211,597
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 48","Aylmer",22,35,44,0,10,101,0,212,727
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 49","St. Thomas",43,73,33,2,10,154,0,315,843
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 50","St. Thomas",68,68,29,1,6,124,3,299,960
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 51A","Southwold",44,50,29,0,7,161,1,292,511
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 51B","Southwold",46,24,23,1,5,205,2,306,568
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 52A","Bayham",24,15,54,2,4,136,0,235,716
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 52B","Bayham",15,37,54,2,5,128,0,241,696
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 53","Bayham",20,26,69,1,4,149,3,272,765
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 54","St. Thomas",69,54,17,0,5,120,2,267,648
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 55","St. Thomas",51,51,35,0,4,86,2,229,780
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 56","New Sarum",33,34,39,5,7,188,1,307,716
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 57","Yarmouth",22,37,40,2,2,120,0,223,540
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 58","St. Thomas",Merged with No./Fusionné avec le n°59,,,,,,,,439
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 59","St. Thomas",61,90,32,1,9,132,2,327,487
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 60","St. Thomas",22,44,21,1,4,79,2,173,531
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 61","St. Thomas",18,57,15,2,10,65,3,170,586
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 62","St. Thomas",35,68,44,2,3,84,1,237,690
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 63","Central Elgin",101,73,30,1,5,214,1,425,844
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 64","Central Elgin",58,34,18,1,12,160,2,285,528
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 65","Central Elgin",58,31,16,1,6,97,1,210,410
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 66","St. Thomas",11,34,13,0,1,61,3,123,456
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 67A","St. Thomas",43,34,20,1,7,117,3,225,701
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 67B","St. Thomas",27,50,30,0,3,102,0,212,718
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 68","St. Thomas",24,76,32,0,9,69,0,210,576
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 69","St. Thomas",28,49,39,0,10,91,0,217,781
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 70","St. Thomas",38,54,23,3,9,78,0,205,572
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 71","St. Thomas",Merged with No./Fusionné avec le n°72,,,,,,,,433
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 72","St. Thomas",55,65,28,0,10,93,2,253,473
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 73A","St. Thomas",40,65,22,0,4,96,0,227,643
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 73B","St. Thomas",41,57,33,0,12,99,0,242,631
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 74","St. Thomas",50,48,21,2,1,98,0,220,666
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 75","St. Thomas",55,77,47,3,8,104,0,294,860
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 76","St. Thomas",45,52,24,2,11,96,0,230,766
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 77A","St. Thomas",37,29,8,1,3,55,0,133,342
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 77B","Mobile poll/Bureau itinérant",9,5,0,1,0,20,0,35,110
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 78","St. Thomas",65,76,18,1,3,85,1,249,577
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 79","St. Thomas",50,64,35,0,7,76,0,232,627
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 80","St. Thomas",38,45,10,1,7,50,1,152,364
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 81","St. Thomas",84,68,25,2,2,134,0,315,733
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 82","St. Thomas",27,31,11,6,9,89,2,175,590
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 83","St. Thomas",38,48,21,1,10,74,2,194,513
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 84","St. Thomas",39,44,21,0,5,74,0,183,490
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 85","St. Thomas",43,51,15,1,7,75,0,192,620
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 86","St. Thomas",70,64,38,0,12,121,3,308,744
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 87A","Central Elgin",74,72,28,3,6,130,0,313,843
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 87B","Central Elgin",75,83,33,0,7,130,1,329,870
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 88A","St. Thomas",62,72,25,1,12,135,5,312,717
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 88B","St. Thomas",68,79,30,0,7,161,0,345,814
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 89","St. Thomas",28,55,9,0,3,82,0,177,494
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 90","St. Thomas",36,53,25,4,6,134,1,259,736
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 91","St. Thomas",104,61,29,1,9,165,0,369,1045
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 92","Aylmer",27,42,46,2,3,94,3,217,590
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 93","Aylmer",31,39,26,12,1,125,0,234,563
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 94","Aylmer",32,37,42,1,15,134,0,261,594
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 95","Aylmer",54,46,50,4,8,214,1,377,868
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 96","Malahide",20,16,45,2,2,152,1,238,591
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 97","St. Thomas",48,40,19,1,3,59,0,170,381
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 98","St. Thomas",25,56,20,1,8,92,0,202,464
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 99","St. Thomas",59,42,19,1,7,116,0,244,544
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 100","St. Thomas",44,45,14,2,5,95,0,205,567
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 101","St. Thomas",40,29,14,2,8,107,0,200,620
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 102","St. Thomas",81,59,34,1,9,144,2,330,802
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 103","St. Thomas",60,61,14,1,5,162,0,303,838
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 104A","St. Thomas",41,50,20,0,5,95,0,211,564
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 104B","Mobile poll/Bureau itinérant",3,0,0,0,0,3,0,6,15
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 105","St. Thomas",54,50,29,0,2,122,0,257,714
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 106","St. Thomas",67,62,33,0,8,133,0,303,877
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 107","St. Thomas",40,36,21,3,2,77,2,181,563
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 108A","Southwold",18,16,10,0,10,85,0,139,333
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 108B","Mobile poll/Bureau itinérant",0,0,1,2,0,2,0,5,1
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 108C","Mobile poll/Bureau itinérant",5,2,2,0,0,10,0,19,33
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 109","Southwold",45,27,40,1,2,137,0,252,643
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 110","Southwold",38,48,19,1,9,162,0,277,662
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 111","Southwold",27,24,23,0,7,155,0,236,589
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 112","Port Burwell",59,50,40,2,12,134,4,301,689
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 113","Aylmer",41,40,68,0,3,156,3,311,815
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 114","Malahide",19,23,52,4,8,144,5,255,723
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 115","Malahide",11,21,123,3,3,164,2,327,903
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 116","Malahide",16,20,43,0,0,79,0,158,458
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 117","St. Thomas",87,54,22,0,5,166,2,336,828
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 118A","Central Elgin",45,53,13,1,9,183,0,304,640
