Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Carol Anstey,Gudie Hutchings,Kaila Mintz,Darrell Shelley,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10005,"Long Range Mountains/Long Range Mountains"," 35","Jackson's Arm",39,68,2,4,0,113,235
10005,"Long Range Mountains/Long Range Mountains"," 36","Daniel's Harbour",59,56,10,2,2,129,318
10005,"Long Range Mountains/Long Range Mountains"," 37","Sop's Arm",26,21,4,1,3,55,89
10005,"Long Range Mountains/Long Range Mountains"," 38","Parson's Pond",51,47,8,4,1,111,402
10005,"Long Range Mountains/Long Range Mountains"," 39","Pollards Point",13,58,5,2,0,78,257
10005,"Long Range Mountains/Long Range Mountains"," 40","Cow Head",22,27,7,0,0,56,116
10005,"Long Range Mountains/Long Range Mountains"," 41","Cow Head",43,47,13,5,4,112,223
10005,"Long Range Mountains/Long Range Mountains"," 42","St. Pauls",38,35,13,4,0,90,209
10005,"Long Range Mountains/Long Range Mountains"," 43","Hampden",81,101,8,7,1,198,469
10005,"Long Range Mountains/Long Range Mountains"," 44","Rocky Harbour",45,83,16,3,0,147,370
10005,"Long Range Mountains/Long Range Mountains"," 45","Rocky Harbour",37,82,12,2,0,133,422
10005,"Long Range Mountains/Long Range Mountains"," 46","Cormack",116,72,18,6,4,216,530
10005,"Long Range Mountains/Long Range Mountains"," 47","Norris Point",34,100,8,2,1,145,325
10005,"Long Range Mountains/Long Range Mountains"," 48","Norris Point",32,70,5,2,0,109,242
10005,"Long Range Mountains/Long Range Mountains"," 49","Wiltondale",30,36,5,1,0,72,130
10005,"Long Range Mountains/Long Range Mountains"," 50","Woody Point",41,58,19,2,1,121,242
10005,"Long Range Mountains/Long Range Mountains"," 51","Shoal Brook",38,67,8,2,0,115,224
10005,"Long Range Mountains/Long Range Mountains"," 52","Reidville",124,62,10,8,7,211,470
10005,"Long Range Mountains/Long Range Mountains"," 53","Deer Lake",87,41,13,5,4,150,427
10005,"Long Range Mountains/Long Range Mountains"," 54","Deer Lake",92,47,12,6,3,160,560
10005,"Long Range Mountains/Long Range Mountains"," 55","Deer Lake",74,31,6,8,0,119,392
10005,"Long Range Mountains/Long Range Mountains"," 56","Deer Lake",94,39,6,0,2,141,381
10005,"Long Range Mountains/Long Range Mountains"," 57","Deer Lake",38,27,13,4,0,82,369
10005,"Long Range Mountains/Long Range Mountains"," 58","Trout River",37,139,10,7,0,193,451
10005,"Long Range Mountains/Long Range Mountains"," 59","Deer Lake",40,31,6,3,0,80,318
10005,"Long Range Mountains/Long Range Mountains"," 60","Deer Lake",98,52,10,5,1,166,482
10005,"Long Range Mountains/Long Range Mountains"," 61","Deer Lake",37,32,5,0,2,76,404
10005,"Long Range Mountains/Long Range Mountains"," 62","Deer Lake",36,27,16,7,0,86,338
10005,"Long Range Mountains/Long Range Mountains"," 63","Deer Lake",51,35,7,1,2,96,374
10005,"Long Range Mountains/Long Range Mountains"," 64","Deer Lake",62,48,12,3,0,125,543
10005,"Long Range Mountains/Long Range Mountains"," 65","Humber Village--Little Rapids",104,110,35,4,1,254,565
10005,"Long Range Mountains/Long Range Mountains"," 66A","Pasadena",38,50,19,3,0,110,338
10005,"Long Range Mountains/Long Range Mountains"," 66B","Pasadena",50,42,11,6,0,109,335
10005,"Long Range Mountains/Long Range Mountains"," 67","Pasadena",43,71,22,2,3,141,429
10005,"Long Range Mountains/Long Range Mountains"," 68","Pasadena",44,57,20,3,0,124,371
10005,"Long Range Mountains/Long Range Mountains"," 69","Pasadena",28,60,27,2,0,117,335
10005,"Long Range Mountains/Long Range Mountains"," 70","Pasadena",53,46,22,8,0,129,395
10005,"Long Range Mountains/Long Range Mountains"," 71","Pasadena",95,82,31,5,1,214,588
10005,"Long Range Mountains/Long Range Mountains"," 72","Pasadena",51,82,25,2,0,160,406
10005,"Long Range Mountains/Long Range Mountains"," 73","Howley",85,50,7,6,3,151,340
10005,"Long Range Mountains/Long Range Mountains"," 74","Cox's Cove",82,50,19,10,2,163,354
10005,"Long Range Mountains/Long Range Mountains"," 75","Cox's Cove",32,29,2,4,1,68,220
10005,"Long Range Mountains/Long Range Mountains"," 76A","Irishtown",40,34,24,2,4,104,248
10005,"Long Range Mountains/Long Range Mountains"," 76B","Irishtown",57,48,26,7,3,141,304
10005,"Long Range Mountains/Long Range Mountains"," 77","Irishtown",49,61,13,7,6,136,288
10005,"Long Range Mountains/Long Range Mountains"," 78","Steady Brook",47,100,40,7,2,196,346
10005,"Long Range Mountains/Long Range Mountains"," 79","McIver's",62,88,27,6,7,190,420
10005,"Long Range Mountains/Long Range Mountains"," 80","Corner Brook",34,28,9,2,0,73,276
