Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mustapha Berri,Martin Champoux,François Choquette,Nathalie Clermont,Josée Joyal,Sylvain Marcoux,Lucas Munger,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24025,"Drummond/Drummond"," 1","Sainte-Brigitte-des-Saults",Merged with No./Fusionné avec le n°2,,,,,,,,,262
24025,"Drummond/Drummond"," 2","Sainte-Brigitte-des-Saults",58,161,31,53,13,8,3,5,332,328
24025,"Drummond/Drummond"," 3","Notre-Dame-du-Bon-Conseil",60,116,27,98,8,3,2,14,328,460
24025,"Drummond/Drummond"," 4","Notre-Dame-du-Bon-Conseil",Merged with No./Fusionné avec le n°3,,,,,,,,,272
24025,"Drummond/Drummond"," 5","Notre-Dame-du-Bon-Conseil",23,82,26,41,7,3,6,9,197,483
24025,"Drummond/Drummond"," 6","Notre-Dame-du-Bon-Conseil",17,82,23,51,8,3,4,6,194,410
24025,"Drummond/Drummond"," 7","Notre-Dame-du-Bon-Conseil",36,64,11,57,7,1,1,10,187,401
24025,"Drummond/Drummond"," 8","Drummondville",18,74,22,24,4,1,1,4,148,349
24025,"Drummond/Drummond"," 9","Saint-Cyrille-de-Wendover",21,88,16,27,4,0,0,1,157,339
24025,"Drummond/Drummond"," 10","Saint-Cyrille-de-Wendover",31,106,40,55,17,7,4,9,269,564
24025,"Drummond/Drummond"," 11","Drummondville",11,54,17,25,0,0,0,2,109,277
24025,"Drummond/Drummond"," 12","Saint-Cyrille-de-Wendover",22,85,13,28,4,0,4,8,164,358
24025,"Drummond/Drummond"," 13","Saint-Cyrille-de-Wendover",20,53,12,23,7,0,3,5,123,331
24025,"Drummond/Drummond"," 14","Saint-Cyrille-de-Wendover",22,65,16,26,5,5,3,7,149,326
24025,"Drummond/Drummond"," 15","Saint-Cyrille-de-Wendover",36,66,17,32,2,1,3,3,160,355
24025,"Drummond/Drummond"," 16","Saint-Cyrille-de-Wendover",27,79,10,33,6,0,3,10,168,415
24025,"Drummond/Drummond"," 17","Saint-Cyrille-de-Wendover",32,114,10,37,15,3,1,0,212,448
24025,"Drummond/Drummond"," 18","Saint-Cyrille-de-Wendover",24,116,24,73,7,3,4,3,254,506
24025,"Drummond/Drummond"," 19","Saint-Pie-de-Guire",42,106,25,40,4,1,0,4,222,341
24025,"Drummond/Drummond"," 20","Saint-Bonaventure",Merged with No./Fusionné avec le n°21,,,,,,,,,409
24025,"Drummond/Drummond"," 21","Saint-Bonaventure",55,265,39,93,22,6,6,16,502,409
24025,"Drummond/Drummond"," 22","Saint-Lucien",33,93,20,45,2,2,7,2,204,418
24025,"Drummond/Drummond"," 23","Saint-Lucien",Merged with No./Fusionné avec le n°24,,,,,,,,,311
24025,"Drummond/Drummond"," 24","Saint-Lucien",38,159,32,73,25,7,8,10,352,405
24025,"Drummond/Drummond"," 25","Drummondville",38,83,25,36,5,3,1,3,194,471
24025,"Drummond/Drummond"," 26","Drummondville",39,98,39,23,3,3,3,12,220,608
24025,"Drummond/Drummond"," 27","Drummondville",21,48,12,19,12,0,2,3,117,423
24025,"Drummond/Drummond"," 28","Drummondville",17,82,25,20,6,0,8,4,162,472
24025,"Drummond/Drummond"," 29","Drummondville",18,49,15,23,2,2,0,4,113,333
24025,"Drummond/Drummond"," 30","Drummondville",29,112,23,26,3,2,8,9,212,552
24025,"Drummond/Drummond"," 31","Drummondville",26,76,19,37,3,2,7,3,173,441
24025,"Drummond/Drummond"," 32","Drummondville",50,82,27,30,6,1,3,7,206,456
24025,"Drummond/Drummond"," 33","Drummondville",36,94,19,28,4,0,4,5,190,410
24025,"Drummond/Drummond"," 34","Drummondville",47,84,36,29,4,2,2,4,208,431
24025,"Drummond/Drummond"," 35","Drummondville",34,72,27,32,6,2,4,0,177,426
24025,"Drummond/Drummond"," 36","Drummondville",34,64,30,22,7,1,4,0,162,440
24025,"Drummond/Drummond"," 37","Drummondville",23,69,13,30,7,0,3,1,146,393
24025,"Drummond/Drummond"," 38","Drummondville",20,102,26,19,5,0,2,2,176,418
24025,"Drummond/Drummond"," 39","Drummondville",30,85,24,29,5,1,6,2,182,498
24025,"Drummond/Drummond"," 40","Drummondville",41,85,23,22,2,1,0,0,174,401
24025,"Drummond/Drummond"," 41","Saint-Majorique",Merged with No./Fusionné avec le n°43,,,,,,,,,299
24025,"Drummond/Drummond"," 42","Saint-Majorique",20,104,16,44,11,2,7,3,207,389
24025,"Drummond/Drummond"," 43","Saint-Majorique",57,148,23,72,7,1,3,10,321,318
24025,"Drummond/Drummond"," 44","Drummondville",33,107,21,32,4,1,1,2,201,542
24025,"Drummond/Drummond"," 45A","Drummondville",33,35,6,16,4,0,0,1,95,328
24025,"Drummond/Drummond"," 45B","Drummondville",32,58,6,16,2,0,0,1,115,363
24025,"Drummond/Drummond"," 46","Drummondville",35,66,19,34,4,0,0,3,161,408
24025,"Drummond/Drummond"," 47","Drummondville",33,54,12,20,1,0,0,0,120,416
24025,"Drummond/Drummond"," 48","Drummondville",33,72,18,19,1,0,2,0,145,315
24025,"Drummond/Drummond"," 49","Drummondville",25,36,13,18,1,0,0,5,98,374
24025,"Drummond/Drummond"," 50","Drummondville",29,45,7,9,3,2,1,1,97,353
24025,"Drummond/Drummond"," 51A","Drummondville",22,42,15,13,1,0,0,1,94,311
24025,"Drummond/Drummond"," 51B","Drummondville",19,54,10,12,3,0,1,3,102,311
24025,"Drummond/Drummond"," 52","Drummondville",20,41,15,6,3,2,3,6,96,404
24025,"Drummond/Drummond"," 53","Drummondville",40,63,16,24,4,1,4,3,155,547
24025,"Drummond/Drummond"," 54","Drummondville",24,30,4,12,2,1,1,2,76,231
24025,"Drummond/Drummond"," 55","Drummondville",36,53,23,28,5,0,1,1,147,456
24025,"Drummond/Drummond"," 56","Drummondville",32,71,19,7,4,1,0,2,136,373
24025,"Drummond/Drummond"," 57","Drummondville",24,68,19,15,2,0,3,4,135,295
24025,"Drummond/Drummond"," 58","Drummondville",26,43,21,19,2,0,1,1,113,282
24025,"Drummond/Drummond"," 59","Drummondville",52,82,28,21,6,1,1,6,197,418
24025,"Drummond/Drummond"," 60","Drummondville",29,71,27,18,8,3,4,5,165,408
24025,"Drummond/Drummond"," 61","Drummondville",26,51,18,27,7,1,2,2,134,414
24025,"Drummond/Drummond"," 62","Drummondville",17,76,25,25,7,3,2,5,160,402
24025,"Drummond/Drummond"," 63","Drummondville",26,88,12,42,2,0,1,4,175,410
24025,"Drummond/Drummond"," 64","Drummondville",31,74,19,23,5,5,4,6,167,465
24025,"Drummond/Drummond"," 65","Drummondville",21,50,18,14,0,2,2,3,110,369
24025,"Drummond/Drummond"," 66","Drummondville",14,53,12,17,6,4,10,2,118,340
24025,"Drummond/Drummond"," 67","Drummondville",22,41,21,10,1,1,2,5,103,395
24025,"Drummond/Drummond"," 68","Drummondville",26,56,20,20,9,4,4,3,142,453
24025,"Drummond/Drummond"," 69","Drummondville",35,49,21,16,6,3,3,3,136,457
24025,"Drummond/Drummond"," 70","Drummondville",27,36,14,12,3,2,0,1,95,374
24025,"Drummond/Drummond"," 71A","Drummondville",Merged with No./Fusionné avec le n°73,,,,,,,,,10
24025,"Drummond/Drummond"," 71B","Drummondville",98,68,15,35,7,1,0,25,249,299
24025,"Drummond/Drummond"," 72","Drummondville",33,55,17,19,0,2,4,3,133,399
24025,"Drummond/Drummond"," 73","Drummondville",28,36,21,22,4,0,4,4,119,324
