Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Naden Abenes,Brad Armstrong,Joyce Murray,Renate Siekmann,Devyani Singh,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59039,"Vancouver Quadra/Vancouver Quadra"," 1A","Metro Vancouver A",189,36,81,3,31,0,340,581
59039,"Vancouver Quadra/Vancouver Quadra"," 1B","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,15
59039,"Vancouver Quadra/Vancouver Quadra"," 2","Metro Vancouver A",104,23,44,2,27,0,200,407
59039,"Vancouver Quadra/Vancouver Quadra"," 3","Metro Vancouver A",14,16,44,1,4,0,79,459
59039,"Vancouver Quadra/Vancouver Quadra"," 4","Metro Vancouver A",30,21,28,7,9,2,97,425
59039,"Vancouver Quadra/Vancouver Quadra"," 5","Metro Vancouver A",13,21,45,0,6,1,86,470
59039,"Vancouver Quadra/Vancouver Quadra"," 6","Metro Vancouver A",22,53,44,3,12,1,135,494
59039,"Vancouver Quadra/Vancouver Quadra"," 7","Metro Vancouver A",150,54,83,6,19,1,313,564
59039,"Vancouver Quadra/Vancouver Quadra"," 8","Metro Vancouver A",50,24,39,4,11,1,129,362
59039,"Vancouver Quadra/Vancouver Quadra"," 9","Metro Vancouver A",18,26,36,0,5,1,86,412
59039,"Vancouver Quadra/Vancouver Quadra"," 10","Metro Vancouver A",63,34,38,0,6,1,142,397
59039,"Vancouver Quadra/Vancouver Quadra"," 11","Metro Vancouver A",44,25,41,1,7,1,119,354
59039,"Vancouver Quadra/Vancouver Quadra"," 12","Metro Vancouver A",43,13,41,5,7,0,109,346
59039,"Vancouver Quadra/Vancouver Quadra"," 13","Vancouver",22,58,63,2,4,0,149,544
59039,"Vancouver Quadra/Vancouver Quadra"," 14","Metro Vancouver A",12,35,31,2,5,0,85,268
59039,"Vancouver Quadra/Vancouver Quadra"," 15","Vancouver",38,36,69,5,11,1,160,570
59039,"Vancouver Quadra/Vancouver Quadra"," 16","Vancouver",55,48,56,1,17,1,178,596
59039,"Vancouver Quadra/Vancouver Quadra"," 17","Vancouver",18,42,59,2,10,1,132,455
59039,"Vancouver Quadra/Vancouver Quadra"," 18","Vancouver",36,45,71,1,15,0,168,617
