Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alexis Beaudet,Michel Bourgeois,Manon Coutu,Maxime Leclerc,Roger Materne,Érica Poirier,Gabriel Ste-Marie,Yanick Théoret,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24031,"Joliette/Joliette"," 1","Manawan",20,45,7,2,1,2,13,2,0,92,450
24031,"Joliette/Joliette"," 2","Manawan",14,31,3,0,9,1,9,1,2,70,418
24031,"Joliette/Joliette"," 3","Manawan",17,41,5,0,3,0,6,1,1,74,528
24031,"Joliette/Joliette"," 4","Saint-Michel-des-Saints",1,20,2,4,19,2,58,0,2,108,337
24031,"Joliette/Joliette"," 5","Saint-Michel-des-Saints",10,19,1,5,16,0,63,0,0,114,357
24031,"Joliette/Joliette"," 6","Saint-Michel-des-Saints",6,28,2,14,10,2,66,1,3,132,352
24031,"Joliette/Joliette"," 7","Saint-Michel-des-Saints",2,18,0,1,9,1,32,0,4,67,217
24031,"Joliette/Joliette"," 8","Saint-Michel-des-Saints",1,18,2,0,5,0,29,0,1,56,209
24031,"Joliette/Joliette"," 9","Saint-Michel-des-Saints",6,25,2,6,7,1,55,0,1,103,322
24031,"Joliette/Joliette"," 10","Saint-Michel-des-Saints",5,24,5,3,7,2,58,3,3,110,336
24031,"Joliette/Joliette"," 11","Saint-Zénon",5,60,0,1,19,2,87,2,0,176,390
24031,"Joliette/Joliette"," 12","Saint-Zénon",11,43,4,5,18,2,107,1,6,197,381
24031,"Joliette/Joliette"," 13","Saint-Zénon",8,34,2,11,11,0,89,0,4,159,344
24031,"Joliette/Joliette"," 14","Sainte-Émélie-de-l'Énergie",9,31,4,12,7,4,61,1,5,134,306
24031,"Joliette/Joliette"," 15","Sainte-Émélie-de-l'Énergie",9,41,5,3,14,6,93,0,1,172,364
24031,"Joliette/Joliette"," 16","Sainte-Émélie-de-l'Énergie",13,36,6,8,14,1,113,1,6,198,419
24031,"Joliette/Joliette"," 17","Sainte-Émélie-de-l'Énergie",12,33,8,7,11,7,134,0,10,222,420
24031,"Joliette/Joliette"," 18","Saint-Donat",7,61,0,0,16,1,77,0,1,163,463
24031,"Joliette/Joliette"," 19","Saint-Donat",7,37,0,1,4,2,59,0,0,110,384
24031,"Joliette/Joliette"," 20","Saint-Donat",4,41,2,4,24,2,53,1,2,133,353
24031,"Joliette/Joliette"," 21","Saint-Donat",15,42,1,5,15,3,88,4,0,173,327
24031,"Joliette/Joliette"," 22","Saint-Donat",Merged with No./Fusionné avec le n°21,,,,,,,,,,298
24031,"Joliette/Joliette"," 23","Saint-Donat",7,23,0,1,9,1,64,0,4,109,383
24031,"Joliette/Joliette"," 24","Saint-Côme",6,33,1,10,18,1,93,0,0,162,460
24031,"Joliette/Joliette"," 25","Saint-Côme",6,16,3,4,6,2,74,0,0,111,317
24031,"Joliette/Joliette"," 26","Saint-Côme",8,30,3,1,12,5,117,2,4,182,535
24031,"Joliette/Joliette"," 27","Saint-Côme",4,21,5,3,17,2,86,0,3,141,412
24031,"Joliette/Joliette"," 28","Saint-Côme",7,34,4,1,23,6,93,1,6,175,453
24031,"Joliette/Joliette"," 29","Sainte-Béatrix",11,44,5,4,7,3,86,2,3,165,360
24031,"Joliette/Joliette"," 30","Sainte-Béatrix",12,34,2,4,16,9,93,0,2,172,376
24031,"Joliette/Joliette"," 31","Sainte-Béatrix",10,25,5,7,13,8,89,1,3,161,386
24031,"Joliette/Joliette"," 32","Sainte-Béatrix",13,22,3,12,13,4,73,4,2,146,349
