Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,James Bountrogiannis,Kevin Clarke,Opa Day,Aslam Khan,John McKay,Michelle Spencer,Gus Stefanis,Carmen Wilson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 1","Toronto",6,0,1,1,166,22,0,41,0,237,549
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 2","Toronto",5,0,0,0,96,30,0,33,2,166,456
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 3","Toronto",6,1,2,1,131,43,0,42,0,226,482
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 4","Toronto",7,1,0,3,170,34,0,43,5,263,582
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 5","Toronto",4,0,1,0,63,24,0,32,0,124,369
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 6","Toronto",7,0,1,0,73,10,0,39,0,130,361
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 7","Toronto",11,0,0,0,74,17,0,40,2,144,428
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 8","Toronto",4,0,0,1,80,9,0,32,1,127,371
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 9","Toronto",1,1,1,0,77,14,1,19,0,114,358
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 10","Toronto",5,0,0,0,93,29,1,31,0,159,335
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 11","Toronto",4,0,0,0,79,30,0,26,1,140,387
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 12","Toronto",7,1,0,0,103,27,0,41,3,182,435
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 13","Toronto",8,1,0,2,71,24,0,32,2,140,398
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 14","Toronto",7,0,0,0,62,17,1,32,1,120,365
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 15","Toronto",4,0,1,0,130,25,0,22,8,190,485
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 16","Toronto",6,0,1,1,106,12,0,42,2,170,508
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 17","Toronto",2,0,1,0,80,36,0,31,5,155,372
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 18","Toronto",2,2,0,0,88,25,0,32,4,153,390
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 19","Toronto",10,2,0,0,107,23,1,51,0,194,558
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 20","Toronto",7,1,0,0,127,39,0,39,5,218,681
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 21","Toronto",9,1,0,0,97,18,3,31,2,161,378
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 22","Toronto",3,2,0,1,103,21,0,29,1,160,381
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 23","Toronto",7,0,0,0,89,29,0,31,3,159,277
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 24","Toronto",11,1,1,1,93,27,0,43,0,177,408
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 25","Toronto",13,0,3,0,87,21,1,56,1,182,463
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 26","Toronto",8,0,0,0,155,23,0,37,7,230,439
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 27","Toronto",5,1,0,3,106,26,0,37,3,181,419
35095,"Scarborough--Guildwood/Scarborough--Guildwood"," 28","Toronto",7,0,0,0,58,12,0,44,4,125,330
