Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mel Arnold,Kyle Delfing,Shelley Desautels,Andrea Gunner,Ron Johnston,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 1","Seymour Arm",26,0,17,10,7,0,60,86
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 2","Anglemont--Magna Bay",72,9,31,12,30,0,154,380
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 3","Anglemont",102,17,29,6,28,2,184,430
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 4","Scotch Creek--Scotch Creek 4",48,15,30,7,20,0,120,342
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 5","Lee Creek",45,15,24,9,40,0,133,473
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 6","Scotch Creek",93,9,29,3,14,0,148,412
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 7","Celista",105,19,25,11,33,0,193,460
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 8","Quaaout 1",19,8,8,4,21,0,60,223
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 9","Sorrento",93,20,40,14,34,1,202,474
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 10","Sorrento",133,16,35,10,37,0,231,491
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 11","Chase",22,8,13,4,45,0,92,380
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 12","Chase",59,8,34,5,21,1,128,422
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 13","Chase",71,7,35,6,29,1,149,474
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 14","Chase",68,6,20,8,26,2,130,448
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 15","Chase",80,7,18,11,33,1,150,521
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 16","Chase",67,9,10,9,37,1,133,372
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 17","Chase",66,17,30,5,25,0,143,516
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 18","Blind Bay",82,22,23,6,22,0,155,511
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 19","Blind Bay",42,7,21,4,14,0,88,381
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 20","Blind Bay",54,7,21,9,25,0,116,400
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 21","Blind Bay",62,5,24,6,29,0,126,364
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 22","Blind Bay",72,15,31,7,16,1,142,406
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 23","Blind Bay",76,4,17,3,24,0,124,369
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 24","Blind Bay",71,8,26,5,15,0,125,347
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 25","Eagle Bay",121,17,46,8,46,3,241,438
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 26","Notch Hill",61,10,24,8,19,1,123,390
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 27","Notch Hill",112,28,36,3,21,0,200,412
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 28","Malakwa",54,8,18,6,17,0,103,303
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 29","Malakwa",65,24,26,7,9,0,131,303
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 30","Blind Bay",72,7,17,3,10,0,109,342
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 31","Balmoral",81,5,19,10,25,1,141,403
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 32","White Lake",110,15,31,15,46,2,219,425
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 33","Tappen",64,15,9,10,24,0,122,378
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 34","Sunnybrae",57,16,36,9,18,0,136,402
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 35","Tappen",53,20,25,10,24,0,132,412
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 36","Sunnybrae",78,16,28,6,18,2,148,415
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 37","Sicamous",74,17,18,5,22,1,137,465
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 38","Sicamous",57,9,14,7,15,0,102,433
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 39","Sicamous",51,10,23,2,21,0,107,425
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 40","Sicamous",55,7,11,10,14,0,97,384
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 41","Sicamous",60,12,19,4,15,0,110,417
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 42","Sicamous",45,18,23,4,28,0,118,478
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 43","Six Mile Point",40,4,10,3,15,0,72,263
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 44","Salmon Arm",80,7,57,9,44,0,197,463
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 45","Salmon Arm",113,22,49,13,58,2,257,544
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 46","Canoe",109,15,32,16,38,0,210,498
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 47","Salmon Arm",98,27,76,11,27,0,239,582
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 48A","Salmon Arm",63,15,32,15,18,0,143,353
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 48B","Salmon Arm",71,25,24,9,32,1,162,340
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 49","Salmon Arm--Switzemalph",88,23,27,6,41,0,185,566
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 50","Salmon Arm--Switzemalph",36,11,31,5,28,0,111,468
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 51","Salmon Arm",96,16,19,13,22,0,166,397
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 52","Salmon Arm",53,19,24,7,31,0,134,436
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 53","Salmon Arm",53,11,35,12,41,0,152,554
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 54","Salmon Arm",42,17,30,10,38,0,137,474
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 55","Salmon Arm",68,10,48,10,49,2,187,616
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 56","Salmon Arm",88,13,36,6,33,1,177,505
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 57","Salmon Arm",83,14,53,9,36,0,195,499
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 58","Salmon Arm",76,10,43,10,40,0,179,532
