Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jenica Atwin,Andrea Johnson,Brandon Kirby,Nicole O'Byrne,Shawn Oldenburg,June Patterson,Jen Smith,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13003,"Fredericton/Fredericton"," 63","Burpees Corner",36,98,2,13,16,0,2,0,167,344
13003,"Fredericton/Fredericton"," 64","Lower Burton",51,115,2,16,34,2,2,2,224,440
13003,"Fredericton/Fredericton"," 65","Burpees Corner",51,151,2,15,23,1,1,5,249,463
13003,"Fredericton/Fredericton"," 66","Burton",44,115,0,8,21,2,2,4,196,429
13003,"Fredericton/Fredericton"," 67","Burton",36,51,0,13,22,0,3,2,127,354
13003,"Fredericton/Fredericton"," 68","Fredericton",86,29,1,44,33,0,0,0,193,487
13003,"Fredericton/Fredericton"," 69","Fredericton",53,20,0,30,18,0,1,0,122,410
13003,"Fredericton/Fredericton"," 70","Fredericton",62,17,0,27,9,1,0,0,116,420
13003,"Fredericton/Fredericton"," 71","Fredericton",73,48,1,52,119,1,0,1,295,467
13003,"Fredericton/Fredericton"," 72","Fredericton",49,8,0,43,43,1,2,1,147,385
13003,"Fredericton/Fredericton"," 73","Fredericton",58,29,0,34,32,1,0,2,156,367
13003,"Fredericton/Fredericton"," 74","Fredericton",92,25,1,44,19,2,0,1,184,415
13003,"Fredericton/Fredericton"," 75","Fredericton",79,35,1,37,26,1,2,0,181,503
13003,"Fredericton/Fredericton"," 76","Fredericton",54,36,1,45,23,0,0,0,159,498
13003,"Fredericton/Fredericton"," 77","Fredericton",56,24,3,44,48,5,1,0,181,490
13003,"Fredericton/Fredericton"," 78","Fredericton",80,40,3,31,32,0,0,0,186,468
13003,"Fredericton/Fredericton"," 79","Fredericton",66,38,1,48,66,2,2,1,224,598
13003,"Fredericton/Fredericton"," 80","Fredericton",46,17,1,34,85,0,0,1,184,386
13003,"Fredericton/Fredericton"," 81","Fredericton",63,22,0,32,47,2,0,0,166,430
13003,"Fredericton/Fredericton"," 82","Fredericton",61,35,0,27,17,1,1,1,143,404
13003,"Fredericton/Fredericton"," 83","Fredericton",62,28,0,20,8,0,1,0,119,387
13003,"Fredericton/Fredericton"," 84","Fredericton",66,34,0,26,21,0,0,1,148,422
13003,"Fredericton/Fredericton"," 85","Fredericton",Void/Supprimé,,,,,,,,,
13003,"Fredericton/Fredericton"," 86","Fredericton",80,62,0,42,29,0,0,1,214,585
13003,"Fredericton/Fredericton"," 87","Fredericton",63,20,0,33,12,1,1,0,130,386
13003,"Fredericton/Fredericton"," 88","Fredericton",107,38,0,35,14,1,0,2,197,408
13003,"Fredericton/Fredericton"," 89","Fredericton",70,35,1,25,18,1,1,0,151,339
13003,"Fredericton/Fredericton"," 90","Fredericton",73,19,0,28,60,0,1,0,181,454
13003,"Fredericton/Fredericton"," 91","Fredericton",55,31,1,24,35,0,1,1,148,443
13003,"Fredericton/Fredericton"," 92","Fredericton",36,23,2,19,50,0,2,0,132,451
13003,"Fredericton/Fredericton"," 93","Fredericton",88,46,2,34,84,2,1,1,258,616
13003,"Fredericton/Fredericton"," 94","Fredericton",93,48,1,38,15,1,0,0,196,475
13003,"Fredericton/Fredericton"," 95","Fredericton",51,26,1,30,41,2,3,3,157,399
13003,"Fredericton/Fredericton"," 96","Fredericton",52,23,3,22,11,1,1,1,114,375
13003,"Fredericton/Fredericton"," 97","Fredericton",59,22,0,51,27,0,2,0,161,422
13003,"Fredericton/Fredericton"," 98","Fredericton",83,56,4,27,22,0,0,2,194,425
13003,"Fredericton/Fredericton"," 99","Fredericton",83,49,1,19,18,0,0,0,170,410
13003,"Fredericton/Fredericton"," 100","Fredericton",63,59,3,25,35,0,0,1,186,443
13003,"Fredericton/Fredericton"," 101","Fredericton",68,60,0,21,14,1,1,1,166,398
13003,"Fredericton/Fredericton"," 102","Fredericton",70,45,1,17,33,0,1,2,169,415
