Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,René Arseneault,Shawn Beaulieu,Louis Berube,Rebecca Blaevoet,Elizabeth MacDonald,Nancy Mercier,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 1","Dalhousie",46,34,0,8,9,10,2,109,359
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 2","Dalhousie",26,21,2,12,9,11,2,83,364
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 3","Dalhousie",47,21,1,3,21,14,1,108,402
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 4","Dalhousie",47,33,2,3,18,6,0,109,400
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 5","Dalhousie",36,20,0,1,10,0,1,68,321
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 6","Dalhousie",41,27,1,0,19,6,0,94,320
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 7","Dalhousie",57,27,2,4,12,1,2,105,314
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 8","Dalhousie",40,21,3,3,8,7,2,84,311
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 9","Eel River 3",31,8,0,5,38,8,0,90,326
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 10","Charlo",59,24,2,4,23,6,0,118,374
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 11","Charlo",63,26,3,4,15,7,4,122,373
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 12","Charlo",77,32,4,4,10,5,1,133,404
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 13","Eel River Crossing",42,15,5,8,5,15,4,94,318
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 14","Eel River Crossing",56,18,2,1,2,7,3,89,347
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 15","Eel River Crossing",53,12,2,3,7,12,3,92,308
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 16","Dalhousie Junction",68,30,2,7,22,19,1,149,360
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 17","McLeods",68,19,3,2,21,14,1,128,322
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 18","Shannonvale",86,32,13,9,10,25,1,176,348
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 19","Dundee",44,20,2,4,2,14,2,88,302
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 20","Doyleville",58,54,4,9,26,13,0,164,379
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 21","Lorne",68,53,2,6,33,6,1,169,379
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 22","Campbellton",69,28,1,6,18,22,2,146,519
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 23","Campbellton",59,25,4,3,19,24,2,136,559
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 24","Campbellton",70,37,4,11,22,11,1,156,511
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 25","Campbellton",70,24,4,7,12,12,1,130,497
