Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Malcolm Allen,Jim Enos,Lisa Hepfner,Al Miles,Chelsey Taylor,Dave Urquhart,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35037,"Hamilton Mountain/Hamilton Mountain"," 57","Hamilton",70,0,32,34,7,4,0,147,379
35037,"Hamilton Mountain/Hamilton Mountain"," 58","Hamilton",142,2,113,72,27,10,1,367,475
35037,"Hamilton Mountain/Hamilton Mountain"," 59","Hamilton",71,3,53,51,10,7,3,198,464
35037,"Hamilton Mountain/Hamilton Mountain"," 60","Hamilton",Merged with No./Fusionné avec le n°58,,,,,,,,356
35037,"Hamilton Mountain/Hamilton Mountain"," 61","Hamilton",114,0,101,74,17,8,0,314,400
35037,"Hamilton Mountain/Hamilton Mountain"," 62","Hamilton",Merged with No./Fusionné avec le n°61,,,,,,,,352
35037,"Hamilton Mountain/Hamilton Mountain"," 63","Hamilton",60,2,34,31,15,1,2,145,390
35037,"Hamilton Mountain/Hamilton Mountain"," 64","Hamilton",80,2,55,45,14,4,1,201,412
35037,"Hamilton Mountain/Hamilton Mountain"," 65","Hamilton",95,4,89,56,19,3,4,270,361
35037,"Hamilton Mountain/Hamilton Mountain"," 66","Hamilton",64,2,56,41,12,3,0,178,381
35037,"Hamilton Mountain/Hamilton Mountain"," 67","Hamilton",Merged with No./Fusionné avec le n°65,,,,,,,,317
35037,"Hamilton Mountain/Hamilton Mountain"," 68","Hamilton",124,2,107,84,30,8,5,360,463
35037,"Hamilton Mountain/Hamilton Mountain"," 69","Hamilton",109,2,71,68,25,6,3,284,366
35037,"Hamilton Mountain/Hamilton Mountain"," 70","Hamilton",Merged with No./Fusionné avec le n°40,,,,,,,,391
35037,"Hamilton Mountain/Hamilton Mountain"," 71","Hamilton",Merged with No./Fusionné avec le n°69,,,,,,,,398
35037,"Hamilton Mountain/Hamilton Mountain"," 72","Hamilton",70,3,97,31,8,6,4,219,407
35037,"Hamilton Mountain/Hamilton Mountain"," 73","Hamilton",Merged with No./Fusionné avec le n°125,,,,,,,,451
35037,"Hamilton Mountain/Hamilton Mountain"," 74","Hamilton",117,1,84,92,23,11,1,329,519
35037,"Hamilton Mountain/Hamilton Mountain"," 75","Hamilton",Merged with No./Fusionné avec le n°49,,,,,,,,403
35037,"Hamilton Mountain/Hamilton Mountain"," 76","Hamilton",103,5,81,77,22,10,4,302,371
35037,"Hamilton Mountain/Hamilton Mountain"," 77","Hamilton",59,0,39,27,16,4,0,145,383
35037,"Hamilton Mountain/Hamilton Mountain"," 78","Hamilton",116,1,98,105,22,12,4,358,426
35037,"Hamilton Mountain/Hamilton Mountain"," 79","Hamilton",Merged with No./Fusionné avec le n°76,,,,,,,,417
35037,"Hamilton Mountain/Hamilton Mountain"," 80","Hamilton",Merged with No./Fusionné avec le n°74,,,,,,,,369
35037,"Hamilton Mountain/Hamilton Mountain"," 81","Hamilton",Merged with No./Fusionné avec le n°78,,,,,,,,425
35037,"Hamilton Mountain/Hamilton Mountain"," 82","Hamilton",90,1,72,52,9,6,6,236,430
35037,"Hamilton Mountain/Hamilton Mountain"," 83","Hamilton",90,2,71,44,9,1,0,217,567
35037,"Hamilton Mountain/Hamilton Mountain"," 84","Hamilton",114,5,131,91,28,3,1,373,422
35037,"Hamilton Mountain/Hamilton Mountain"," 85","Hamilton",Merged with No./Fusionné avec le n°68,,,,,,,,426
35037,"Hamilton Mountain/Hamilton Mountain"," 86","Hamilton",76,2,61,41,23,3,2,208,439
35037,"Hamilton Mountain/Hamilton Mountain"," 87","Hamilton",75,2,63,39,10,5,1,195,445
35037,"Hamilton Mountain/Hamilton Mountain"," 88","Hamilton",Merged with No./Fusionné avec le n°84,,,,,,,,358
35037,"Hamilton Mountain/Hamilton Mountain"," 89","Hamilton",105,4,110,70,20,6,4,319,356
35037,"Hamilton Mountain/Hamilton Mountain"," 90","Hamilton",51,0,77,49,18,4,1,200,442
35037,"Hamilton Mountain/Hamilton Mountain"," 91","Hamilton",Merged with No./Fusionné avec le n°89,,,,,,,,403
35037,"Hamilton Mountain/Hamilton Mountain"," 92","Hamilton",49,0,68,43,14,1,1,176,473
35037,"Hamilton Mountain/Hamilton Mountain"," 93","Hamilton",64,1,63,35,7,3,4,177,478
35037,"Hamilton Mountain/Hamilton Mountain"," 94","Hamilton",51,0,36,22,11,5,1,126,411
35037,"Hamilton Mountain/Hamilton Mountain"," 95","Hamilton",57,0,58,50,2,3,0,170,373
35037,"Hamilton Mountain/Hamilton Mountain"," 96","Hamilton",60,1,125,51,15,3,6,261,526
35037,"Hamilton Mountain/Hamilton Mountain"," 97","Hamilton",52,0,118,58,12,4,3,247,530
35037,"Hamilton Mountain/Hamilton Mountain"," 98","Hamilton",100,2,83,29,20,8,1,243,386
35037,"Hamilton Mountain/Hamilton Mountain"," 99","Hamilton",52,0,48,34,14,4,0,152,412
35037,"Hamilton Mountain/Hamilton Mountain"," 100","Hamilton",Merged with No./Fusionné avec le n°98,,,,,,,,403
35037,"Hamilton Mountain/Hamilton Mountain"," 101","Hamilton",101,1,117,66,24,12,5,326,367
35037,"Hamilton Mountain/Hamilton Mountain"," 102","Hamilton",58,0,51,44,11,2,0,166,398
35037,"Hamilton Mountain/Hamilton Mountain"," 103","Hamilton",Merged with No./Fusionné avec le n°101,,,,,,,,387
35037,"Hamilton Mountain/Hamilton Mountain"," 104","Hamilton",44,2,60,38,9,2,0,155,411
35037,"Hamilton Mountain/Hamilton Mountain"," 105","Hamilton",79,2,53,28,13,4,3,182,486
35037,"Hamilton Mountain/Hamilton Mountain"," 106A","Hamilton",Merged with No./Fusionné avec le n°122,,,,,,,,107
35037,"Hamilton Mountain/Hamilton Mountain"," 106B","Hamilton",38,1,69,43,1,5,4,161,288
35037,"Hamilton Mountain/Hamilton Mountain"," 107","Hamilton",102,3,116,76,27,5,1,330,431
35037,"Hamilton Mountain/Hamilton Mountain"," 108","Hamilton",118,3,91,63,17,7,5,304,357
35037,"Hamilton Mountain/Hamilton Mountain"," 109","Hamilton",61,1,48,44,7,4,3,168,532
35037,"Hamilton Mountain/Hamilton Mountain"," 110","Hamilton",93,1,76,66,18,4,1,259,366
35037,"Hamilton Mountain/Hamilton Mountain"," 111","Hamilton",Merged with No./Fusionné avec le n°110,,,,,,,,460
35037,"Hamilton Mountain/Hamilton Mountain"," 112","Hamilton",94,1,103,78,12,2,7,297,394
35037,"Hamilton Mountain/Hamilton Mountain"," 113","Hamilton",Merged with No./Fusionné avec le n°108,,,,,,,,472
35037,"Hamilton Mountain/Hamilton Mountain"," 114","Hamilton",92,1,31,44,14,2,0,184,487
35037,"Hamilton Mountain/Hamilton Mountain"," 115","Hamilton",68,0,102,57,17,2,5,251,514
35037,"Hamilton Mountain/Hamilton Mountain"," 116","Hamilton",70,1,86,73,6,2,4,242,596
35037,"Hamilton Mountain/Hamilton Mountain"," 117","Hamilton",50,1,103,66,15,2,0,237,543
35037,"Hamilton Mountain/Hamilton Mountain"," 118","Hamilton",69,2,88,53,6,2,1,221,472
35037,"Hamilton Mountain/Hamilton Mountain"," 119","Hamilton",84,0,139,69,13,9,2,316,453
35037,"Hamilton Mountain/Hamilton Mountain"," 120","Hamilton",62,2,88,62,19,8,0,241,539
35037,"Hamilton Mountain/Hamilton Mountain"," 121","Hamilton",90,4,153,117,27,2,0,393,444
35037,"Hamilton Mountain/Hamilton Mountain"," 122","Hamilton",69,5,50,40,6,1,0,171,385
35037,"Hamilton Mountain/Hamilton Mountain"," 123","Hamilton",80,0,124,98,24,4,0,330,369
35037,"Hamilton Mountain/Hamilton Mountain"," 124","Hamilton",Merged with No./Fusionné avec le n°123,,,,,,,,471
35037,"Hamilton Mountain/Hamilton Mountain"," 125","Hamilton",105,3,83,114,23,11,0,339,431
35037,"Hamilton Mountain/Hamilton Mountain"," 126","Hamilton",Merged with No./Fusionné avec le n°107,,,,,,,,386
35037,"Hamilton Mountain/Hamilton Mountain"," 127","Hamilton",Merged with No./Fusionné avec le n°112,,,,,,,,414
35037,"Hamilton Mountain/Hamilton Mountain"," 128","Hamilton",45,2,97,73,18,4,1,240,508
35037,"Hamilton Mountain/Hamilton Mountain"," 129","Hamilton",60,2,119,77,10,6,1,275,492
35037,"Hamilton Mountain/Hamilton Mountain"," 130","Hamilton",75,0,149,64,13,4,5,310,336
35037,"Hamilton Mountain/Hamilton Mountain"," 131","Hamilton",66,4,105,84,14,8,3,284,530
35037,"Hamilton Mountain/Hamilton Mountain"," 132","Hamilton",73,2,163,111,13,10,8,380,356
35037,"Hamilton Mountain/Hamilton Mountain"," 133","Hamilton",103,3,143,114,15,14,2,394,417
35037,"Hamilton Mountain/Hamilton Mountain"," 134","Hamilton",41,1,47,47,15,3,0,154,362
35037,"Hamilton Mountain/Hamilton Mountain"," 135","Hamilton",65,1,89,70,14,5,3,247,560
35037,"Hamilton Mountain/Hamilton Mountain"," 136","Hamilton",61,3,44,39,16,2,3,168,486
35037,"Hamilton Mountain/Hamilton Mountain"," 137","Hamilton",69,1,43,30,6,3,0,152,463
35037,"Hamilton Mountain/Hamilton Mountain"," 138","Hamilton",71,0,85,39,9,11,2,217,506
35037,"Hamilton Mountain/Hamilton Mountain"," 139","Hamilton",57,0,50,40,19,6,0,172,471
35037,"Hamilton Mountain/Hamilton Mountain"," 140","Hamilton",65,0,66,42,8,1,1,183,447
35037,"Hamilton Mountain/Hamilton Mountain"," 141","Hamilton",52,1,53,36,11,2,2,157,463
35037,"Hamilton Mountain/Hamilton Mountain"," 142","Hamilton",49,1,90,69,8,2,0,219,483
35037,"Hamilton Mountain/Hamilton Mountain"," 143","Hamilton",45,2,72,59,6,1,2,187,437
35037,"Hamilton Mountain/Hamilton Mountain"," 144","Hamilton",45,12,63,113,14,4,4,255,519
35037,"Hamilton Mountain/Hamilton Mountain"," 145","Hamilton",46,0,81,56,7,1,2,193,426
35037,"Hamilton Mountain/Hamilton Mountain"," 146","Hamilton",73,3,177,93,22,3,3,374,417
35037,"Hamilton Mountain/Hamilton Mountain"," 147","Hamilton",Merged with No./Fusionné avec le n°146,,,,,,,,457
35037,"Hamilton Mountain/Hamilton Mountain"," 148","Hamilton",37,1,84,50,15,4,0,191,530
35037,"Hamilton Mountain/Hamilton Mountain"," 149","Hamilton",112,1,134,97,19,7,0,370,416
35037,"Hamilton Mountain/Hamilton Mountain"," 150","Hamilton",Merged with No./Fusionné avec le n°149,,,,,,,,355
35037,"Hamilton Mountain/Hamilton Mountain"," 151","Hamilton",107,4,150,95,21,3,2,382,394
35037,"Hamilton Mountain/Hamilton Mountain"," 152","Hamilton",108,1,100,101,26,4,5,345,409
35037,"Hamilton Mountain/Hamilton Mountain"," 153","Hamilton",Merged with No./Fusionné avec le n°151,,,,,,,,400
35037,"Hamilton Mountain/Hamilton Mountain"," 154","Hamilton",48,1,90,52,11,3,2,207,433
35037,"Hamilton Mountain/Hamilton Mountain"," 155","Hamilton",Merged with No./Fusionné avec le n°152,,,,,,,,383
35037,"Hamilton Mountain/Hamilton Mountain"," 156","Hamilton",85,2,53,45,15,4,0,204,473
35037,"Hamilton Mountain/Hamilton Mountain"," 157","Hamilton",Merged with No./Fusionné avec le n°119,,,,,,,,356
35037,"Hamilton Mountain/Hamilton Mountain"," 158","Hamilton",49,1,101,68,16,8,0,243,534
35037,"Hamilton Mountain/Hamilton Mountain"," 159","Hamilton",Merged with No./Fusionné avec le n°121,,,,,,,,372
35037,"Hamilton Mountain/Hamilton Mountain"," 160","Hamilton",41,4,92,73,9,3,9,231,462
35037,"Hamilton Mountain/Hamilton Mountain"," 161","Hamilton",80,6,159,96,15,2,0,358,313
35037,"Hamilton Mountain/Hamilton Mountain"," 162","Hamilton",61,3,81,54,13,5,3,220,461
35037,"Hamilton Mountain/Hamilton Mountain"," 163","Hamilton",80,2,102,55,19,3,1,262,491
35037,"Hamilton Mountain/Hamilton Mountain"," 164","Hamilton",64,0,78,57,6,5,2,212,437
35037,"Hamilton Mountain/Hamilton Mountain"," 165","Hamilton",Merged with No./Fusionné avec le n°161,,,,,,,,399
35037,"Hamilton Mountain/Hamilton Mountain"," 166","Hamilton",42,0,51,32,9,1,0,135,414
35037,"Hamilton Mountain/Hamilton Mountain"," 167","Hamilton",62,3,83,56,12,5,1,222,419
35037,"Hamilton Mountain/Hamilton Mountain"," 168","Hamilton",59,1,77,57,19,4,2,219,531
35037,"Hamilton Mountain/Hamilton Mountain"," 169","Hamilton",Merged with No./Fusionné avec le n°130,,,,,,,,409
35037,"Hamilton Mountain/Hamilton Mountain"," 170","Hamilton",72,1,95,55,17,4,1,245,498
35037,"Hamilton Mountain/Hamilton Mountain"," 171","Hamilton",Merged with No./Fusionné avec le n°132,,,,,,,,489
35037,"Hamilton Mountain/Hamilton Mountain"," 172","Hamilton",36,0,92,27,5,4,0,164,426
35037,"Hamilton Mountain/Hamilton Mountain"," 173","Hamilton",72,0,69,63,17,7,3,231,610
35037,"Hamilton Mountain/Hamilton Mountain"," 174","Hamilton",Merged with No./Fusionné avec le n°133,,,,,,,,460
35037,"Hamilton Mountain/Hamilton Mountain"," 175","Hamilton",89,0,112,87,6,5,5,304,610
35037,"Hamilton Mountain/Hamilton Mountain"," 176","Hamilton",89,2,105,61,22,2,0,281,403
35037,"Hamilton Mountain/Hamilton Mountain"," 177","Hamilton",94,1,116,97,27,3,2,340,446
35037,"Hamilton Mountain/Hamilton Mountain"," 178","Hamilton",Merged with No./Fusionné avec le n°177,,,,,,,,389
35037,"Hamilton Mountain/Hamilton Mountain"," 179","Hamilton",Merged with No./Fusionné avec le n°176,,,,,,,,389
35037,"Hamilton Mountain/Hamilton Mountain"," 180","Hamilton",43,2,102,53,10,1,1,212,508
35037,"Hamilton Mountain/Hamilton Mountain"," 181","Hamilton",60,3,67,47,11,2,3,193,531
35037,"Hamilton Mountain/Hamilton Mountain"," 182","Hamilton",45,0,75,51,10,2,5,188,421
35037,"Hamilton Mountain/Hamilton Mountain"," 183","Hamilton",52,0,52,40,14,1,4,163,505
35037,"Hamilton Mountain/Hamilton Mountain"," 400","Hamilton",36,1,27,22,4,5,1,96,178
35037,"Hamilton Mountain/Hamilton Mountain"," 401","Hamilton",56,1,102,50,4,3,0,216,281
35037,"Hamilton Mountain/Hamilton Mountain"," 402","Hamilton",50,0,51,43,12,5,1,162,290
35037,"Hamilton Mountain/Hamilton Mountain"," 403","Hamilton",28,2,55,34,8,8,0,135,194
35037,"Hamilton Mountain/Hamilton Mountain"," 404","Hamilton",28,2,140,47,4,3,3,227,396
35037,"Hamilton Mountain/Hamilton Mountain"," 500","Mobile poll/Bureau itinérant",20,2,39,16,2,3,0,82,263
35037,"Hamilton Mountain/Hamilton Mountain"," 501","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°104,,,,,,,,145
35037,"Hamilton Mountain/Hamilton Mountain"," 502","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°125,,,,,,,,18
35037,"Hamilton Mountain/Hamilton Mountain"," 503","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°143,,,,,,,,128
35037,"Hamilton Mountain/Hamilton Mountain"," 600","Hamilton ",195,4,233,148,38,16,2,636,
35037,"Hamilton Mountain/Hamilton Mountain"," 601","Hamilton ",419,3,320,235,82,22,4,1085,
35037,"Hamilton Mountain/Hamilton Mountain"," 602","Hamilton ",307,6,216,192,67,13,0,801,
35037,"Hamilton Mountain/Hamilton Mountain"," 603","Hamilton ",220,3,268,210,54,25,1,781,
35037,"Hamilton Mountain/Hamilton Mountain"," 604","Hamilton ",370,1,311,224,72,15,6,999,
35037,"Hamilton Mountain/Hamilton Mountain"," 605","Hamilton ",225,6,182,132,49,9,6,609,
35037,"Hamilton Mountain/Hamilton Mountain"," 606","Hamilton ",192,3,158,154,51,10,2,570,
35037,"Hamilton Mountain/Hamilton Mountain"," 607","Hamilton ",157,1,310,180,44,9,3,704,
35037,"Hamilton Mountain/Hamilton Mountain"," 608","Hamilton ",315,5,312,238,79,17,9,975,
35037,"Hamilton Mountain/Hamilton Mountain"," 609","Hamilton ",282,6,399,300,99,15,7,1108,
35037,"Hamilton Mountain/Hamilton Mountain"," 610","Hamilton ",273,6,357,269,64,9,5,983,
35037,"Hamilton Mountain/Hamilton Mountain"," 611","Hamilton ",214,2,302,221,52,13,1,805,
35037,"Hamilton Mountain/Hamilton Mountain"," 612","Hamilton ",209,9,325,222,41,11,5,822,
35037,"Hamilton Mountain/Hamilton Mountain"," 613","Hamilton ",130,2,251,159,58,9,3,612,
35037,"Hamilton Mountain/Hamilton Mountain"," 614","Hamilton ",144,3,234,191,60,17,2,651,
35037,"Hamilton Mountain/Hamilton Mountain",,Group 1/Groupe 1, 124,1,102,50,23,4,20,324,127
35037,"Hamilton Mountain/Hamilton Mountain",,Group 2/Groupe 2, 745,16,898,429,73,39,64,2264,
