Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Patty Deitch,Lisa Harris,Ron Nowlan,Bruce Potter,Jake Stewart,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 1","Rivière-du-Portage",7,104,14,9,19,1,154,346
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 2","Pontgravé",2,87,7,10,29,2,137,311
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 3","Pontgravé",11,106,8,6,17,2,150,307
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 4","Brantville",6,92,5,9,5,4,121,280
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 5","Brantville",3,108,5,4,24,0,144,277
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 6","Brantville",5,132,7,10,14,1,169,358
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 7","Tabusintac 9",6,76,14,20,74,4,194,415
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 8","Covedell",1,78,14,10,59,3,165,421
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 9","Fairisle",5,66,12,10,17,0,110,341
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 10","Alnwick",6,73,7,6,27,1,120,334
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 11","Neguac",5,77,10,5,31,0,128,339
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 12","Lower Neguac",6,96,17,8,22,1,150,342
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 13","Neguac",3,54,7,4,29,1,98,285
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 14","Neguac",4,83,19,10,42,0,158,391
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 15","Burnt Church 14",3,56,2,22,4,0,87,492
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 16","Esgenoôpetitj 14",5,39,0,27,4,0,75,414
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 17","Saint-Wilfred",6,66,6,5,25,1,109,225
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 18","Lavillette",5,98,12,5,19,5,144,288
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 19","Alnwick",7,101,9,10,34,3,164,292
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 20","Lagacéville",5,128,16,20,51,2,222,438
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 21","New Jersey",8,90,11,15,65,1,190,378
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 22","Escuminac",6,47,7,3,101,0,164,409
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 23","Escuminac",5,36,6,8,61,2,118,277
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 24","Hardwicke",4,40,1,9,67,3,124,282
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 25","Manuels",4,59,7,5,50,2,127,288
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 26","Eel River Bridge",1,56,5,3,56,2,123,299
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 27","Lower Newcastle",3,48,11,7,63,0,132,393
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 28","Miramichi",6,34,2,8,50,0,100,267
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 29","Miramichi",2,68,6,15,64,1,156,449
