Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Angela Brydges,Melissa Chung-Mowat,Robert Crooks,Anas Kassem,Kevin Lamoureux,Patrick Neilan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46012,"Winnipeg North/Winnipeg-Nord"," 18","Winnipeg",1,59,0,9,128,4,0,201,502
46012,"Winnipeg North/Winnipeg-Nord"," 19","Winnipeg",2,26,0,23,72,3,1,127,382
46012,"Winnipeg North/Winnipeg-Nord"," 20","Winnipeg",2,18,0,28,62,1,1,112,310
46012,"Winnipeg North/Winnipeg-Nord"," 21","Winnipeg",0,40,0,22,81,3,2,148,446
46012,"Winnipeg North/Winnipeg-Nord"," 22","Winnipeg",0,39,0,8,68,2,0,117,396
46012,"Winnipeg North/Winnipeg-Nord"," 23","Winnipeg",0,24,0,19,81,7,0,131,431
46012,"Winnipeg North/Winnipeg-Nord"," 24","Winnipeg",1,38,0,16,56,4,4,119,409
46012,"Winnipeg North/Winnipeg-Nord"," 25","Winnipeg",0,36,0,17,107,5,0,165,426
46012,"Winnipeg North/Winnipeg-Nord"," 26","Winnipeg",0,14,0,30,48,5,2,99,329
46012,"Winnipeg North/Winnipeg-Nord"," 27","Winnipeg",1,36,0,13,89,3,2,144,384
46012,"Winnipeg North/Winnipeg-Nord"," 28","Winnipeg",0,20,0,3,59,5,0,87,309
46012,"Winnipeg North/Winnipeg-Nord"," 29","Winnipeg",2,46,0,20,87,10,1,166,464
46012,"Winnipeg North/Winnipeg-Nord"," 30","Winnipeg",4,39,0,17,76,7,1,144,391
46012,"Winnipeg North/Winnipeg-Nord"," 31","Winnipeg",0,34,0,16,93,4,0,147,415
46012,"Winnipeg North/Winnipeg-Nord"," 32","Winnipeg",1,38,0,14,69,4,0,126,381
46012,"Winnipeg North/Winnipeg-Nord"," 33","Winnipeg",3,36,0,12,71,8,1,131,412
46012,"Winnipeg North/Winnipeg-Nord"," 34","Winnipeg",0,36,1,15,67,8,1,128,381
46012,"Winnipeg North/Winnipeg-Nord"," 35","Winnipeg",1,52,0,25,161,9,0,248,735
46012,"Winnipeg North/Winnipeg-Nord"," 36","Winnipeg",3,20,0,8,48,7,1,87,352
46012,"Winnipeg North/Winnipeg-Nord"," 37","Winnipeg",2,27,0,11,58,5,0,103,360
46012,"Winnipeg North/Winnipeg-Nord"," 38","Winnipeg",0,36,1,10,46,7,0,100,343
46012,"Winnipeg North/Winnipeg-Nord"," 39","Winnipeg",0,31,0,14,88,2,1,136,408
46012,"Winnipeg North/Winnipeg-Nord"," 40","Winnipeg",2,39,1,23,70,5,0,140,487
46012,"Winnipeg North/Winnipeg-Nord"," 41","Winnipeg",2,29,0,7,41,5,3,87,351
46012,"Winnipeg North/Winnipeg-Nord"," 42","Winnipeg",0,24,0,13,37,1,1,76,319
46012,"Winnipeg North/Winnipeg-Nord"," 43","Winnipeg",2,26,0,11,61,2,0,102,389
46012,"Winnipeg North/Winnipeg-Nord"," 44","Winnipeg",0,31,0,10,38,1,0,80,328
46012,"Winnipeg North/Winnipeg-Nord"," 45","Winnipeg",0,26,0,14,48,3,0,91,328
46012,"Winnipeg North/Winnipeg-Nord"," 46","Winnipeg",0,34,0,9,56,2,1,102,363
46012,"Winnipeg North/Winnipeg-Nord"," 47","Winnipeg",5,25,0,27,73,3,1,134,390
46012,"Winnipeg North/Winnipeg-Nord"," 48","Winnipeg",2,34,0,16,54,6,1,113,369
46012,"Winnipeg North/Winnipeg-Nord"," 49","Winnipeg",1,26,1,27,44,4,0,103,461
46012,"Winnipeg North/Winnipeg-Nord"," 50","Winnipeg",5,38,0,14,72,1,4,134,348
46012,"Winnipeg North/Winnipeg-Nord"," 51","Winnipeg",1,21,0,15,52,5,1,95,343
46012,"Winnipeg North/Winnipeg-Nord"," 52","Winnipeg",4,23,1,24,72,7,1,132,345
46012,"Winnipeg North/Winnipeg-Nord"," 53","Winnipeg",2,19,0,13,46,9,1,90,355
46012,"Winnipeg North/Winnipeg-Nord"," 54","Winnipeg",0,25,0,14,80,2,2,123,349
46012,"Winnipeg North/Winnipeg-Nord"," 55","Winnipeg",0,35,0,13,73,1,0,122,363
