Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Crystelle Bourguignon,Jean-Jacques Desgranges,Daniel Elford,Mona Fortier,Lyse-Pascale Inamuco,Heidi Jensen,Marie-Chantal TaiEl Leriche,Christian Proulx,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35078,"Ottawa--Vanier/Ottawa--Vanier"," 1","Ottawa",0,2,2,72,41,39,0,5,1,162,386
35078,"Ottawa--Vanier/Ottawa--Vanier"," 2","Ottawa",0,1,1,78,35,36,0,4,1,156,371
35078,"Ottawa--Vanier/Ottawa--Vanier"," 3","Ottawa",0,4,0,114,33,48,2,5,1,207,437
35078,"Ottawa--Vanier/Ottawa--Vanier"," 4","Ottawa",0,5,1,88,28,42,0,7,1,172,384
35078,"Ottawa--Vanier/Ottawa--Vanier"," 5","Ottawa",0,5,1,57,28,67,1,5,0,164,469
35078,"Ottawa--Vanier/Ottawa--Vanier"," 6","Ottawa",1,6,0,66,31,19,0,2,4,129,302
35078,"Ottawa--Vanier/Ottawa--Vanier"," 7","Ottawa",0,5,0,76,33,33,0,3,1,151,392
35078,"Ottawa--Vanier/Ottawa--Vanier"," 8","Ottawa",0,6,1,78,39,24,0,4,1,153,396
35078,"Ottawa--Vanier/Ottawa--Vanier"," 9","Ottawa",0,5,0,52,35,34,0,6,2,134,464
35078,"Ottawa--Vanier/Ottawa--Vanier"," 10","Ottawa",0,5,0,59,39,35,1,6,4,149,385
35078,"Ottawa--Vanier/Ottawa--Vanier"," 11","Ottawa",1,9,0,58,26,32,0,6,1,133,374
35078,"Ottawa--Vanier/Ottawa--Vanier"," 12","Ottawa",0,5,1,89,34,45,0,7,1,182,456
35078,"Ottawa--Vanier/Ottawa--Vanier"," 13","Ottawa",0,1,0,72,23,30,0,7,2,135,336
35078,"Ottawa--Vanier/Ottawa--Vanier"," 14","Ottawa",0,2,1,40,21,25,0,2,0,91,351
35078,"Ottawa--Vanier/Ottawa--Vanier"," 15","Ottawa",0,4,1,65,28,41,0,10,1,150,371
35078,"Ottawa--Vanier/Ottawa--Vanier"," 16","Ottawa",0,7,0,92,33,47,2,6,1,188,601
35078,"Ottawa--Vanier/Ottawa--Vanier"," 17","Ottawa",0,2,1,73,9,43,0,4,2,134,417
35078,"Ottawa--Vanier/Ottawa--Vanier"," 18","Ottawa",0,7,0,79,35,12,1,2,4,140,483
35078,"Ottawa--Vanier/Ottawa--Vanier"," 19","Ottawa",0,12,0,73,25,45,0,5,1,161,436
35078,"Ottawa--Vanier/Ottawa--Vanier"," 20A","Ottawa",Merged with No./Fusionné avec le n°22A,,,,,,,,,,436
35078,"Ottawa--Vanier/Ottawa--Vanier"," 20B","Ottawa",Merged with No./Fusionné avec le n°22B,,,,,,,,,,461
