Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Yvan Baker,Maurice Cormier,Ashley Da silva,Geoffrey Turner,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35027,"Etobicoke Centre/Etobicoke-Centre"," 1","Toronto",66,7,16,62,0,151,331
35027,"Etobicoke Centre/Etobicoke-Centre"," 2","Toronto",109,18,16,70,4,217,397
35027,"Etobicoke Centre/Etobicoke-Centre"," 3","Toronto",57,11,14,69,0,151,341
35027,"Etobicoke Centre/Etobicoke-Centre"," 4","Toronto",44,13,18,49,0,124,362
35027,"Etobicoke Centre/Etobicoke-Centre"," 5","Toronto",87,6,21,40,3,157,582
35027,"Etobicoke Centre/Etobicoke-Centre"," 6","Toronto",60,4,7,66,2,139,383
35027,"Etobicoke Centre/Etobicoke-Centre"," 7","Toronto",85,17,21,53,2,178,457
35027,"Etobicoke Centre/Etobicoke-Centre"," 8","Toronto",69,8,13,78,1,169,432
35027,"Etobicoke Centre/Etobicoke-Centre"," 9","Toronto",76,10,20,50,1,157,544
35027,"Etobicoke Centre/Etobicoke-Centre"," 10","Toronto",59,9,22,57,0,147,471
35027,"Etobicoke Centre/Etobicoke-Centre"," 11","Toronto",71,12,22,21,6,132,503
35027,"Etobicoke Centre/Etobicoke-Centre"," 12","Toronto",73,9,14,43,0,139,405
35027,"Etobicoke Centre/Etobicoke-Centre"," 13","Toronto",48,12,20,55,1,136,418
35027,"Etobicoke Centre/Etobicoke-Centre"," 14","Toronto",66,15,20,37,6,144,484
35027,"Etobicoke Centre/Etobicoke-Centre"," 15","Toronto",58,8,12,46,2,126,415
35027,"Etobicoke Centre/Etobicoke-Centre"," 16","Toronto",70,7,15,52,1,145,464
35027,"Etobicoke Centre/Etobicoke-Centre"," 17","Toronto",72,10,18,57,0,157,434
35027,"Etobicoke Centre/Etobicoke-Centre"," 18","Toronto",17,3,8,14,1,43,213
35027,"Etobicoke Centre/Etobicoke-Centre"," 19","Toronto",129,12,17,25,2,185,639
35027,"Etobicoke Centre/Etobicoke-Centre"," 20","Toronto",67,11,21,42,1,142,408
