Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Buckley Belanger,Nasser Dean Chalifoux,Harmonie King,Stephen King,Dezirae Reddekopp,Gary Vidal,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 1","Uranium City--Camsell Portage",8,0,4,0,1,8,0,21,108
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 2","Stony Rapids",27,4,19,1,2,15,1,69,127
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 3","Black Lake",25,4,21,4,0,2,1,57,546
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 4","Black Lake",Merged with No./Fusionné avec le n°3,,,,,,,,172
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 5","Fond-du-Lac",22,2,28,1,2,3,0,58,396
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 6A","Wollaston Lake",14,0,4,0,0,0,0,18,164
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 6B","Wollaston Lake",Merged with No./Fusionné avec le n°7B,,,,,,,,242
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 7A","Wollaston Lake",Merged with No./Fusionné avec le n°6A,,,,,,,,1
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 7B","Wollaston Lake",15,0,10,0,0,5,0,30,6
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 8","Turnor Lake",62,0,34,6,5,8,1,116,382
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 9","Clearwater River",59,1,16,0,0,1,0,77,532
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 10","Kinoosao",Merged with No./Fusionné avec le n°24,,,,,,,,12
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 11","La Loche",30,0,5,1,0,0,0,36,335
