Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bill Archer,Stephen Ellis,Jillian Foster,Jody O'Blenis,Daniel Osborne,Lenore Zann,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12003,"Cumberland--Colchester/Cumberland--Colchester"," 1","Wallace Bridge",4,68,6,0,11,55,0,144,329
12003,"Cumberland--Colchester/Cumberland--Colchester"," 2","Wallace",8,73,14,2,20,60,0,177,386
12003,"Cumberland--Colchester/Cumberland--Colchester"," 3","Pugwash Point",7,53,5,0,14,54,0,133,340
12003,"Cumberland--Colchester/Cumberland--Colchester"," 4","Pugwash",Merged with No./Fusionné avec le n°3,,,,,,,,169
12003,"Cumberland--Colchester/Cumberland--Colchester"," 5","Pugwash",Merged with No./Fusionné avec le n°6A,,,,,,,,213
12003,"Cumberland--Colchester/Cumberland--Colchester"," 6A","West Pugwash",8,60,15,1,17,57,1,159,336
12003,"Cumberland--Colchester/Cumberland--Colchester"," 6B","Mobile poll/Bureau itinérant",1,7,1,2,7,5,0,23,72
12003,"Cumberland--Colchester/Cumberland--Colchester"," 7","Pugwash Junction",3,42,6,3,15,41,2,112,398
12003,"Cumberland--Colchester/Cumberland--Colchester"," 8","Malagash",11,60,9,1,18,84,1,184,406
12003,"Cumberland--Colchester/Cumberland--Colchester"," 9","Amherst Shore",2,53,8,3,7,28,0,101,325
12003,"Cumberland--Colchester/Cumberland--Colchester"," 10","Linden",14,75,15,4,18,57,1,184,445
12003,"Cumberland--Colchester/Cumberland--Colchester"," 11","Brule",11,59,2,3,17,65,2,159,461
12003,"Cumberland--Colchester/Cumberland--Colchester"," 12","Waughs River",13,59,1,0,10,29,0,112,349
12003,"Cumberland--Colchester/Cumberland--Colchester"," 13","Tatamagouche",1,37,8,1,12,40,0,99,379
12003,"Cumberland--Colchester/Cumberland--Colchester"," 14","Balfron",14,39,7,2,9,39,0,110,353
12003,"Cumberland--Colchester/Cumberland--Colchester"," 15","Tidnish",15,106,21,4,23,85,1,255,460
12003,"Cumberland--Colchester/Cumberland--Colchester"," 16","Bayhead",14,68,8,0,14,48,0,152,413
12003,"Cumberland--Colchester/Cumberland--Colchester"," 17","Amherst Head",7,51,6,2,13,30,0,109,253
12003,"Cumberland--Colchester/Cumberland--Colchester"," 18","North Earltown",8,81,3,1,24,55,0,172,392
12003,"Cumberland--Colchester/Cumberland--Colchester"," 19","West New Annan",2,48,8,0,11,28,0,97,292
12003,"Cumberland--Colchester/Cumberland--Colchester"," 20","Mount Pleasant",8,107,8,1,13,45,3,185,365
12003,"Cumberland--Colchester/Cumberland--Colchester"," 21","Victoria",Merged with No./Fusionné avec le n°20,,,,,,,,212
12003,"Cumberland--Colchester/Cumberland--Colchester"," 22","Oxford",5,62,9,4,10,37,0,127,413
12003,"Cumberland--Colchester/Cumberland--Colchester"," 23","Oxford",26,12,1,6,59,10,1,115,314
12003,"Cumberland--Colchester/Cumberland--Colchester"," 24","Oxford",Merged with No./Fusionné avec le n°23,,,,,,,,254
12003,"Cumberland--Colchester/Cumberland--Colchester"," 25","Oxford Junction",5,91,6,2,17,71,1,193,312
12003,"Cumberland--Colchester/Cumberland--Colchester"," 26","Fort Lawrence",Merged with No./Fusionné avec le n°27,,,,,,,,272
12003,"Cumberland--Colchester/Cumberland--Colchester"," 27","Hastings",18,97,9,1,29,58,0,212,303
12003,"Cumberland--Colchester/Cumberland--Colchester"," 28","East Amherst",5,57,3,1,9,31,2,108,359
12003,"Cumberland--Colchester/Cumberland--Colchester"," 29","West Amherst",7,46,7,1,15,42,1,119,412
12003,"Cumberland--Colchester/Cumberland--Colchester"," 30","Maccan",14,57,3,1,7,29,1,112,375
12003,"Cumberland--Colchester/Cumberland--Colchester"," 31","Wentworth",8,95,9,3,12,122,0,249,541
12003,"Cumberland--Colchester/Cumberland--Colchester"," 32","Hastings",4,47,4,0,20,37,2,114,337
12003,"Cumberland--Colchester/Cumberland--Colchester"," 33","Amherst",3,69,3,0,21,71,0,167,428
12003,"Cumberland--Colchester/Cumberland--Colchester"," 34","Amherst",7,62,12,1,22,65,1,170,545
12003,"Cumberland--Colchester/Cumberland--Colchester"," 35","Amherst",7,63,2,3,17,69,0,161,386
12003,"Cumberland--Colchester/Cumberland--Colchester"," 36","Amherst",12,53,2,0,16,60,2,145,418
12003,"Cumberland--Colchester/Cumberland--Colchester"," 37","Amherst",4,35,2,3,20,33,0,97,374
12003,"Cumberland--Colchester/Cumberland--Colchester"," 38","Amherst",6,52,3,2,11,44,1,119,336
12003,"Cumberland--Colchester/Cumberland--Colchester"," 39","Amherst",0,35,5,3,14,60,0,117,378
12003,"Cumberland--Colchester/Cumberland--Colchester"," 40","Amherst",12,41,8,0,24,29,0,114,414
12003,"Cumberland--Colchester/Cumberland--Colchester"," 41","Amherst",6,37,6,0,19,37,0,105,425
12003,"Cumberland--Colchester/Cumberland--Colchester"," 42","Amherst",12,42,4,0,19,53,1,131,433
12003,"Cumberland--Colchester/Cumberland--Colchester"," 43","Kemptown",6,50,1,0,16,15,0,88,184
12003,"Cumberland--Colchester/Cumberland--Colchester"," 44","Amherst",5,43,7,1,14,34,0,104,402
12003,"Cumberland--Colchester/Cumberland--Colchester"," 45","Amherst",15,48,7,0,14,44,4,132,468
12003,"Cumberland--Colchester/Cumberland--Colchester"," 46","Amherst",3,22,5,2,10,33,1,76,432
12003,"Cumberland--Colchester/Cumberland--Colchester"," 47","Amherst",7,46,5,5,8,30,1,102,419
12003,"Cumberland--Colchester/Cumberland--Colchester"," 48","Amherst",6,43,5,2,18,23,2,99,344
12003,"Cumberland--Colchester/Cumberland--Colchester"," 49","Amherst",7,33,4,3,10,40,1,98,361
12003,"Cumberland--Colchester/Cumberland--Colchester"," 50","Amherst",8,21,1,2,10,35,1,78,371
12003,"Cumberland--Colchester/Cumberland--Colchester"," 51","Amherst",5,27,2,5,12,32,0,83,330
12003,"Cumberland--Colchester/Cumberland--Colchester"," 52","Amherst",3,38,2,1,10,35,0,89,386
12003,"Cumberland--Colchester/Cumberland--Colchester"," 53","Brookdale",Merged with No./Fusionné avec le n°54,,,,,,,,255
12003,"Cumberland--Colchester/Cumberland--Colchester"," 54","Brookdale",22,125,10,2,29,77,0,265,347
12003,"Cumberland--Colchester/Cumberland--Colchester"," 55","Nappan",8,89,6,1,18,46,2,170,336
12003,"Cumberland--Colchester/Cumberland--Colchester"," 56","Upper North River",3,55,6,1,12,31,0,108,288
12003,"Cumberland--Colchester/Cumberland--Colchester"," 57","Upper North River",2,62,3,1,18,29,4,119,342
12003,"Cumberland--Colchester/Cumberland--Colchester"," 58","Onslow Mountain",8,56,1,1,18,28,0,112,315
12003,"Cumberland--Colchester/Cumberland--Colchester"," 59","North River",3,55,0,1,14,29,1,103,305
12003,"Cumberland--Colchester/Cumberland--Colchester"," 60","North River",8,63,3,0,16,48,2,140,358
12003,"Cumberland--Colchester/Cumberland--Colchester"," 61","Belmont",9,122,2,1,28,51,0,213,287
12003,"Cumberland--Colchester/Cumberland--Colchester"," 62","North River",6,52,0,0,19,41,2,120,312
