Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kevin Hardy,Lawrence MacAulay,Michael MacLean,Fred MacLeod,Wayne Phelan,Lynne Thiele,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
11001,"Cardigan/Cardigan"," 1","North Lake",4,80,8,0,48,8,2,150,294
11001,"Cardigan/Cardigan"," 2","Red Point",6,74,8,2,78,17,4,189,329
11001,"Cardigan/Cardigan"," 3","New Zealand",1,60,9,0,36,7,2,115,309
11001,"Cardigan/Cardigan"," 4","Naufrage--New Acadia--Rollo Bay",6,78,11,0,42,14,1,152,364
11001,"Cardigan/Cardigan"," 5","Chepstow",5,71,4,0,56,10,1,147,364
11001,"Cardigan/Cardigan"," 6","Souris River",0,66,6,0,33,10,5,120,318
11001,"Cardigan/Cardigan"," 7","Souris",1,42,4,1,29,9,0,86,257
11001,"Cardigan/Cardigan"," 8","Souris East",5,55,2,0,31,8,0,101,321
11001,"Cardigan/Cardigan"," 9","Souris West",6,83,14,1,49,20,3,176,349
11001,"Cardigan/Cardigan"," 10","Cable Head",14,119,7,6,58,23,0,227,422
11001,"Cardigan/Cardigan"," 11","Five Houses",11,110,8,0,48,12,0,189,372
11001,"Cardigan/Cardigan"," 12","Milburn",4,68,2,0,49,11,0,134,345
11001,"Cardigan/Cardigan"," 13","Fortune Bridge--Eglington",9,72,7,1,60,10,0,159,351
11001,"Cardigan/Cardigan"," 14","Morell",6,113,7,1,67,26,2,222,364
11001,"Cardigan/Cardigan"," 15","Green Meadows",7,67,12,0,66,16,0,168,371
11001,"Cardigan/Cardigan"," 16","Dundas",11,104,11,1,47,12,2,188,372
11001,"Cardigan/Cardigan"," 17","Savage Harbour",9,101,14,3,60,32,3,222,454
11001,"Cardigan/Cardigan"," 18","Mount Stewart",7,75,2,2,52,31,3,172,453
11001,"Cardigan/Cardigan"," 19","Scotchfort 4",0,68,5,0,0,12,2,87,162
11001,"Cardigan/Cardigan"," 20","Glenfanning",6,90,11,1,55,10,3,176,330
11001,"Cardigan/Cardigan"," 21","Cardigan--Launching Place",9,96,11,0,58,19,0,193,421
11001,"Cardigan/Cardigan"," 22","Head of Cardigan",9,69,11,0,73,15,3,180,405
11001,"Cardigan/Cardigan"," 23","New Perth",6,66,1,3,53,14,4,147,426
11001,"Cardigan/Cardigan"," 24","Tracadie Cross",11,98,7,0,42,13,0,171,344
11001,"Cardigan/Cardigan"," 25","Peakes",2,100,10,0,71,11,3,197,358
11001,"Cardigan/Cardigan"," 26","Grand Tracadie",7,154,16,2,82,43,3,307,504
11001,"Cardigan/Cardigan"," 27","Georgetown",13,92,13,0,93,29,2,242,456
11001,"Cardigan/Cardigan"," 28","Georgetown",13,98,4,5,72,13,0,205,403
11001,"Cardigan/Cardigan"," 29","Bedford Station",12,113,17,1,65,31,1,240,413
11001,"Cardigan/Cardigan"," 30","Fort Augustus",6,102,7,1,50,19,1,186,368
11001,"Cardigan/Cardigan"," 31","Glenfinnan",13,131,16,1,65,37,1,264,457
11001,"Cardigan/Cardigan"," 32","Brudenell",2,91,7,2,54,10,3,169,442
11001,"Cardigan/Cardigan"," 33","Montague",10,61,4,1,36,7,3,122,467
11001,"Cardigan/Cardigan"," 34","Montague",5,51,7,1,25,17,2,108,307
11001,"Cardigan/Cardigan"," 35","Lower Montague",13,102,7,0,70,20,1,213,464
11001,"Cardigan/Cardigan"," 36","Sturgeon",14,98,11,0,67,18,0,208,420
11001,"Cardigan/Cardigan"," 37","Brooklyn",4,73,1,0,16,36,0,130,416
11001,"Cardigan/Cardigan"," 38","Johnstons River",6,116,19,0,85,46,5,277,530
11001,"Cardigan/Cardigan"," 39","Hermitage",11,92,7,0,82,14,2,208,410
11001,"Cardigan/Cardigan"," 40","Millview",4,86,13,0,63,15,1,182,371
11001,"Cardigan/Cardigan"," 41","Montague",5,67,7,0,26,11,0,116,377
11001,"Cardigan/Cardigan"," 42","Montague",3,62,14,0,36,7,1,123,353
11001,"Cardigan/Cardigan"," 43","Victoria Cross",11,89,7,1,54,20,0,182,434
11001,"Cardigan/Cardigan"," 44","Valleyfield",4,56,4,2,39,13,1,119,335
11001,"Cardigan/Cardigan"," 45","Murray Harbour North",19,83,8,1,56,9,0,176,359
11001,"Cardigan/Cardigan"," 46","Mount Herbert",12,183,19,1,93,30,3,341,676
11001,"Cardigan/Cardigan"," 47","Stratford",3,125,13,1,61,25,0,228,558
