Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Reuben Anthony DeBoer,Nathaniel Erskine-Smith,Philip Fernandez,Jennifer Moxon,Radu Rautescu,Lisa Robinson,Alejandra Ruiz Vargas,Karen Lee Wilde,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35007,"Beaches--East York/Beaches--East York"," 104","Toronto",14,190,0,0,7,39,56,0,1,307,408
35007,"Beaches--East York/Beaches--East York"," 105","Toronto",Merged with No./Fusionné avec le n°103,,,,,,,,,,399
35007,"Beaches--East York/Beaches--East York"," 106","Toronto",Merged with No./Fusionné avec le n°121,,,,,,,,,,331
35007,"Beaches--East York/Beaches--East York"," 107","Toronto",10,79,0,0,9,40,32,0,0,170,511
35007,"Beaches--East York/Beaches--East York"," 108","Toronto",7,93,0,0,5,26,31,0,1,163,449
35007,"Beaches--East York/Beaches--East York"," 109","Toronto",3,86,0,1,2,20,31,0,0,143,353
35007,"Beaches--East York/Beaches--East York"," 110","Toronto",4,75,0,1,5,11,34,1,1,132,392
35007,"Beaches--East York/Beaches--East York"," 111","Toronto",5,90,1,0,2,5,37,0,0,140,488
35007,"Beaches--East York/Beaches--East York"," 112","Toronto",3,86,0,0,9,20,51,0,1,170,486
35007,"Beaches--East York/Beaches--East York"," 113","Toronto",3,80,0,1,5,14,30,0,0,133,451
35007,"Beaches--East York/Beaches--East York"," 114","Toronto",2,91,1,0,7,26,48,2,2,179,508
35007,"Beaches--East York/Beaches--East York"," 115","Toronto",4,119,0,2,11,26,55,2,0,219,473
35007,"Beaches--East York/Beaches--East York"," 116","Toronto",4,58,0,0,4,30,15,0,0,111,311
35007,"Beaches--East York/Beaches--East York"," 117","Toronto",3,92,0,0,4,49,23,0,0,171,449
35007,"Beaches--East York/Beaches--East York"," 118","Toronto",1,94,0,0,2,23,40,1,0,161,467
35007,"Beaches--East York/Beaches--East York"," 119","Toronto",3,73,0,0,3,18,30,1,0,128,389
35007,"Beaches--East York/Beaches--East York"," 120","Toronto",14,105,0,0,4,22,33,1,0,179,496
