Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Marilou Alarie,Michelle Corcos,Lawrence Cotton,Dany Desjardins,Vincent Duhamel,Susanne Lefebvre,Andrew Panton,Maryse Richard,Alexis Stogowski,Pascale St-Onge,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24016,"Brome--Missisquoi/Brome--Missisquoi"," 400","Magog",Merged with No./Fusionné avec le n°401,,,,,,,,,,,,17
24016,"Brome--Missisquoi/Brome--Missisquoi"," 401","Magog",49,0,3,0,13,11,0,0,0,105,15,196,63
24016,"Brome--Missisquoi/Brome--Missisquoi"," 500","Mobile poll/Bureau itinérant",13,1,1,1,6,1,1,1,1,21,1,48,141
24016,"Brome--Missisquoi/Brome--Missisquoi"," 501","Mobile poll/Bureau itinérant",28,3,0,2,12,1,0,2,0,39,4,91,113
24016,"Brome--Missisquoi/Brome--Missisquoi"," 502","Mobile poll/Bureau itinérant",11,1,0,1,5,0,1,0,1,33,3,56,95
24016,"Brome--Missisquoi/Brome--Missisquoi"," 503","Magog",Merged with No./Fusionné avec le n°401,,,,,,,,,,,,8
24016,"Brome--Missisquoi/Brome--Missisquoi"," 504","Magog",Merged with No./Fusionné avec le n°401,,,,,,,,,,,,73
24016,"Brome--Missisquoi/Brome--Missisquoi"," 505","Magog",Merged with No./Fusionné avec le n°401,,,,,,,,,,,,126
24016,"Brome--Missisquoi/Brome--Missisquoi"," 506","Mobile poll/Bureau itinérant",0,0,1,0,1,1,0,1,0,11,4,19,71
24016,"Brome--Missisquoi/Brome--Missisquoi"," 507","Mobile poll/Bureau itinérant",2,0,0,1,1,0,0,1,0,11,1,17,39
24016,"Brome--Missisquoi/Brome--Missisquoi"," 508","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°50,,,,,,,,,,,,182
24016,"Brome--Missisquoi/Brome--Missisquoi"," 509","Mobile poll/Bureau itinérant",6,0,0,0,0,1,0,1,0,7,2,17,62
24016,"Brome--Missisquoi/Brome--Missisquoi"," 510","Mobile poll/Bureau itinérant",4,0,0,0,2,0,0,1,2,8,3,20,38
24016,"Brome--Missisquoi/Brome--Missisquoi"," 511","Mobile poll/Bureau itinérant",2,0,0,0,0,0,0,1,0,12,2,17,12
24016,"Brome--Missisquoi/Brome--Missisquoi"," 512","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,,,,
24016,"Brome--Missisquoi/Brome--Missisquoi"," 513","Mobile poll/Bureau itinérant",1,0,1,0,3,0,0,1,0,8,2,16,31
24016,"Brome--Missisquoi/Brome--Missisquoi"," 514","Mobile poll/Bureau itinérant",1,0,0,0,7,1,0,1,0,30,2,42,65
24016,"Brome--Missisquoi/Brome--Missisquoi"," 515","Mobile poll/Bureau itinérant",11,1,0,0,4,0,1,0,0,32,0,49,80
24016,"Brome--Missisquoi/Brome--Missisquoi"," 516","Mobile poll/Bureau itinérant",6,0,0,1,6,0,3,1,0,7,0,24,39
24016,"Brome--Missisquoi/Brome--Missisquoi"," 517","Mobile poll/Bureau itinérant",14,1,0,1,11,0,2,2,0,49,2,82,124
24016,"Brome--Missisquoi/Brome--Missisquoi"," 518","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°142,,,,,,,,,,,,53
24016,"Brome--Missisquoi/Brome--Missisquoi"," 519","Mobile poll/Bureau itinérant",2,1,0,0,1,0,0,0,0,8,2,14,31
24016,"Brome--Missisquoi/Brome--Missisquoi"," 520","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°158,,,,,,,,,,,,15
24016,"Brome--Missisquoi/Brome--Missisquoi"," 521","Mobile poll/Bureau itinérant",9,1,0,1,7,0,0,1,2,20,3,44,56
24016,"Brome--Missisquoi/Brome--Missisquoi"," 522","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°119,,,,,,,,,,,,61
24016,"Brome--Missisquoi/Brome--Missisquoi"," 523","Farnham",Merged with No./Fusionné avec le n°128A,,,,,,,,,,,,3
24016,"Brome--Missisquoi/Brome--Missisquoi"," 524","Mobile poll/Bureau itinérant",3,0,0,0,2,0,0,2,0,10,1,18,21
24016,"Brome--Missisquoi/Brome--Missisquoi"," 525","Mobile poll/Bureau itinérant",4,0,0,0,1,0,0,1,0,1,2,9,17
24016,"Brome--Missisquoi/Brome--Missisquoi"," 526","Saint-Armand",Merged with No./Fusionné avec le n°216,,,,,,,,,,,,24
24016,"Brome--Missisquoi/Brome--Missisquoi"," 527","Bedford",Merged with No./Fusionné avec le n°200,,,,,,,,,,,,8
24016,"Brome--Missisquoi/Brome--Missisquoi"," 528","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°195,,,,,,,,,,,,39
24016,"Brome--Missisquoi/Brome--Missisquoi"," 529","Mobile poll/Bureau itinérant",2,0,0,0,2,0,0,0,0,11,4,19,31
24016,"Brome--Missisquoi/Brome--Missisquoi"," 530","Mobile poll/Bureau itinérant",4,0,0,1,1,1,1,2,1,18,4,33,48
24016,"Brome--Missisquoi/Brome--Missisquoi"," 531","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°181,,,,,,,,,,,,16
