Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Marilou Alarie,Michelle Corcos,Lawrence Cotton,Dany Desjardins,Vincent Duhamel,Susanne Lefebvre,Andrew Panton,Maryse Richard,Alexis Stogowski,Pascale St-Onge,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24016,"Brome--Missisquoi/Brome--Missisquoi"," 86B","Bromont",54,6,2,0,26,0,9,1,4,62,3,167,362
24016,"Brome--Missisquoi/Brome--Missisquoi"," 87","Bromont",61,16,2,0,41,0,14,4,4,99,2,243,565
24016,"Brome--Missisquoi/Brome--Missisquoi"," 88","Bromont",61,3,1,2,18,0,13,3,6,80,3,190,509
24016,"Brome--Missisquoi/Brome--Missisquoi"," 89","Bromont",67,12,0,0,28,0,21,0,7,49,5,189,446
24016,"Brome--Missisquoi/Brome--Missisquoi"," 90","Lac-Brome",35,11,1,0,12,1,13,3,13,93,1,183,408
24016,"Brome--Missisquoi/Brome--Missisquoi"," 91","Lac-Brome",29,3,0,1,31,2,9,0,7,80,2,164,453
24016,"Brome--Missisquoi/Brome--Missisquoi"," 92","Lac-Brome",34,4,0,0,37,0,9,0,0,60,1,145,392
24016,"Brome--Missisquoi/Brome--Missisquoi"," 93","Lac-Brome",28,5,0,0,33,0,11,3,10,89,0,179,475
24016,"Brome--Missisquoi/Brome--Missisquoi"," 94","Lac-Brome",13,1,0,1,12,0,12,3,7,60,2,111,406
24016,"Brome--Missisquoi/Brome--Missisquoi"," 95","Lac-Brome",27,8,0,0,23,0,9,1,1,77,3,149,409
24016,"Brome--Missisquoi/Brome--Missisquoi"," 96","Bolton-Ouest",31,5,0,0,19,2,14,3,3,78,0,155,312
24016,"Brome--Missisquoi/Brome--Missisquoi"," 97","Bolton-Ouest",23,4,0,0,23,0,11,2,6,78,1,148,319
24016,"Brome--Missisquoi/Brome--Missisquoi"," 98","Bolton-Est",119,10,0,0,36,2,21,7,5,85,1,286,531
24016,"Brome--Missisquoi/Brome--Missisquoi"," 99","Bolton-Est",52,12,0,1,24,1,19,6,12,64,7,198,402
24016,"Brome--Missisquoi/Brome--Missisquoi"," 100","Bromont",74,6,1,0,37,0,15,4,16,62,8,223,440
24016,"Brome--Missisquoi/Brome--Missisquoi"," 101","Bromont",96,4,1,0,30,1,15,3,5,79,3,237,390
24016,"Brome--Missisquoi/Brome--Missisquoi"," 102","Lac-Brome",35,7,0,0,38,1,14,2,3,88,3,191,489
24016,"Brome--Missisquoi/Brome--Missisquoi"," 103","Lac-Brome",13,2,2,0,15,0,10,2,9,64,1,118,327
24016,"Brome--Missisquoi/Brome--Missisquoi"," 104","Lac-Brome",19,7,0,1,19,2,12,1,9,60,6,136,383
24016,"Brome--Missisquoi/Brome--Missisquoi"," 105","Lac-Brome",34,4,0,0,30,1,15,2,10,36,0,132,397
24016,"Brome--Missisquoi/Brome--Missisquoi"," 106","Lac-Brome",20,5,0,0,24,0,14,0,11,47,1,122,322
24016,"Brome--Missisquoi/Brome--Missisquoi"," 107","Lac-Brome",37,12,0,0,31,1,27,3,7,101,5,224,454
24016,"Brome--Missisquoi/Brome--Missisquoi"," 108","Brigham",65,4,1,2,24,0,5,2,10,26,0,139,328
24016,"Brome--Missisquoi/Brome--Missisquoi"," 109","Brigham",54,2,0,0,24,1,2,4,6,29,6,128,271
24016,"Brome--Missisquoi/Brome--Missisquoi"," 110","Brigham",43,3,1,0,15,1,7,5,13,36,2,126,309
24016,"Brome--Missisquoi/Brome--Missisquoi"," 111","Brigham",54,6,1,0,17,0,18,4,5,35,7,147,331
24016,"Brome--Missisquoi/Brome--Missisquoi"," 112","Brigham",80,6,0,1,16,0,13,1,12,57,1,187,324
24016,"Brome--Missisquoi/Brome--Missisquoi"," 113","Brigham",61,14,0,1,27,3,12,1,14,43,4,180,308
24016,"Brome--Missisquoi/Brome--Missisquoi"," 114","Farnham",63,7,4,0,37,0,10,4,4,47,7,183,441
24016,"Brome--Missisquoi/Brome--Missisquoi"," 115","Farnham",61,3,1,1,25,0,7,4,5,41,7,155,449
24016,"Brome--Missisquoi/Brome--Missisquoi"," 116","Farnham",55,3,0,0,30,1,11,1,5,46,1,153,348
24016,"Brome--Missisquoi/Brome--Missisquoi"," 117","Farnham",73,4,0,0,27,1,16,5,14,48,6,194,464
24016,"Brome--Missisquoi/Brome--Missisquoi"," 118","Farnham",55,4,0,1,24,1,6,1,7,41,3,143,393
24016,"Brome--Missisquoi/Brome--Missisquoi"," 119","Farnham",21,9,0,0,7,0,6,2,13,23,3,84,313
24016,"Brome--Missisquoi/Brome--Missisquoi"," 120","Farnham",64,1,2,0,40,0,6,7,7,30,5,162,398
24016,"Brome--Missisquoi/Brome--Missisquoi"," 121","East Farnham",46,6,0,2,35,1,12,0,5,46,5,158,270
24016,"Brome--Missisquoi/Brome--Missisquoi"," 122","East Farnham",46,3,1,0,36,1,12,4,9,32,1,145,258
24016,"Brome--Missisquoi/Brome--Missisquoi"," 123","Farnham",47,3,0,0,7,1,14,1,4,31,4,112,429
24016,"Brome--Missisquoi/Brome--Missisquoi"," 124","Farnham",75,0,2,0,17,2,6,2,7,39,4,154,458
24016,"Brome--Missisquoi/Brome--Missisquoi"," 125","Farnham",61,8,0,1,21,0,15,1,15,37,3,162,544
24016,"Brome--Missisquoi/Brome--Missisquoi"," 126","Farnham",67,1,0,0,15,0,17,1,4,38,2,145,428
24016,"Brome--Missisquoi/Brome--Missisquoi"," 127","Farnham",59,6,0,0,20,0,4,2,9,39,3,142,445
24016,"Brome--Missisquoi/Brome--Missisquoi"," 128A","Farnham",30,2,1,0,18,1,6,1,11,10,0,80,335
24016,"Brome--Missisquoi/Brome--Missisquoi"," 128B","Farnham",54,3,0,1,9,0,8,1,3,34,1,114,336
24016,"Brome--Missisquoi/Brome--Missisquoi"," 129","Farnham",69,6,3,0,29,0,13,2,4,34,4,164,414
24016,"Brome--Missisquoi/Brome--Missisquoi"," 130","Farnham",60,5,1,0,17,0,9,2,5,26,7,132,436
24016,"Brome--Missisquoi/Brome--Missisquoi"," 131A","Farnham",55,3,2,0,22,0,15,1,5,44,2,149,444
24016,"Brome--Missisquoi/Brome--Missisquoi"," 131B","Farnham",45,3,0,0,13,0,18,2,2,30,3,116,434
24016,"Brome--Missisquoi/Brome--Missisquoi"," 132","Farnham",80,4,0,1,34,3,16,3,14,41,5,201,501
24016,"Brome--Missisquoi/Brome--Missisquoi"," 133","Brome",28,11,0,1,38,0,7,7,11,116,0,219,490
24016,"Brome--Missisquoi/Brome--Missisquoi"," 134A","Cowansville",55,3,0,0,27,0,14,2,2,41,8,152,433
24016,"Brome--Missisquoi/Brome--Missisquoi"," 134B","Cowansville",44,2,1,0,25,0,22,4,5,54,6,163,428
24016,"Brome--Missisquoi/Brome--Missisquoi"," 135","Cowansville",52,4,2,0,31,0,15,2,5,61,1,173,459
24016,"Brome--Missisquoi/Brome--Missisquoi"," 136","Cowansville",83,6,0,0,34,1,14,3,5,54,6,206,496
24016,"Brome--Missisquoi/Brome--Missisquoi"," 137","Cowansville",96,10,1,1,41,0,9,2,6,81,10,257,597
24016,"Brome--Missisquoi/Brome--Missisquoi"," 138","Cowansville",60,7,2,1,34,0,10,0,9,48,4,175,492
24016,"Brome--Missisquoi/Brome--Missisquoi"," 139","Cowansville",55,3,1,0,24,0,18,3,5,53,2,164,390
24016,"Brome--Missisquoi/Brome--Missisquoi"," 140","Cowansville",60,3,1,0,29,0,9,4,6,53,2,167,501
24016,"Brome--Missisquoi/Brome--Missisquoi"," 141","Cowansville",39,4,0,0,31,0,17,3,8,37,3,142,380
24016,"Brome--Missisquoi/Brome--Missisquoi"," 142","Cowansville",67,5,1,0,24,0,7,2,11,58,2,177,578
24016,"Brome--Missisquoi/Brome--Missisquoi"," 143","Cowansville",34,3,0,2,30,2,13,0,8,34,1,127,365
24016,"Brome--Missisquoi/Brome--Missisquoi"," 144","Cowansville",46,0,0,2,23,0,8,1,4,34,2,120,343
24016,"Brome--Missisquoi/Brome--Missisquoi"," 145","Cowansville",43,5,0,1,20,0,15,3,11,36,4,138,424
24016,"Brome--Missisquoi/Brome--Missisquoi"," 146","Cowansville",41,4,0,0,19,0,8,0,11,23,2,108,416
24016,"Brome--Missisquoi/Brome--Missisquoi"," 147","Cowansville",55,3,1,0,19,0,19,6,6,61,4,174,460
24016,"Brome--Missisquoi/Brome--Missisquoi"," 148","Cowansville",25,9,1,0,10,0,10,0,3,29,2,89,326
24016,"Brome--Missisquoi/Brome--Missisquoi"," 149","Cowansville",33,3,0,2,15,0,10,0,11,25,3,102,386
24016,"Brome--Missisquoi/Brome--Missisquoi"," 150","Cowansville",53,3,0,0,20,1,18,2,5,57,1,160,440
24016,"Brome--Missisquoi/Brome--Missisquoi"," 151","Cowansville",52,3,0,0,30,0,14,0,7,41,4,151,382
24016,"Brome--Missisquoi/Brome--Missisquoi"," 152","Cowansville",41,2,0,0,18,0,13,1,8,31,3,117,409
24016,"Brome--Missisquoi/Brome--Missisquoi"," 153","Cowansville",19,5,2,0,15,0,16,0,14,21,5,97,359
24016,"Brome--Missisquoi/Brome--Missisquoi"," 154","Cowansville",47,5,1,0,22,1,8,4,10,38,4,140,405
24016,"Brome--Missisquoi/Brome--Missisquoi"," 155","Cowansville",42,2,1,0,27,0,10,1,3,43,2,131,384
24016,"Brome--Missisquoi/Brome--Missisquoi"," 156A","Cowansville",74,6,1,1,32,0,16,5,8,50,0,193,461
24016,"Brome--Missisquoi/Brome--Missisquoi"," 156B","Cowansville",60,8,1,0,35,1,10,4,14,50,6,189,458
24016,"Brome--Missisquoi/Brome--Missisquoi"," 157","Cowansville",44,0,3,0,19,0,11,5,9,31,4,126,451
24016,"Brome--Missisquoi/Brome--Missisquoi"," 158","Cowansville",52,1,0,0,23,0,19,0,3,53,3,154,465
24016,"Brome--Missisquoi/Brome--Missisquoi"," 159","Dunham",51,3,1,1,36,0,12,1,3,37,2,147,401
24016,"Brome--Missisquoi/Brome--Missisquoi"," 160","Sainte-Sabine",65,2,0,0,34,0,10,2,8,46,3,170,289
24016,"Brome--Missisquoi/Brome--Missisquoi"," 161","Sainte-Sabine",73,4,0,0,38,0,14,3,5,38,5,180,302
24016,"Brome--Missisquoi/Brome--Missisquoi"," 162","Sainte-Sabine",64,0,1,0,46,0,10,2,4,32,5,164,285
24016,"Brome--Missisquoi/Brome--Missisquoi"," 163","Potton",25,3,0,0,27,0,3,3,6,44,2,113,365
24016,"Brome--Missisquoi/Brome--Missisquoi"," 164","Potton",17,1,0,1,25,0,6,0,17,33,1,101,330
24016,"Brome--Missisquoi/Brome--Missisquoi"," 165","Potton",22,3,0,0,16,0,4,0,12,16,1,74,252
24016,"Brome--Missisquoi/Brome--Missisquoi"," 166","Potton",17,2,0,1,31,0,5,0,8,42,1,107,333
24016,"Brome--Missisquoi/Brome--Missisquoi"," 167","Potton",19,6,0,0,22,0,6,3,17,28,1,102,364
24016,"Brome--Missisquoi/Brome--Missisquoi"," 168","Sutton",37,7,1,0,20,0,7,3,5,51,3,134,379
24016,"Brome--Missisquoi/Brome--Missisquoi"," 169","Sutton",35,10,0,2,9,0,8,4,4,74,0,146,404
24016,"Brome--Missisquoi/Brome--Missisquoi"," 170","Sutton",41,6,1,0,26,0,9,3,7,47,0,140,399
24016,"Brome--Missisquoi/Brome--Missisquoi"," 171","Sutton",20,6,2,0,11,0,10,5,3,53,3,113,259
24016,"Brome--Missisquoi/Brome--Missisquoi"," 172","Sutton",20,14,0,0,11,0,14,2,12,45,1,119,388
24016,"Brome--Missisquoi/Brome--Missisquoi"," 173","Sutton",26,5,2,0,23,1,15,3,6,56,1,138,423
24016,"Brome--Missisquoi/Brome--Missisquoi"," 174","Dunham",41,6,0,0,26,0,9,3,9,33,1,128,362
24016,"Brome--Missisquoi/Brome--Missisquoi"," 175","Dunham",47,7,2,0,27,0,4,3,7,36,1,134,355
24016,"Brome--Missisquoi/Brome--Missisquoi"," 176","Saint-Ignace-de-Stanbridge",43,2,0,0,45,1,13,4,5,39,3,155,274
24016,"Brome--Missisquoi/Brome--Missisquoi"," 177","Saint-Ignace-de-Stanbridge",58,1,0,0,30,0,11,4,2,25,6,137,251
24016,"Brome--Missisquoi/Brome--Missisquoi"," 178","Dunham",32,4,1,3,23,1,14,1,7,48,2,136,337
24016,"Brome--Missisquoi/Brome--Missisquoi"," 179","Dunham",47,13,1,0,22,1,12,2,14,28,0,140,439
24016,"Brome--Missisquoi/Brome--Missisquoi"," 180","Dunham",43,7,2,0,21,0,15,3,9,40,3,143,373
24016,"Brome--Missisquoi/Brome--Missisquoi"," 181","Dunham",23,8,0,1,25,1,7,1,1,48,2,117,292
24016,"Brome--Missisquoi/Brome--Missisquoi"," 182","Dunham",56,6,0,1,17,0,6,4,6,31,0,127,337
