Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Olivia Dorey,Bernadette Jordan,Rick Perkins,Thomas Trappenberg,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 512","Mobile poll/Bureau itinérant",4,5,13,0,2,24,58
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 513","Mobile poll/Bureau itinérant",1,3,3,0,0,7,31
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 514","Mobile poll/Bureau itinérant",0,1,3,2,0,6,10
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 515","Mobile poll/Bureau itinérant",0,3,0,1,0,4,10
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 516","Mobile poll/Bureau itinérant",0,5,7,0,0,12,60
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 517","Mobile poll/Bureau itinérant",2,7,14,0,0,23,62
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 600","Upper Tantallon",150,443,322,21,1,937,
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 601","Hubley",174,473,271,17,5,940,
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 602","Hatchet Lake",150,325,179,16,1,671,
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 603","Shad Bay--Terence Bay",206,382,251,32,5,876,
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 604","Indian Harbour",132,324,194,18,6,674,
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 605","Hubbards",135,352,296,29,2,814,
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 606","New Ross",42,76,142,4,2,266,
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 607","Chester",114,335,288,19,3,759,
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 608","Chester",94,212,309,18,4,637,
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 609","Lunenburg",174,467,248,17,2,908,
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 610","Mahone Bay",131,341,263,17,4,756,
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 611","New Germany",91,243,345,16,10,705,
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 612","Dayspring",100,181,242,7,4,534,
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 613","Bridgewater",136,359,377,21,3,896,
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 614","Lunenburg",97,243,185,20,4,549,
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 615","Lake Centre--New Cumberland",67,287,217,16,5,592,
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 616","Bridgewater",160,400,331,11,0,902,
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 617","Bakers Settlement",60,137,174,9,1,381,
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 618","Queens",19,94,129,5,3,250,
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 619","Middlewood",72,136,187,10,3,408,
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 620","Liverpool",84,226,346,11,8,675,
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 621","Liverpool",92,210,314,8,3,627,
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 622","Shelburne",70,205,307,15,3,600,
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 623","Sable River",39,84,179,7,2,311,
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 624","Port Clyde",47,97,416,5,1,566,
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 625","Shag Harbour",17,59,397,10,4,487,
12009,"South Shore--St. Margarets/South Shore--St. Margarets",,Group 1/Groupe 1, 106,131,127,12,20,396,152
12009,"South Shore--St. Margarets/South Shore--St. Margarets",,Group 2/Groupe 2, 257,716,656,39,25,1693,
