Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Olivia Dorey,Bernadette Jordan,Rick Perkins,Thomas Trappenberg,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 57","Lake Ramsay",18,25,67,1,1,112,279
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 58","Northwest Cove--Aspotogan",19,50,64,14,0,147,287
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 59","East River",25,52,66,6,0,149,286
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 60","East Chester",35,54,45,7,3,144,430
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 61","Chester",35,39,39,3,1,117,344
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 62","Chester Grant",51,55,60,11,1,178,482
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 63","Chester",32,36,43,5,0,116,369
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 64","Lower Grant Road--Shaw Island",37,61,66,2,0,166,407
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 65","Chester Basin--Borgels Point",28,53,42,2,0,125,407
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 66","Robinsons Corner",14,47,50,6,3,120,367
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 67","Chester",14,40,41,3,1,99,301
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 68","Chester",35,54,35,6,1,131,291
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 69","Chester",26,62,52,7,1,148,420
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 70","Maplewood",27,57,62,2,1,149,410
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 71","Blandford--Bayswater",52,73,73,7,1,206,369
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 72","Gold River",26,22,58,7,0,113,383
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 73","Western Shore",27,57,74,3,1,162,378
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 74","Western Shore",41,56,74,9,1,181,371
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 75","Tancook Island",10,36,33,7,2,88,144
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 76","Barss Corner",28,54,74,5,2,163,415
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 77","Newburne",21,62,51,9,2,145,306
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 78","Martins Point--Martins River",35,46,47,7,1,136,275
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 79","Martins River",44,67,64,6,0,181,420
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 80","Clearland",37,46,38,8,2,131,383
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 81","Mahone Bay",35,58,24,6,0,123,437
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 82","Indian Point",20,76,46,4,0,146,270
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 83","North River",10,33,34,6,0,83,262
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 84","New Cornwall",41,62,75,3,1,182,413
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 85","Lilydale--Northwest",37,44,35,9,0,125,457
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 86","Lunenburg",43,59,14,0,0,116,360
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 87","Lunenburg",32,68,35,5,2,142,395
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 88","Lunenburg",33,49,21,3,0,106,328
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 89","Mahone Bay",46,67,46,3,1,163,440
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 90","Maders Cove",23,76,42,4,0,145,383
