Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ardo Dia,Emmanuel Dubourg,Michel Lavoie,Nathe Perrone,Nicholas Ponari,Michel Prairie,Ilyasa Sykes,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24015,"Bourassa/Bourassa"," 106","Montréal",26,77,1,2,22,0,5,3,136,398
24015,"Bourassa/Bourassa"," 107","Montréal",17,46,7,0,7,1,4,0,82,68
24015,"Bourassa/Bourassa"," 108","Montréal",12,100,6,1,9,0,9,3,140,396
24015,"Bourassa/Bourassa"," 109","Montréal",20,104,11,2,13,0,23,1,174,400
24015,"Bourassa/Bourassa"," 110","Montréal",23,118,4,4,15,0,7,1,172,437
24015,"Bourassa/Bourassa"," 111","Montréal",29,139,9,3,17,0,9,6,212,425
24015,"Bourassa/Bourassa"," 112","Montréal",23,126,4,2,12,0,11,2,180,406
24015,"Bourassa/Bourassa"," 113","Montréal",22,111,4,2,16,0,9,6,170,413
24015,"Bourassa/Bourassa"," 114","Montréal",20,100,7,0,11,1,14,6,159,397
24015,"Bourassa/Bourassa"," 115","Montréal",25,123,8,2,14,0,10,6,188,383
24015,"Bourassa/Bourassa"," 116","Montréal",24,101,4,2,20,0,9,7,167,413
24015,"Bourassa/Bourassa"," 117A","Montréal",22,81,5,2,6,2,7,5,130,353
24015,"Bourassa/Bourassa"," 117B","Mobile poll/Bureau itinérant",8,41,16,5,1,0,4,11,86,172
24015,"Bourassa/Bourassa"," 118","Montréal",19,124,5,0,13,0,5,3,169,366
24015,"Bourassa/Bourassa"," 119","Montréal",25,103,5,5,16,1,8,3,166,372
24015,"Bourassa/Bourassa"," 120","Montréal",31,114,5,2,23,1,22,4,202,431
24015,"Bourassa/Bourassa"," 121","Montréal",34,98,11,4,21,0,6,3,177,465
24015,"Bourassa/Bourassa"," 122","Montréal",36,85,9,3,24,0,20,7,184,392
24015,"Bourassa/Bourassa"," 123","Montréal",30,81,0,3,9,0,8,1,132,342
24015,"Bourassa/Bourassa"," 124","Montréal",6,117,8,4,4,0,12,6,157,356
24015,"Bourassa/Bourassa"," 125","Montréal",21,150,6,1,18,2,12,2,212,467
24015,"Bourassa/Bourassa"," 126","Montréal",27,145,8,1,28,0,9,0,218,474
24015,"Bourassa/Bourassa"," 127","Montréal",11,138,10,6,22,1,9,6,203,423
24015,"Bourassa/Bourassa"," 128","Montréal",21,131,3,1,21,1,22,6,206,481
24015,"Bourassa/Bourassa"," 129","Montréal",12,128,2,1,23,2,7,5,180,402
24015,"Bourassa/Bourassa"," 130A","Montréal",39,79,2,0,2,0,5,11,138,201
24015,"Bourassa/Bourassa"," 130B","Montréal",32,69,1,5,3,0,6,12,128,201
24015,"Bourassa/Bourassa"," 130C","Montréal",Merged with No./Fusionné avec le n°107,,,,,,,,,64
24015,"Bourassa/Bourassa"," 131","Montréal",31,84,9,7,23,0,15,2,171,429
24015,"Bourassa/Bourassa"," 132","Montréal",17,122,4,4,16,0,9,4,176,449
24015,"Bourassa/Bourassa"," 133","Montréal",12,107,4,3,16,0,2,6,150,455
24015,"Bourassa/Bourassa"," 134","Montréal",18,182,12,6,26,1,13,5,263,599
24015,"Bourassa/Bourassa"," 135","Montréal",32,92,1,2,16,0,19,5,167,343
24015,"Bourassa/Bourassa"," 136","Montréal",7,85,7,5,15,0,6,2,127,360
24015,"Bourassa/Bourassa"," 137","Montréal",57,49,0,2,19,0,4,2,133,332
24015,"Bourassa/Bourassa"," 138","Montréal",49,98,1,7,12,2,17,9,195,410
24015,"Bourassa/Bourassa"," 139","Montréal",43,107,4,12,18,1,5,3,193,411
24015,"Bourassa/Bourassa"," 140","Montréal",64,62,5,3,18,1,10,12,175,359
24015,"Bourassa/Bourassa"," 141","Montréal",34,73,4,4,12,1,23,6,157,364
24015,"Bourassa/Bourassa"," 142","Montréal",24,72,3,1,18,1,8,2,129,297
24015,"Bourassa/Bourassa"," 143","Montréal",32,55,0,3,27,0,4,3,124,335
24015,"Bourassa/Bourassa"," 144","Montréal",21,104,13,5,14,1,19,7,184,390
24015,"Bourassa/Bourassa"," 145","Montréal",26,63,3,3,14,2,4,3,118,367
24015,"Bourassa/Bourassa"," 146","Montréal",19,153,8,1,13,0,27,24,245,497
24015,"Bourassa/Bourassa"," 147","Montréal",18,103,6,3,20,0,11,4,165,438
24015,"Bourassa/Bourassa"," 148","Montréal",49,66,5,9,29,1,11,6,176,480
24015,"Bourassa/Bourassa"," 149","Montréal",57,53,2,7,19,2,14,2,156,412
24015,"Bourassa/Bourassa"," 150","Montréal",29,83,3,4,22,2,3,7,153,380
24015,"Bourassa/Bourassa"," 151","Montréal",38,45,3,5,16,2,7,6,122,311
24015,"Bourassa/Bourassa"," 152","Montréal",23,70,0,3,27,0,3,1,127,374
24015,"Bourassa/Bourassa"," 153","Montréal",24,60,2,2,23,0,7,3,121,338
24015,"Bourassa/Bourassa"," 154","Montréal",38,57,9,3,11,2,6,2,128,290
24015,"Bourassa/Bourassa"," 155","Montréal",51,66,9,10,18,0,4,8,166,439
24015,"Bourassa/Bourassa"," 156","Montréal",42,105,8,6,28,0,15,2,206,464
24015,"Bourassa/Bourassa"," 157","Montréal",74,89,1,6,20,0,11,2,203,451
24015,"Bourassa/Bourassa"," 158","Montréal",39,105,7,2,16,1,10,4,184,388
24015,"Bourassa/Bourassa"," 159","Montréal",40,125,1,7,27,3,13,5,221,438
24015,"Bourassa/Bourassa"," 160","Montréal",51,113,6,4,31,1,16,7,229,432
24015,"Bourassa/Bourassa"," 161","Montréal",30,46,4,4,10,0,8,3,105,284
24015,"Bourassa/Bourassa"," 162","Montréal",48,81,5,5,26,3,8,5,181,415
24015,"Bourassa/Bourassa"," 163","Montréal",28,93,6,6,16,0,15,1,165,353
24015,"Bourassa/Bourassa"," 164","Montréal",62,85,6,2,25,1,13,6,200,391
24015,"Bourassa/Bourassa"," 165","Montréal",27,123,7,1,35,0,17,3,213,403
24015,"Bourassa/Bourassa"," 166","Montréal",30,101,7,8,28,0,13,7,194,491
24015,"Bourassa/Bourassa"," 400","Mobile poll/Bureau itinérant",13,42,2,0,2,0,2,4,65,150
24015,"Bourassa/Bourassa"," 401","Mobile poll/Bureau itinérant",33,110,1,2,4,1,16,6,173,235
24015,"Bourassa/Bourassa"," 500","Mobile poll/Bureau itinérant",6,15,2,0,0,0,1,1,25,89
24015,"Bourassa/Bourassa"," 501","Mobile poll/Bureau itinérant",0,9,0,0,0,0,1,0,10,13
24015,"Bourassa/Bourassa"," 502","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°48,,,,,,,,,7
24015,"Bourassa/Bourassa"," 503","Mobile poll/Bureau itinérant",2,21,0,0,0,1,2,0,26,66
24015,"Bourassa/Bourassa"," 504","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°115,,,,,,,,,14
24015,"Bourassa/Bourassa"," 505","Mobile poll/Bureau itinérant",Results combined with no. 105/Résultats combinés au n° 105,,,,,,,,,24
24015,"Bourassa/Bourassa"," 506","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°160,,,,,,,,,10
24015,"Bourassa/Bourassa"," 507","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°161,,,,,,,,,13
24015,"Bourassa/Bourassa"," 508","Montréal",Merged with No./Fusionné avec le n°166,,,,,,,,,3
24015,"Bourassa/Bourassa"," 509","Montréal",Merged with No./Fusionné avec le n°166,,,,,,,,,3
24015,"Bourassa/Bourassa"," 510","Mobile poll/Bureau itinérant",44,97,5,1,3,2,10,9,171,144
24015,"Bourassa/Bourassa"," 511","Mobile poll/Bureau itinérant",11,59,2,0,3,1,5,7,88,285
24015,"Bourassa/Bourassa"," 512","Montréal",Merged with No./Fusionné avec le n°107,,,,,,,,,90
24015,"Bourassa/Bourassa"," 513","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°56,,,,,,,,,18
24015,"Bourassa/Bourassa"," 514","Mobile poll/Bureau itinérant",5,28,1,0,0,0,3,5,42,133
24015,"Bourassa/Bourassa"," 515","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°36,,,,,,,,,19
24015,"Bourassa/Bourassa"," 516A","Mobile poll/Bureau itinérant",15,20,1,2,3,0,1,0,42,96
24015,"Bourassa/Bourassa"," 516B","Mobile poll/Bureau itinérant",18,27,0,0,2,0,3,0,50,111
24015,"Bourassa/Bourassa"," 517","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°87,,,,,,,,,13
24015,"Bourassa/Bourassa"," 518","Mobile poll/Bureau itinérant",14,33,0,0,2,0,5,3,57,93
24015,"Bourassa/Bourassa"," 600","Montréal",233,376,24,16,24,2,79,13,767,
24015,"Bourassa/Bourassa"," 601","Montréal",161,493,24,13,35,5,46,32,809,
24015,"Bourassa/Bourassa"," 602","Montréal",133,458,30,10,31,10,49,37,758,
24015,"Bourassa/Bourassa"," 603","Montréal",102,559,37,8,36,3,58,16,819,
24015,"Bourassa/Bourassa"," 604","Montréal",193,599,33,8,43,3,68,23,970,
24015,"Bourassa/Bourassa"," 605","Montréal",142,409,24,20,30,7,48,14,694,
24015,"Bourassa/Bourassa"," 606","Montréal",166,367,23,32,11,4,57,19,679,
24015,"Bourassa/Bourassa"," 607","Montréal",99,309,22,5,38,0,46,15,534,
24015,"Bourassa/Bourassa"," 608","Montréal",144,445,29,13,45,0,58,13,747,
24015,"Bourassa/Bourassa"," 609","Montréal",273,458,19,7,61,4,77,18,917,
24015,"Bourassa/Bourassa"," 610","Montréal",457,595,34,28,133,3,72,33,1355,
24015,"Bourassa/Bourassa"," 611","Montréal",323,497,38,17,96,6,70,22,1069,
24015,"Bourassa/Bourassa",,Group 1/Groupe 1, 36,100,8,6,20,1,13,32,216,99
24015,"Bourassa/Bourassa",,Group 2/Groupe 2, 226,418,11,15,61,4,55,49,839,
