Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Daniel Blaikie,Rejeanne Caron,Jamie Cumming,Devlin Hinchey,Sara Mirwaldt,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46005,"Elmwood--Transcona/Elmwood--Transcona"," 1A","Winnipeg",57,41,3,7,28,4,140,253
46005,"Elmwood--Transcona/Elmwood--Transcona"," 1B","Winnipeg",56,69,8,1,51,3,188,376
46005,"Elmwood--Transcona/Elmwood--Transcona"," 2","Winnipeg",101,51,7,9,34,1,203,429
46005,"Elmwood--Transcona/Elmwood--Transcona"," 3","Winnipeg",99,54,2,9,29,1,194,394
46005,"Elmwood--Transcona/Elmwood--Transcona"," 4","Winnipeg",126,69,6,7,35,4,247,448
46005,"Elmwood--Transcona/Elmwood--Transcona"," 5","Winnipeg",78,34,9,5,28,0,154,415
46005,"Elmwood--Transcona/Elmwood--Transcona"," 6","Winnipeg",84,42,5,7,10,1,149,465
46005,"Elmwood--Transcona/Elmwood--Transcona"," 7","Winnipeg",72,36,5,5,11,0,129,472
46005,"Elmwood--Transcona/Elmwood--Transcona"," 8","Winnipeg",80,33,8,2,19,1,143,370
46005,"Elmwood--Transcona/Elmwood--Transcona"," 9","Winnipeg",70,35,7,5,8,0,125,417
46005,"Elmwood--Transcona/Elmwood--Transcona"," 10","Winnipeg",72,33,9,3,17,0,134,376
46005,"Elmwood--Transcona/Elmwood--Transcona"," 11","Winnipeg",66,40,4,3,24,1,138,387
46005,"Elmwood--Transcona/Elmwood--Transcona"," 12","Winnipeg",63,41,6,2,12,0,124,362
46005,"Elmwood--Transcona/Elmwood--Transcona"," 13","Winnipeg",85,57,12,0,13,1,168,442
46005,"Elmwood--Transcona/Elmwood--Transcona"," 14","Winnipeg",78,59,7,6,24,0,174,437
46005,"Elmwood--Transcona/Elmwood--Transcona"," 15","Winnipeg",80,46,8,3,18,1,156,418
46005,"Elmwood--Transcona/Elmwood--Transcona"," 16","Winnipeg",70,48,9,2,13,0,142,374
46005,"Elmwood--Transcona/Elmwood--Transcona"," 17","Winnipeg",72,36,5,1,16,0,130,382
46005,"Elmwood--Transcona/Elmwood--Transcona"," 18","Winnipeg",68,44,13,5,22,2,154,384
46005,"Elmwood--Transcona/Elmwood--Transcona"," 19","Winnipeg",83,38,6,4,24,0,155,426
46005,"Elmwood--Transcona/Elmwood--Transcona"," 20","Winnipeg",95,35,9,4,19,1,163,485
46005,"Elmwood--Transcona/Elmwood--Transcona"," 21","Winnipeg",66,33,10,0,14,3,126,355
46005,"Elmwood--Transcona/Elmwood--Transcona"," 22","Winnipeg",91,36,14,2,22,0,165,471
46005,"Elmwood--Transcona/Elmwood--Transcona"," 23","Winnipeg",99,23,9,10,39,0,180,409
46005,"Elmwood--Transcona/Elmwood--Transcona"," 24","Winnipeg",69,59,13,5,20,1,167,351
46005,"Elmwood--Transcona/Elmwood--Transcona"," 25","Winnipeg",63,30,6,4,12,3,118,269
46005,"Elmwood--Transcona/Elmwood--Transcona"," 26","Winnipeg",97,47,0,2,23,2,171,387
46005,"Elmwood--Transcona/Elmwood--Transcona"," 27","Winnipeg",73,40,8,1,23,2,147,298
46005,"Elmwood--Transcona/Elmwood--Transcona"," 28","Winnipeg",51,51,6,11,33,0,152,430
46005,"Elmwood--Transcona/Elmwood--Transcona"," 29","Winnipeg",58,41,6,3,26,0,134,415
46005,"Elmwood--Transcona/Elmwood--Transcona"," 30","Winnipeg",50,52,3,2,25,0,132,415
46005,"Elmwood--Transcona/Elmwood--Transcona"," 31","Winnipeg",94,46,11,2,33,1,187,483
46005,"Elmwood--Transcona/Elmwood--Transcona"," 32","Winnipeg",69,33,4,2,31,2,141,335
46005,"Elmwood--Transcona/Elmwood--Transcona"," 33","Winnipeg",77,41,7,3,39,1,168,399
46005,"Elmwood--Transcona/Elmwood--Transcona"," 34","Winnipeg",74,34,8,1,21,0,138,322
46005,"Elmwood--Transcona/Elmwood--Transcona"," 35","Winnipeg",54,37,0,0,20,0,111,291
46005,"Elmwood--Transcona/Elmwood--Transcona"," 36","Winnipeg",84,39,7,3,32,0,165,381
46005,"Elmwood--Transcona/Elmwood--Transcona"," 37","Winnipeg",155,76,35,6,55,0,327,431
46005,"Elmwood--Transcona/Elmwood--Transcona"," 38","Winnipeg",73,14,7,3,33,2,132,374
46005,"Elmwood--Transcona/Elmwood--Transcona"," 39","Winnipeg",Merged with No./Fusionné avec le n°37,,,,,,,373
46005,"Elmwood--Transcona/Elmwood--Transcona"," 40","Winnipeg",61,27,9,3,34,0,134,434
46005,"Elmwood--Transcona/Elmwood--Transcona"," 41","Winnipeg",91,36,17,4,22,1,171,405
46005,"Elmwood--Transcona/Elmwood--Transcona"," 42","Winnipeg",102,34,9,10,18,1,174,408
46005,"Elmwood--Transcona/Elmwood--Transcona"," 43","Winnipeg",Merged with No./Fusionné avec le n°44,,,,,,,406
46005,"Elmwood--Transcona/Elmwood--Transcona"," 44","Winnipeg",210,67,31,6,40,4,358,431
46005,"Elmwood--Transcona/Elmwood--Transcona"," 45","Winnipeg",71,87,6,3,17,0,184,425
46005,"Elmwood--Transcona/Elmwood--Transcona"," 46","Winnipeg",58,40,5,2,20,0,125,372
46005,"Elmwood--Transcona/Elmwood--Transcona"," 47","Winnipeg",74,53,9,3,19,0,158,398
46005,"Elmwood--Transcona/Elmwood--Transcona"," 48","Winnipeg",Merged with No./Fusionné avec le n°49,,,,,,,295
46005,"Elmwood--Transcona/Elmwood--Transcona"," 49","Winnipeg",98,68,11,4,35,2,218,327
46005,"Elmwood--Transcona/Elmwood--Transcona"," 50","Winnipeg",88,50,9,4,49,0,200,390
46005,"Elmwood--Transcona/Elmwood--Transcona"," 51","Winnipeg",146,99,27,2,31,1,306,371
46005,"Elmwood--Transcona/Elmwood--Transcona"," 52","Winnipeg",Merged with No./Fusionné avec le n°51,,,,,,,331
