Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Anjali Appadurai,Kailin Che,Damian Jewett,Taleeb Noormohamed,Imtiaz Popat,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59036,"Vancouver Granville/Vancouver Granville"," 1","Vancouver",56,19,3,26,8,0,112,474
59036,"Vancouver Granville/Vancouver Granville"," 2","Vancouver",60,29,2,47,9,2,149,409
59036,"Vancouver Granville/Vancouver Granville"," 3","Vancouver",86,26,3,45,8,1,169,459
59036,"Vancouver Granville/Vancouver Granville"," 4","Vancouver",52,24,6,61,9,0,152,392
59036,"Vancouver Granville/Vancouver Granville"," 5","Vancouver",59,21,4,54,5,0,143,447
59036,"Vancouver Granville/Vancouver Granville"," 6","Vancouver",73,21,6,39,4,2,145,415
59036,"Vancouver Granville/Vancouver Granville"," 7","Vancouver",63,32,4,56,3,0,158,473
59036,"Vancouver Granville/Vancouver Granville"," 8","Vancouver",65,20,3,45,6,0,139,413
59036,"Vancouver Granville/Vancouver Granville"," 9","Vancouver",74,41,2,90,10,1,218,516
59036,"Vancouver Granville/Vancouver Granville"," 10","Vancouver",65,58,11,81,5,0,220,597
59036,"Vancouver Granville/Vancouver Granville"," 11","Vancouver",57,60,3,68,9,1,198,549
59036,"Vancouver Granville/Vancouver Granville"," 12","Vancouver",43,27,3,54,9,0,136,481
59036,"Vancouver Granville/Vancouver Granville"," 13","Vancouver",74,62,9,64,3,0,212,510
59036,"Vancouver Granville/Vancouver Granville"," 14","Vancouver",37,26,1,59,4,0,127,481
59036,"Vancouver Granville/Vancouver Granville"," 15","Vancouver",37,18,7,45,3,0,110,379
59036,"Vancouver Granville/Vancouver Granville"," 16","Vancouver",60,24,2,60,7,0,153,478
59036,"Vancouver Granville/Vancouver Granville"," 17","Vancouver",59,39,4,52,10,0,164,434
59036,"Vancouver Granville/Vancouver Granville"," 18","Vancouver",88,13,6,35,8,0,150,442
59036,"Vancouver Granville/Vancouver Granville"," 19","Vancouver",68,45,2,73,7,0,195,478
59036,"Vancouver Granville/Vancouver Granville"," 20","Vancouver",85,49,2,63,6,1,206,537
59036,"Vancouver Granville/Vancouver Granville"," 21","Vancouver",87,27,3,58,7,0,182,504
59036,"Vancouver Granville/Vancouver Granville"," 22","Vancouver",63,14,6,41,6,0,130,368
59036,"Vancouver Granville/Vancouver Granville"," 23","Vancouver",70,25,3,47,2,2,149,427
59036,"Vancouver Granville/Vancouver Granville"," 24","Vancouver",62,19,3,47,2,1,134,397
59036,"Vancouver Granville/Vancouver Granville"," 25","Vancouver",54,17,2,39,5,0,117,349
59036,"Vancouver Granville/Vancouver Granville"," 26","Vancouver",62,20,3,37,3,0,125,395
59036,"Vancouver Granville/Vancouver Granville"," 27","Vancouver",61,33,6,56,4,0,160,393
59036,"Vancouver Granville/Vancouver Granville"," 28","Vancouver",87,12,2,47,6,1,155,437
59036,"Vancouver Granville/Vancouver Granville"," 29","Vancouver",44,12,0,41,6,1,104,460
59036,"Vancouver Granville/Vancouver Granville"," 30","Vancouver",70,15,2,34,7,1,129,391
59036,"Vancouver Granville/Vancouver Granville"," 31","Vancouver",32,33,1,48,3,0,117,426
59036,"Vancouver Granville/Vancouver Granville"," 32","Vancouver",36,16,0,34,1,1,88,339
59036,"Vancouver Granville/Vancouver Granville"," 33","Vancouver",35,19,5,43,1,0,103,366
59036,"Vancouver Granville/Vancouver Granville"," 34","Vancouver",65,16,0,32,7,0,120,392
59036,"Vancouver Granville/Vancouver Granville"," 35","Vancouver",80,14,7,45,7,2,155,486
59036,"Vancouver Granville/Vancouver Granville"," 36","Vancouver",67,27,4,43,9,1,151,414
59036,"Vancouver Granville/Vancouver Granville"," 37","Vancouver",93,16,6,36,5,0,156,416
59036,"Vancouver Granville/Vancouver Granville"," 38","Vancouver",86,35,3,55,7,0,186,469
59036,"Vancouver Granville/Vancouver Granville"," 39","Vancouver",78,18,6,57,3,0,162,414
59036,"Vancouver Granville/Vancouver Granville"," 40","Vancouver",82,37,3,59,10,1,192,454
59036,"Vancouver Granville/Vancouver Granville"," 41","Vancouver",42,35,0,43,6,0,126,374
59036,"Vancouver Granville/Vancouver Granville"," 42","Vancouver",64,26,0,50,12,0,152,420
59036,"Vancouver Granville/Vancouver Granville"," 43","Vancouver",81,32,4,26,6,0,149,449
59036,"Vancouver Granville/Vancouver Granville"," 44","Vancouver",86,32,0,63,6,0,187,449
59036,"Vancouver Granville/Vancouver Granville"," 45","Vancouver",75,40,1,64,7,1,188,490
59036,"Vancouver Granville/Vancouver Granville"," 46","Vancouver",Void/Supprimé,,,,,,,
59036,"Vancouver Granville/Vancouver Granville"," 47","Vancouver",46,21,3,53,2,0,125,403
59036,"Vancouver Granville/Vancouver Granville"," 48","Vancouver",59,12,5,36,8,0,120,364
59036,"Vancouver Granville/Vancouver Granville"," 49","Vancouver",88,21,5,44,5,0,163,473
59036,"Vancouver Granville/Vancouver Granville"," 50","Vancouver",54,26,2,45,2,0,129,355
59036,"Vancouver Granville/Vancouver Granville"," 51","Vancouver",50,27,1,57,2,1,138,469
59036,"Vancouver Granville/Vancouver Granville"," 52","Vancouver",64,24,3,53,5,0,149,385
59036,"Vancouver Granville/Vancouver Granville"," 53","Vancouver",49,10,1,48,5,0,113,380
59036,"Vancouver Granville/Vancouver Granville"," 54","Vancouver",58,29,3,55,5,0,150,467
59036,"Vancouver Granville/Vancouver Granville"," 55","Vancouver",55,34,9,62,3,0,163,493
59036,"Vancouver Granville/Vancouver Granville"," 56","Vancouver",54,29,1,43,3,0,130,403
59036,"Vancouver Granville/Vancouver Granville"," 57","Vancouver",29,16,3,43,4,0,95,409
59036,"Vancouver Granville/Vancouver Granville"," 58","Vancouver",57,28,5,29,8,0,127,390
59036,"Vancouver Granville/Vancouver Granville"," 59","Vancouver",54,14,2,41,5,0,116,423
59036,"Vancouver Granville/Vancouver Granville"," 60","Vancouver",75,12,5,39,9,0,140,392
59036,"Vancouver Granville/Vancouver Granville"," 61","Vancouver",77,22,5,46,5,0,155,500
59036,"Vancouver Granville/Vancouver Granville"," 62","Vancouver",53,27,1,44,3,1,129,459
59036,"Vancouver Granville/Vancouver Granville"," 63","Vancouver",64,16,1,39,5,1,126,433
59036,"Vancouver Granville/Vancouver Granville"," 64","Vancouver",53,28,7,47,2,0,137,539
59036,"Vancouver Granville/Vancouver Granville"," 65","Vancouver",61,16,3,22,6,0,108,374
59036,"Vancouver Granville/Vancouver Granville"," 66","Vancouver",77,29,4,29,9,0,148,439
59036,"Vancouver Granville/Vancouver Granville"," 67","Vancouver",60,26,5,48,4,1,144,535
