Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Parm Bains,Kenny Chiu,Françoise Raunet,Jennifer Singh,Jack Trovato,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 1A","Richmond",106,88,5,5,64,6,274,653
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 1B","Richmond",100,58,5,4,50,1,218,504
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 2","Richmond",59,33,0,12,13,1,118,303
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 3","Richmond",86,52,4,0,36,1,179,472
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 4","Richmond",70,37,5,3,16,2,133,337
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 5","Richmond",65,27,3,1,20,0,116,338
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 6","Richmond",47,15,3,6,27,2,100,307
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 7","Richmond",38,31,2,1,21,1,94,294
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 8","Richmond",64,34,3,5,15,2,123,358
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 9","Richmond",63,29,2,8,19,1,122,364
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 10","Richmond",34,30,1,0,15,4,84,322
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 11","Richmond",49,51,3,1,29,2,135,444
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 12","Richmond",42,26,3,1,29,0,101,439
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 13","Richmond",54,60,1,5,37,0,157,497
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 14","Richmond",53,32,0,2,15,4,106,430
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 15","Richmond",71,25,0,1,30,0,127,425
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 16","Richmond",82,34,2,1,44,1,164,557
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 17","Richmond",82,26,1,1,21,2,133,385
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 18","Richmond",37,24,1,1,17,0,80,519
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 19","Richmond",25,20,3,5,15,0,68,506
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 20","Richmond",72,34,6,5,28,3,148,541
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 21","Richmond",40,29,3,4,23,2,101,416
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 22","Richmond",44,28,1,1,13,0,87,411
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 23","Richmond",48,49,3,3,14,3,120,552
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 24","Richmond",33,26,2,1,33,0,95,356
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 25","Richmond",52,30,2,4,42,1,131,422
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 26","Richmond",65,28,0,9,34,0,136,456
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 27","Richmond",52,43,4,4,24,1,128,467
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 28","Richmond",68,38,1,3,17,0,127,460
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 29","Richmond",32,36,3,5,13,1,90,301
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 30","Richmond",53,51,0,1,23,1,129,530
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 31","Richmond",52,50,0,0,16,1,119,486
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 32","Richmond",59,35,2,0,8,0,104,382
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 33","Richmond",31,12,1,6,5,1,56,339
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 34","Richmond",24,19,0,2,6,0,51,275
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 35","Richmond",52,48,6,2,18,0,126,834
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 36","Richmond",31,26,4,4,19,0,84,458
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 37","Richmond",38,23,4,3,23,1,92,414
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 38","Richmond",79,51,4,3,38,2,177,650
