Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Han Dong,Bruce Griffin,Jay Sobel,Natalie Telfer,Sabrina Zuniga,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35020,"Don Valley North/Don Valley-Nord"," 433","Toronto",97,25,9,1,22,0,154,325
35020,"Don Valley North/Don Valley-Nord"," 434","Toronto",Merged with No./Fusionné avec le n°421,,,,,,,290
35020,"Don Valley North/Don Valley-Nord"," 435","Toronto",86,21,7,4,48,1,167,298
35020,"Don Valley North/Don Valley-Nord"," 436","Toronto",146,31,5,3,72,2,259,512
35020,"Don Valley North/Don Valley-Nord"," 437","Toronto",Merged with No./Fusionné avec le n°119,,,,,,,155
35020,"Don Valley North/Don Valley-Nord"," 438","Toronto",109,23,6,3,48,1,190,301
35020,"Don Valley North/Don Valley-Nord"," 439","Toronto",84,32,4,1,47,0,168,306
35020,"Don Valley North/Don Valley-Nord"," 440A","Toronto",Merged with No./Fusionné avec le n°438,,,,,,,62
35020,"Don Valley North/Don Valley-Nord"," 440B","Toronto",Merged with No./Fusionné avec le n°439,,,,,,,63
35020,"Don Valley North/Don Valley-Nord"," 441","Toronto",Merged with No./Fusionné avec le n°117,,,,,,,283
35020,"Don Valley North/Don Valley-Nord"," 442","Toronto",Merged with No./Fusionné avec le n°123,,,,,,,275
35020,"Don Valley North/Don Valley-Nord"," 443","Toronto",87,20,9,3,57,1,177,415
35020,"Don Valley North/Don Valley-Nord"," 444","Toronto",Merged with No./Fusionné avec le n°93,,,,,,,399
35020,"Don Valley North/Don Valley-Nord"," 445","Toronto",Merged with No./Fusionné avec le n°107,,,,,,,158
35020,"Don Valley North/Don Valley-Nord"," 446","Toronto",Merged with No./Fusionné avec le n°447,,,,,,,323
35020,"Don Valley North/Don Valley-Nord"," 447","Toronto",164,37,8,6,82,1,298,381
35020,"Don Valley North/Don Valley-Nord"," 448","Toronto",167,33,15,8,87,1,311,409
