Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Shaun Chen,Sheraz Khan,Christina Love,David Moore,Fazal Shah,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35096,"Scarborough North/Scarborough-Nord"," 59","Toronto",Merged with No./Fusionné avec le n°58,,,,,,,446
35096,"Scarborough North/Scarborough-Nord"," 60","Toronto",Merged with No./Fusionné avec le n°61,,,,,,,335
35096,"Scarborough North/Scarborough-Nord"," 61","Toronto",151,1,20,5,25,0,202,417
35096,"Scarborough North/Scarborough-Nord"," 62","Toronto",103,1,27,10,36,2,179,552
35096,"Scarborough North/Scarborough-Nord"," 63","Toronto",Merged with No./Fusionné avec le n°62,,,,,,,285
35096,"Scarborough North/Scarborough-Nord"," 64","Toronto",Merged with No./Fusionné avec le n°41,,,,,,,349
35096,"Scarborough North/Scarborough-Nord"," 65","Toronto",91,0,24,4,27,2,148,454
35096,"Scarborough North/Scarborough-Nord"," 66","Toronto",Merged with No./Fusionné avec le n°65,,,,,,,411
35096,"Scarborough North/Scarborough-Nord"," 67","Toronto",100,0,16,2,56,10,184,445
35096,"Scarborough North/Scarborough-Nord"," 68","Toronto",Merged with No./Fusionné avec le n°67,,,,,,,343
35096,"Scarborough North/Scarborough-Nord"," 69","Toronto",112,3,31,5,45,0,196,505
35096,"Scarborough North/Scarborough-Nord"," 70","Toronto",Merged with No./Fusionné avec le n°69,,,,,,,378
35096,"Scarborough North/Scarborough-Nord"," 71","Toronto",Merged with No./Fusionné avec le n°76,,,,,,,313
35096,"Scarborough North/Scarborough-Nord"," 72","Toronto",Merged with No./Fusionné avec le n°77,,,,,,,374
35096,"Scarborough North/Scarborough-Nord"," 73","Toronto",108,0,21,4,30,1,164,393
35096,"Scarborough North/Scarborough-Nord"," 74","Toronto",Merged with No./Fusionné avec le n°75,,,,,,,355
35096,"Scarborough North/Scarborough-Nord"," 75","Toronto",68,1,18,2,30,0,119,466
35096,"Scarborough North/Scarborough-Nord"," 76","Toronto",78,6,17,3,40,0,144,383
35096,"Scarborough North/Scarborough-Nord"," 77","Toronto",93,0,16,1,20,1,131,476
35096,"Scarborough North/Scarborough-Nord"," 78","Toronto",Merged with No./Fusionné avec le n°73,,,,,,,312
35096,"Scarborough North/Scarborough-Nord"," 79","Toronto",188,2,33,6,56,1,286,537
35096,"Scarborough North/Scarborough-Nord"," 80","Toronto",Merged with No./Fusionné avec le n°79,,,,,,,440
35096,"Scarborough North/Scarborough-Nord"," 81","Toronto",133,8,24,8,71,0,244,428
35096,"Scarborough North/Scarborough-Nord"," 82","Toronto",163,6,22,4,55,2,252,496
35096,"Scarborough North/Scarborough-Nord"," 83","Toronto",Merged with No./Fusionné avec le n°82,,,,,,,382
35096,"Scarborough North/Scarborough-Nord"," 84","Toronto",Merged with No./Fusionné avec le n°87,,,,,,,301
35096,"Scarborough North/Scarborough-Nord"," 85","Toronto",157,1,33,9,33,7,240,450
35096,"Scarborough North/Scarborough-Nord"," 86","Toronto",Merged with No./Fusionné avec le n°85,,,,,,,443
35096,"Scarborough North/Scarborough-Nord"," 87","Toronto",177,5,26,4,41,3,256,577
35096,"Scarborough North/Scarborough-Nord"," 88","Toronto",132,1,36,8,51,1,229,475
35096,"Scarborough North/Scarborough-Nord"," 89","Toronto",Merged with No./Fusionné avec le n°88,,,,,,,314
35096,"Scarborough North/Scarborough-Nord"," 90","Toronto",208,2,41,3,38,0,292,497
35096,"Scarborough North/Scarborough-Nord"," 91","Toronto",162,4,36,8,37,3,250,494
35096,"Scarborough North/Scarborough-Nord"," 92","Toronto",Merged with No./Fusionné avec le n°91,,,,,,,423
35096,"Scarborough North/Scarborough-Nord"," 93","Toronto",Merged with No./Fusionné avec le n°94,,,,,,,426
35096,"Scarborough North/Scarborough-Nord"," 94","Toronto",175,9,28,6,32,3,253,482
35096,"Scarborough North/Scarborough-Nord"," 95","Toronto",Merged with No./Fusionné avec le n°90,,,,,,,364
35096,"Scarborough North/Scarborough-Nord"," 96","Toronto",Merged with No./Fusionné avec le n°97,,,,,,,457
35096,"Scarborough North/Scarborough-Nord"," 97","Toronto",201,1,39,6,27,1,275,479
35096,"Scarborough North/Scarborough-Nord"," 98","Toronto",Merged with No./Fusionné avec le n°99,,,,,,,399
35096,"Scarborough North/Scarborough-Nord"," 99","Toronto",147,9,15,4,34,0,209,448
35096,"Scarborough North/Scarborough-Nord"," 100","Toronto",104,7,33,7,49,3,203,514
35096,"Scarborough North/Scarborough-Nord"," 101","Toronto",Merged with No./Fusionné avec le n°100,,,,,,,371
35096,"Scarborough North/Scarborough-Nord"," 102","Toronto",Merged with No./Fusionné avec le n°103,,,,,,,359
35096,"Scarborough North/Scarborough-Nord"," 103","Toronto",147,4,33,9,43,0,236,408
35096,"Scarborough North/Scarborough-Nord"," 104","Toronto",Merged with No./Fusionné avec le n°105,,,,,,,355
35096,"Scarborough North/Scarborough-Nord"," 105","Toronto",131,4,29,7,43,0,214,413
35096,"Scarborough North/Scarborough-Nord"," 106","Toronto",Merged with No./Fusionné avec le n°132,,,,,,,378
35096,"Scarborough North/Scarborough-Nord"," 107","Toronto",Merged with No./Fusionné avec le n°109,,,,,,,386
35096,"Scarborough North/Scarborough-Nord"," 108","Toronto",175,4,45,9,63,9,305,549
35096,"Scarborough North/Scarborough-Nord"," 109","Toronto",140,1,43,14,56,2,256,428
35096,"Scarborough North/Scarborough-Nord"," 110","Toronto",145,2,33,6,47,1,234,519
35096,"Scarborough North/Scarborough-Nord"," 111","Toronto",144,1,35,6,37,0,223,398
35096,"Scarborough North/Scarborough-Nord"," 112","Toronto",Merged with No./Fusionné avec le n°110,,,,,,,333
35096,"Scarborough North/Scarborough-Nord"," 113","Toronto",Merged with No./Fusionné avec le n°117,,,,,,,314
35096,"Scarborough North/Scarborough-Nord"," 114","Toronto",Merged with No./Fusionné avec le n°81,,,,,,,428
35096,"Scarborough North/Scarborough-Nord"," 115","Toronto",123,1,28,8,45,1,206,382
35096,"Scarborough North/Scarborough-Nord"," 116","Toronto",Merged with No./Fusionné avec le n°115,,,,,,,356
35096,"Scarborough North/Scarborough-Nord"," 117","Toronto",107,0,27,1,41,0,176,340
35096,"Scarborough North/Scarborough-Nord"," 118","Toronto",155,4,48,9,47,1,264,448
35096,"Scarborough North/Scarborough-Nord"," 119","Toronto",Merged with No./Fusionné avec le n°108,,,,,,,506
35096,"Scarborough North/Scarborough-Nord"," 120","Toronto",Merged with No./Fusionné avec le n°118,,,,,,,416
35096,"Scarborough North/Scarborough-Nord"," 121","Toronto",143,4,32,11,37,1,228,471
35096,"Scarborough North/Scarborough-Nord"," 122","Toronto",Merged with No./Fusionné avec le n°121,,,,,,,308
35096,"Scarborough North/Scarborough-Nord"," 123","Toronto",Merged with No./Fusionné avec le n°111,,,,,,,387
35096,"Scarborough North/Scarborough-Nord"," 124","Toronto",145,3,27,6,19,0,200,378
35096,"Scarborough North/Scarborough-Nord"," 125","Toronto",Merged with No./Fusionné avec le n°124,,,,,,,321
35096,"Scarborough North/Scarborough-Nord"," 126","Toronto",Merged with No./Fusionné avec le n°127,,,,,,,344
