Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Maxime Blanchette-Joncas,Noémi Bureau-Civil,France Gagnon,Megan Hodges,Léonie Lajoie,Sylvain Lajoie,Michel Raymond,Jean Tardy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 1","Rimouski",70,4,23,1,29,13,1,6,3,150,448
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 2","Rimouski",80,6,11,2,27,18,1,1,8,154,433
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 3","Rimouski",82,9,24,0,36,12,1,2,4,170,406
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 4","Rimouski",80,12,19,2,36,21,1,1,2,174,462
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 5","Rimouski",81,2,24,1,43,17,0,8,3,179,470
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 6","Rimouski",96,3,20,1,26,14,0,3,2,165,458
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 7","Rimouski",56,7,12,0,28,9,2,3,6,123,375
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 8","Rimouski",72,3,12,0,27,11,0,2,3,130,343
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 9A","Rimouski",78,12,11,3,28,22,0,1,1,156,326
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 9B","Rimouski",63,8,11,1,25,14,1,1,1,125,298
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 10","Rimouski",75,5,9,0,38,14,1,2,2,146,403
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 11","Rimouski",81,3,23,1,40,14,1,3,2,168,464
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 12","Rimouski",67,11,15,0,45,15,1,3,3,160,398
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 13","Rimouski",91,9,20,3,32,13,0,2,3,173,347
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 14","Saint-Anaclet-de-Lessard",79,3,12,3,26,9,0,1,2,135,266
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 15","Saint-Anaclet-de-Lessard",75,5,9,0,22,8,2,1,3,125,248
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 16","Saint-Anaclet-de-Lessard",66,2,16,0,27,11,0,2,1,125,260
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 17","Saint-Anaclet-de-Lessard",106,6,25,0,32,11,1,6,3,190,399
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 18","Saint-Anaclet-de-Lessard",85,1,23,0,22,11,2,0,4,148,308
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 19","Saint-Anaclet-de-Lessard",83,9,18,3,31,9,1,1,1,156,319
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 20","Saint-Anaclet-de-Lessard",68,6,14,0,26,9,2,3,2,130,256
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 21","Saint-Anaclet-de-Lessard",90,2,11,0,13,3,1,9,1,130,313
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 22","Rimouski",111,9,22,1,46,13,0,5,4,211,418
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 23","Rimouski",123,5,30,1,50,22,1,7,5,244,569
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 24","Rimouski",133,8,24,0,47,14,4,7,5,242,545
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 25","Rimouski",40,3,15,1,29,10,2,7,3,110,353
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 26","Rimouski",78,8,10,2,25,19,1,3,6,152,342
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 27","Rimouski",77,11,12,3,37,11,3,2,3,159,394
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 28","Rimouski",62,9,13,0,30,15,1,3,0,133,401
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 29","Rimouski",85,9,14,3,36,32,1,2,2,184,559
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 30A","Rimouski",52,5,19,0,28,20,0,3,2,129,296
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 30B","Rimouski",65,1,23,0,19,11,0,3,0,122,326
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 31","Rimouski",42,7,10,1,29,22,4,0,0,115,458
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 32","Rimouski",37,18,5,0,54,11,0,0,15,140,332
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 33","Rimouski",71,8,24,0,85,3,4,0,13,208,371
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 34","Rimouski",68,16,7,1,34,17,1,3,4,151,427
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 35","Rimouski",58,4,19,0,36,13,0,3,2,135,423
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 36","Rimouski",101,0,27,0,40,15,0,2,0,185,491
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 37","Rimouski",99,8,30,0,43,10,3,1,8,202,486
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 38","Rimouski",116,8,19,2,55,17,0,1,7,225,566
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 39","Rimouski",94,3,23,1,67,16,0,4,6,214,545
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 40","Rimouski",82,4,16,0,48,8,2,1,6,167,481
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 41","Rimouski",84,8,15,0,61,22,0,3,4,197,485
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 42","Rimouski",55,12,15,1,31,20,1,9,2,146,407
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 43","Rimouski",45,18,9,3,28,24,1,0,4,132,392
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 44","Rimouski",26,3,9,1,16,13,1,1,3,73,218
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 45","Rimouski",42,13,13,2,18,26,2,2,2,120,406
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 46","Rimouski",49,17,7,3,14,26,0,4,3,123,386
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 47","Rimouski",44,5,9,1,9,19,1,4,1,93,311
