Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jude Bazelais,Anju Dhillon,Cloé Rose Jenneau,Laura Mariani,Fabiola Ngamaleu Teumeni,Michael Patterson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 112","Montréal",17,99,12,0,10,7,0,145,359
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 113","Montréal",20,47,27,1,14,8,0,117,433
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 114","Montréal",12,84,11,7,12,3,1,130,480
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 115","Montréal",24,66,30,5,26,8,2,161,486
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 116","Montréal",6,48,4,6,11,10,3,88,361
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 117","Montréal",20,46,36,3,27,8,3,143,378
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 118","Montréal",21,45,45,12,29,6,5,163,406
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 119","Montréal",18,75,28,10,27,15,0,173,521
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 120","Montréal",42,108,36,11,26,11,1,235,607
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 121","Montréal",6,71,40,5,17,8,2,149,441
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 122","Montréal",18,57,17,4,23,11,1,131,384
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 123","Dorval",24,88,9,1,23,3,0,148,359
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 124","Dorval",26,82,14,3,15,4,1,145,430
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 125","Dorval",19,42,10,1,19,8,1,100,356
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 126","Dorval",33,77,18,4,30,6,0,168,430
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 127A","Dorval",7,47,4,1,3,4,1,67,82
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 127B","Dorval",14,52,7,4,24,1,0,102,344
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 128","Dorval",34,81,12,4,16,6,2,155,415
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 129","Dorval",11,69,9,6,22,3,1,121,423
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 130","Dorval",21,77,4,4,34,3,0,143,465
