Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jude Bazelais,Anju Dhillon,Cloé Rose Jenneau,Laura Mariani,Fabiola Ngamaleu Teumeni,Michael Patterson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 18","Montréal",16,61,31,2,32,10,5,157,398
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 19","Montréal",13,44,19,2,12,4,4,98,315
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 20","Montréal",16,46,35,5,13,8,2,125,320
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 21","Montréal",8,62,19,9,17,7,3,125,362
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 22","Montréal",22,64,42,5,28,7,4,172,390
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 23","Montréal",23,75,35,6,27,7,1,174,407
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 24","Montréal",18,73,51,3,25,4,2,176,415
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 25","Montréal",22,110,49,8,26,4,3,222,474
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 26","Montréal",25,87,46,9,34,3,2,206,371
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 27","Montréal",27,80,42,11,36,3,4,203,439
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 28","Montréal",15,71,17,5,27,3,0,138,378
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 29","Montréal",11,92,13,5,24,8,3,156,468
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 30","Montréal",11,95,5,1,18,4,3,137,352
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 31","Montréal",16,113,16,2,26,10,0,183,383
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 32","Montréal",18,91,7,2,21,3,0,142,379
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 33","Montréal",7,84,6,4,20,6,3,130,310
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 34","Montréal",28,134,11,4,24,11,2,214,422
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 35","Montréal",13,108,19,7,16,8,2,173,361
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 36","Montréal",20,87,9,4,18,6,1,145,362
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 37","Montréal",7,94,17,2,20,10,0,150,361
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 38","Montréal",11,121,8,3,21,3,3,170,371
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 39","Montréal",15,134,12,2,11,13,4,191,349
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 40","Dorval",17,73,10,6,19,14,1,140,366
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 41","Dorval",8,63,2,10,36,3,2,124,328
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 42","Dorval",20,107,15,4,28,8,0,182,449
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 43","Dorval",21,70,7,1,26,1,1,127,390
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 44","Dorval",19,68,10,9,24,12,0,142,403
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 45","Dorval",19,86,12,2,46,10,1,176,439
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 46","Dorval",20,70,12,3,30,7,4,146,397
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 47","Montréal",12,89,14,2,15,11,4,147,429
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 48","Montréal",18,88,6,5,13,7,4,141,352
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 49","Montréal",27,97,10,4,14,12,2,166,421
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 50","Montréal",23,104,16,1,22,9,1,176,430
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 51","Montréal",18,134,11,2,15,8,3,191,464
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 52","Montréal",20,108,6,5,9,10,1,159,344
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 53","Montréal",16,95,10,1,20,6,2,150,347
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 54","Montréal",25,115,11,9,20,9,5,194,477
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 55","Montréal",11,97,13,4,21,2,3,151,391
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 56","Montréal",16,152,7,1,33,15,1,225,431
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 57","Montréal",19,71,31,7,19,6,6,159,325
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 58","Montréal",19,75,29,2,19,13,5,162,408
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 59","Montréal",11,68,31,6,18,8,2,144,364
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 60","Montréal",19,63,38,4,24,17,2,167,457
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 61","Montréal",21,86,31,3,36,5,2,184,489
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 62","Montréal",20,60,44,3,17,12,2,158,374
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 63","Montréal",11,35,29,4,19,10,3,111,358
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 64","Montréal",8,61,30,6,14,5,1,125,321
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 65","Montréal",8,49,38,4,17,5,6,127,327
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 66","Montréal",11,54,15,0,22,7,1,110,324
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 67","Montréal",9,62,15,2,15,3,1,107,362
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 68","Montréal",8,58,17,3,5,6,1,98,407
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 69","Montréal",10,39,48,3,17,6,1,124,294
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 70A","Montréal",28,66,29,4,19,4,1,151,368
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 70B","Montréal",30,87,16,3,19,3,2,160,361
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 71","Montréal",15,86,27,6,24,7,2,167,415
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 72","Montréal",10,40,36,7,17,13,5,128,388
