Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ronald Angus Barron,Jaime Battiste,Nikki Boisvert,Mark Embrett,Eddie Orrell,Jeff Ward,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12010,"Sydney--Victoria/Sydney--Victoria"," 1","St. Margaret Village",10,57,1,2,22,16,0,108,320
12010,"Sydney--Victoria/Sydney--Victoria"," 2","Neils Harbour",4,39,0,1,52,23,0,119,246
12010,"Sydney--Victoria/Sydney--Victoria"," 3","Cape North",15,59,0,2,61,20,0,157,478
12010,"Sydney--Victoria/Sydney--Victoria"," 4","White Point",1,21,0,0,23,6,1,52,138
12010,"Sydney--Victoria/Sydney--Victoria"," 5","Ingonish",12,94,4,3,108,39,1,261,521
12010,"Sydney--Victoria/Sydney--Victoria"," 6","Pleasant Bay",6,20,0,0,12,5,0,43,138
12010,"Sydney--Victoria/Sydney--Victoria"," 7","Ingonish Beach",8,68,0,2,81,16,9,184,325
12010,"Sydney--Victoria/Sydney--Victoria"," 8","Little River",7,59,2,4,51,20,2,145,306
12010,"Sydney--Victoria/Sydney--Victoria"," 9","Cape Breton",5,40,0,2,43,25,1,116,410
12010,"Sydney--Victoria/Sydney--Victoria"," 10","Cape Breton",6,54,0,4,76,39,2,181,371
12010,"Sydney--Victoria/Sydney--Victoria"," 11","Cape Breton",6,47,1,0,52,27,1,134,358
12010,"Sydney--Victoria/Sydney--Victoria"," 12","Cape Breton",11,54,0,4,58,27,3,157,420
12010,"Sydney--Victoria/Sydney--Victoria"," 13","Cape Breton",7,40,0,3,54,47,2,153,393
12010,"Sydney--Victoria/Sydney--Victoria"," 14","Cape Breton",4,33,1,2,35,26,0,101,338
12010,"Sydney--Victoria/Sydney--Victoria"," 15","Cape Breton",4,53,0,3,60,35,2,157,397
12010,"Sydney--Victoria/Sydney--Victoria"," 16","Cape Breton",10,53,1,1,39,22,0,126,399
12010,"Sydney--Victoria/Sydney--Victoria"," 17","Cape Breton",6,31,0,2,21,29,1,90,303
12010,"Sydney--Victoria/Sydney--Victoria"," 18","Cape Breton",12,68,0,1,40,37,1,159,428
12010,"Sydney--Victoria/Sydney--Victoria"," 19","Cape Breton",11,65,0,2,40,32,4,154,405
12010,"Sydney--Victoria/Sydney--Victoria"," 20","Cape Breton",5,32,1,3,44,25,1,111,357
12010,"Sydney--Victoria/Sydney--Victoria"," 21","Cape Breton",7,59,0,0,41,37,1,145,390
12010,"Sydney--Victoria/Sydney--Victoria"," 22","Cape Breton",1,33,0,3,31,17,1,86,304
12010,"Sydney--Victoria/Sydney--Victoria"," 23","Cape Breton",3,36,0,0,32,19,1,91,303
12010,"Sydney--Victoria/Sydney--Victoria"," 24","Alder Point",7,32,0,1,90,20,3,153,338
12010,"Sydney--Victoria/Sydney--Victoria"," 25","Little Bras d'Or South Side",11,40,0,1,62,13,4,131,291
12010,"Sydney--Victoria/Sydney--Victoria"," 26","Cape Breton",3,31,0,2,69,32,1,138,380
12010,"Sydney--Victoria/Sydney--Victoria"," 27","Cape Breton",8,46,0,1,50,14,0,119,345
12010,"Sydney--Victoria/Sydney--Victoria"," 28","Cape Breton",13,37,0,0,84,28,3,165,483
12010,"Sydney--Victoria/Sydney--Victoria"," 29","Cape Breton",5,31,0,2,46,34,3,121,368
12010,"Sydney--Victoria/Sydney--Victoria"," 30","Cape Breton",8,29,0,3,74,17,0,131,412
12010,"Sydney--Victoria/Sydney--Victoria"," 31","Point Aconi",9,30,0,1,56,10,1,107,314
12010,"Sydney--Victoria/Sydney--Victoria"," 32","Mill Creek",5,23,0,2,36,12,0,78,206
12010,"Sydney--Victoria/Sydney--Victoria"," 33","Little Bras d'Or",9,42,1,2,44,34,2,134,342
12010,"Sydney--Victoria/Sydney--Victoria"," 34","Cape Breton",6,51,1,0,57,20,0,135,293
12010,"Sydney--Victoria/Sydney--Victoria"," 35","New Victoria",3,45,2,0,31,35,4,120,299
12010,"Sydney--Victoria/Sydney--Victoria"," 36","Victoria Mines",9,39,0,0,43,35,3,129,295
12010,"Sydney--Victoria/Sydney--Victoria"," 37","Scotchtown",3,30,1,1,18,29,1,83,259
12010,"Sydney--Victoria/Sydney--Victoria"," 38","Scotchtown",0,44,0,0,41,26,2,113,365
12010,"Sydney--Victoria/Sydney--Victoria"," 39","Scotchtown",5,42,0,2,57,27,0,133,381
12010,"Sydney--Victoria/Sydney--Victoria"," 40","River Ryan",2,42,0,0,56,24,1,125,274
12010,"Sydney--Victoria/Sydney--Victoria"," 41","River Ryan",4,41,1,0,54,28,1,129,370
12010,"Sydney--Victoria/Sydney--Victoria"," 42","Florence",2,30,2,3,31,27,0,95,273
12010,"Sydney--Victoria/Sydney--Victoria"," 43","Florence",6,30,0,1,43,14,0,94,292
12010,"Sydney--Victoria/Sydney--Victoria"," 44","Florence",6,43,0,0,46,16,5,116,356
12010,"Sydney--Victoria/Sydney--Victoria"," 45","Bras d'Or",5,34,1,1,42,19,2,104,276
12010,"Sydney--Victoria/Sydney--Victoria"," 46","Florence",3,24,2,1,42,24,1,97,285
12010,"Sydney--Victoria/Sydney--Victoria"," 47","Englishtown",7,32,1,1,15,13,0,69,181
12010,"Sydney--Victoria/Sydney--Victoria"," 48","Cape Breton",12,63,0,1,61,24,2,163,413
12010,"Sydney--Victoria/Sydney--Victoria"," 49","Cape Breton",6,56,0,3,61,33,0,159,474
12010,"Sydney--Victoria/Sydney--Victoria"," 50","Cape Breton",6,41,0,0,80,27,8,162,422
12010,"Sydney--Victoria/Sydney--Victoria"," 51","Cape Breton",9,49,2,1,98,15,5,179,431
12010,"Sydney--Victoria/Sydney--Victoria"," 52","Cape Breton",11,52,0,4,69,28,1,165,406
