Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Darren Fisher,Michelle Lindsay,Kevin Payne,Rana Zaman,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 1","Halifax",131,33,50,4,6,224,463
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 2","Halifax",105,24,68,3,0,200,454
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 3","Halifax",121,33,46,4,6,210,433
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 4","Halifax",151,27,70,9,0,257,502
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 5","Halifax",113,24,34,7,1,179,398
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 6","Halifax",55,15,51,8,0,129,394
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 7","Halifax",58,17,49,0,0,124,336
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 8","Halifax",63,14,45,4,1,127,343
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 9","Halifax",73,26,75,3,2,179,387
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 10","Halifax",90,13,51,6,1,161,415
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 11","Halifax",97,14,75,5,0,191,544
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 12","Halifax",75,16,40,3,6,140,437
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 13","Halifax",58,15,36,5,1,115,342
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 14","Halifax",84,18,50,3,1,156,392
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 15","Halifax",61,23,43,5,1,133,346
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 16","Halifax",57,14,28,3,1,103,308
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 17","Halifax",62,9,60,4,3,138,353
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 18","Halifax",63,14,43,9,2,131,368
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 19","Halifax",41,14,63,4,3,125,352
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 20","Halifax",48,24,60,4,0,136,399
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 21","Halifax",122,22,46,2,1,193,448
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 22","Halifax",134,20,45,2,2,203,440
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 23","Halifax",73,11,45,5,0,134,371
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 24","Halifax",79,18,57,3,5,162,398
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 25","Halifax",92,14,34,4,1,145,387
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 26","Halifax",52,12,59,5,1,129,428
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 27","Halifax",79,20,38,9,0,146,322
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 28","Halifax",91,21,52,11,3,178,427
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 29","Halifax",96,8,38,8,4,154,380
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 30","Halifax",92,27,63,11,4,197,476
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 31","Halifax",61,10,44,2,3,120,399
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 32","Halifax",39,16,73,2,2,132,388
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 33","Halifax",29,9,32,4,1,75,398
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 34","Halifax",71,17,62,2,3,155,396
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 35","Halifax",59,22,47,8,4,140,401
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 36","Halifax",56,22,60,6,2,146,517
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 37","Halifax",64,19,64,7,1,155,420
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 38","Halifax",23,11,44,5,1,84,381
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 39","Halifax",36,15,71,7,0,129,415
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 40","Halifax",46,17,76,2,2,143,495
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 41","Halifax",30,18,70,4,4,126,399
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 42","Halifax",47,22,71,2,0,142,488
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 43","Halifax",58,22,42,2,3,127,364
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 44","Halifax",39,12,59,5,1,116,344
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 45","Halifax",52,10,57,4,6,129,351
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 46","Halifax",69,31,60,10,3,173,465
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 47","Halifax",81,10,55,5,3,154,530
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 48","Halifax",84,24,67,5,0,180,549
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 49","Halifax",63,26,51,4,4,148,453
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 50","Halifax",57,11,40,1,0,109,362
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 51","Halifax",59,10,34,6,0,109,351
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 52","Halifax",56,9,40,0,1,106,337
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 53","Halifax",78,25,58,6,3,170,337
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 54","Halifax",93,10,70,1,0,174,391
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 55","Halifax",72,14,60,3,0,149,411
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 56","Halifax",60,23,86,4,0,173,465
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 57","Halifax",61,7,46,2,0,116,345
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 58","Halifax",89,25,67,2,0,183,481
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 59","Halifax",66,9,28,4,0,107,392
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 60","Halifax",96,18,61,7,0,182,414
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 61","Halifax",68,15,33,2,1,119,407
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 62","Halifax",82,12,57,5,2,158,360
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 63","Halifax",69,23,69,1,2,164,382
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 64","Halifax",69,17,47,4,1,138,350
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 65","Halifax",64,10,66,5,3,148,340
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 66","Halifax",56,26,63,1,1,147,346
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 67","Halifax",75,23,56,6,1,161,449
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 68","Halifax",112,19,56,2,7,196,609
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 69","Halifax",37,13,21,0,1,72,215
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 70","Halifax",46,17,62,5,0,130,479
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 71","Halifax",102,18,45,5,3,173,541
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 72","Halifax",84,16,49,4,0,153,437
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 73","Halifax",32,11,41,3,2,89,444
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 74","Halifax",27,11,39,3,0,80,426
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 75","Halifax",20,7,22,2,1,52,375
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 76","Halifax",28,9,30,1,1,69,393
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 77","Halifax",20,17,53,2,0,92,404
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 78","Halifax",63,15,35,2,6,121,356
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 79","Halifax",62,13,37,4,0,116,316
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 80","Halifax",77,11,48,1,0,137,345
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 81","Halifax",83,21,60,4,2,170,402
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 82","Halifax",93,15,38,2,2,150,360
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 83","Halifax",102,19,55,7,5,188,393
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 84","Halifax",81,16,65,5,2,169,355
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 85","Halifax",94,19,52,6,0,171,367
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 86","Halifax",56,11,45,4,0,116,384
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 87","Halifax",71,14,57,6,1,149,616
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 88","Halifax",71,6,48,3,0,128,596
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 89","Halifax",53,10,45,2,2,112,403
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 90","Halifax",100,5,28,7,1,141,402
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 91","Halifax",94,10,50,8,1,163,469
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 92","Halifax",101,14,59,7,2,183,458
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 93","Halifax",72,11,74,2,0,159,446
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 94","Halifax",79,23,60,5,2,169,480
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 95","Halifax",128,14,58,6,2,208,481
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 96","Halifax",89,20,43,3,1,156,438
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 97","Halifax",88,18,41,2,6,155,460
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 98","Halifax",102,20,57,8,1,188,456
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 99","Halifax",93,27,51,4,4,179,455
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 100","Halifax",110,21,54,5,0,190,377
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 101","Halifax",96,15,59,4,3,177,389
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 102","Halifax",94,12,48,4,0,158,398
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 103","Halifax",58,20,28,6,7,119,306
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 104","Halifax",98,16,67,7,2,190,442
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 105","Halifax",134,13,58,3,5,213,543
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 106","Halifax",95,17,40,9,0,161,429
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 107","Halifax",59,29,60,4,0,152,448
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 108","Halifax",37,13,31,5,0,86,276
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 109","Halifax",48,9,51,3,0,111,320
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 110","Halifax",84,12,47,4,3,150,329
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 111","Halifax",74,6,33,5,0,118,329
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 112","Halifax",109,9,63,10,4,195,417
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 113","Halifax",75,13,80,6,2,176,396
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 114","Halifax",124,15,125,10,3,277,451
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 115","Halifax",135,22,56,8,3,224,444
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 116","Halifax",126,27,50,3,7,213,437
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 117","Halifax",118,30,29,4,4,185,559
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 118","Halifax",119,19,61,12,3,214,514
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 119","Halifax",105,13,34,3,6,161,479
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 120","Halifax",84,13,38,4,0,139,402
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 121","Halifax",65,12,38,6,3,124,326
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 122","Halifax",63,19,69,3,2,156,374
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 123","Halifax",65,23,43,2,0,133,344
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 124","Halifax",60,2,36,3,0,101,348
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 125","Halifax",42,9,30,0,1,82,287
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 126","Halifax",71,8,48,2,1,130,370
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 127","Halifax",60,15,60,1,0,136,394
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 128","Halifax",63,15,55,4,1,138,382
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 129","Halifax",77,45,63,4,1,190,543
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 130","Halifax",110,24,51,3,3,191,417
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 131","Halifax",76,15,42,9,0,142,367
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 132A","Halifax",34,10,11,3,1,59,246
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 132B","Mobile poll/Bureau itinérant",9,6,1,0,1,17,14
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 133","Halifax",138,23,53,14,7,235,715
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 134","Halifax",107,18,33,7,2,167,477
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 135","Halifax",61,7,22,2,0,92,297
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 136","Halifax",94,11,27,6,0,138,263
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 137","Halifax",105,34,95,3,1,238,617
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 138","Halifax",66,18,59,1,1,145,349
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 139","Halifax",63,36,90,7,2,198,554
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 140","Halifax",69,19,52,9,0,149,522
