Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Pascal Bapfou Vozang Siewe,Micheline Boucher Granger,Pierre Duval,Yvelie Kernizan,Naomie Mathieu Chauvette,Monique Pauzé,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24060,"Repentigny/Repentigny"," 1","L'Assomption",18,3,3,30,13,81,0,148,376
24060,"Repentigny/Repentigny"," 2","L'Assomption",16,3,8,29,12,102,6,176,460
24060,"Repentigny/Repentigny"," 3","L'Assomption",16,2,11,39,15,68,1,152,362
24060,"Repentigny/Repentigny"," 4","L'Assomption",20,0,10,42,22,90,0,184,557
24060,"Repentigny/Repentigny"," 5","L'Assomption",25,3,21,52,25,115,9,250,552
24060,"Repentigny/Repentigny"," 6","L'Assomption",19,2,11,50,26,133,9,250,550
24060,"Repentigny/Repentigny"," 7","L'Assomption",17,3,11,47,19,105,11,213,464
24060,"Repentigny/Repentigny"," 8","L'Assomption",19,1,4,31,18,73,2,148,422
24060,"Repentigny/Repentigny"," 9","L'Assomption",8,2,0,25,5,70,3,113,322
24060,"Repentigny/Repentigny"," 10","L'Assomption",21,2,11,60,20,123,6,243,500
24060,"Repentigny/Repentigny"," 11","L'Assomption",23,0,7,47,25,156,9,267,535
24060,"Repentigny/Repentigny"," 12","L'Assomption",24,3,9,52,33,95,12,228,478
24060,"Repentigny/Repentigny"," 13","L'Assomption",27,0,6,48,32,113,4,230,475
24060,"Repentigny/Repentigny"," 14","L'Assomption",16,4,14,41,19,112,5,211,457
24060,"Repentigny/Repentigny"," 15","L'Assomption",13,3,4,39,20,97,8,184,400
24060,"Repentigny/Repentigny"," 16","L'Assomption",25,0,7,40,20,117,5,214,458
24060,"Repentigny/Repentigny"," 17","L'Assomption",15,0,4,34,17,77,5,152,370
24060,"Repentigny/Repentigny"," 18","L'Assomption",10,3,5,27,10,91,3,149,373
24060,"Repentigny/Repentigny"," 19","L'Assomption",12,1,2,40,23,75,3,156,359
24060,"Repentigny/Repentigny"," 20","L'Assomption",8,1,6,33,16,66,0,130,373
24060,"Repentigny/Repentigny"," 21","L'Assomption",11,1,4,49,14,111,3,193,432
24060,"Repentigny/Repentigny"," 22","Saint-Sulpice",18,2,5,23,6,65,8,127,281
24060,"Repentigny/Repentigny"," 23","Saint-Sulpice",8,3,6,27,23,75,5,147,294
24060,"Repentigny/Repentigny"," 24","Saint-Sulpice",10,0,7,20,12,59,7,115,266
24060,"Repentigny/Repentigny"," 25","Saint-Sulpice",8,4,1,17,5,62,5,102,225
24060,"Repentigny/Repentigny"," 26","Saint-Sulpice",15,1,1,18,14,78,2,129,292
24060,"Repentigny/Repentigny"," 27","Saint-Sulpice",13,0,4,28,12,62,3,122,291
24060,"Repentigny/Repentigny"," 28","Saint-Sulpice",12,1,1,15,8,56,1,94,242
24060,"Repentigny/Repentigny"," 29","Saint-Sulpice",7,1,4,21,17,86,5,141,366
24060,"Repentigny/Repentigny"," 30","Saint-Sulpice",32,3,2,49,15,96,4,201,492
24060,"Repentigny/Repentigny"," 31","L'Assomption",11,0,7,57,22,58,2,157,398
24060,"Repentigny/Repentigny"," 32","L'Assomption",10,2,4,27,14,62,4,123,339
24060,"Repentigny/Repentigny"," 33","L'Assomption",17,1,3,41,9,95,5,171,360
24060,"Repentigny/Repentigny"," 34","L'Assomption",27,0,7,37,7,106,3,187,393
24060,"Repentigny/Repentigny"," 35","L'Assomption",8,0,1,16,18,99,4,146,437
24060,"Repentigny/Repentigny"," 36","L'Assomption",5,3,2,16,21,62,4,113,390
24060,"Repentigny/Repentigny"," 37","L'Assomption",25,2,7,51,20,123,3,231,577
24060,"Repentigny/Repentigny"," 38","L'Assomption",4,0,4,17,23,59,4,111,347
24060,"Repentigny/Repentigny"," 39","L'Assomption",9,0,2,13,5,35,2,66,309
24060,"Repentigny/Repentigny"," 40","L'Assomption",10,3,3,15,11,71,0,113,374
24060,"Repentigny/Repentigny"," 41","L'Assomption",6,0,2,14,8,41,1,72,329
24060,"Repentigny/Repentigny"," 42","L'Assomption",25,0,1,33,10,75,0,144,311
24060,"Repentigny/Repentigny"," 43","L'Assomption",3,0,5,12,14,42,0,76,267
24060,"Repentigny/Repentigny"," 44","L'Assomption",4,2,3,48,11,78,6,152,384
24060,"Repentigny/Repentigny"," 45","L'Assomption",10,1,5,41,13,103,6,179,503
24060,"Repentigny/Repentigny"," 46","L'Assomption",14,3,6,40,17,107,3,190,434
24060,"Repentigny/Repentigny"," 47","L'Assomption",20,1,10,43,15,104,8,201,626
24060,"Repentigny/Repentigny"," 48","L'Assomption",13,1,6,36,8,100,4,168,418
24060,"Repentigny/Repentigny"," 49","L'Assomption",15,1,9,42,11,76,4,158,433
24060,"Repentigny/Repentigny"," 50","L'Assomption",19,2,9,32,7,88,1,158,415
24060,"Repentigny/Repentigny"," 51","Repentigny",21,1,13,88,20,99,8,250,454
24060,"Repentigny/Repentigny"," 52","Repentigny",23,4,6,92,26,107,9,267,491
24060,"Repentigny/Repentigny"," 53","Repentigny",14,3,6,67,22,91,3,206,402
24060,"Repentigny/Repentigny"," 54","Repentigny",18,0,4,68,13,103,4,210,441
24060,"Repentigny/Repentigny"," 55","Repentigny",24,1,5,64,10,71,4,179,345
24060,"Repentigny/Repentigny"," 56","Repentigny",15,3,11,79,21,78,3,210,451
24060,"Repentigny/Repentigny"," 57","Repentigny",15,0,3,48,19,64,4,153,355
24060,"Repentigny/Repentigny"," 58","Repentigny",14,2,5,42,10,84,3,160,353
24060,"Repentigny/Repentigny"," 59","Repentigny",14,2,8,57,14,94,0,189,397
24060,"Repentigny/Repentigny"," 60","Repentigny",18,2,9,61,35,116,3,244,435
24060,"Repentigny/Repentigny"," 61","Repentigny",8,2,11,94,32,92,3,242,468
24060,"Repentigny/Repentigny"," 62","Repentigny",24,0,7,94,19,102,5,251,452
24060,"Repentigny/Repentigny"," 63","Repentigny",21,0,3,63,11,105,4,207,497
24060,"Repentigny/Repentigny"," 64","Repentigny",6,2,4,49,12,104,3,180,394
24060,"Repentigny/Repentigny"," 65","Repentigny",20,1,11,60,18,85,1,196,414
24060,"Repentigny/Repentigny"," 66","Repentigny",21,0,7,87,13,48,2,178,367
24060,"Repentigny/Repentigny"," 67","Repentigny",16,1,2,66,19,49,5,158,296
24060,"Repentigny/Repentigny"," 68","Repentigny",29,0,7,130,17,93,6,282,521
24060,"Repentigny/Repentigny"," 69","Repentigny",20,2,5,82,15,60,4,188,391
24060,"Repentigny/Repentigny"," 70","Repentigny",40,1,9,91,17,94,4,256,559
24060,"Repentigny/Repentigny"," 71","Repentigny",17,1,7,76,14,67,13,195,381
24060,"Repentigny/Repentigny"," 72","Repentigny",29,2,10,115,29,89,9,283,517
24060,"Repentigny/Repentigny"," 73","Repentigny",16,1,10,80,16,98,6,227,429
24060,"Repentigny/Repentigny"," 74","Repentigny",22,0,6,57,18,82,7,192,366
24060,"Repentigny/Repentigny"," 75","Repentigny",14,1,9,41,10,74,1,150,337
24060,"Repentigny/Repentigny"," 76","Repentigny",17,2,4,56,13,85,1,178,396
24060,"Repentigny/Repentigny"," 77","Repentigny",13,5,3,76,16,101,4,218,398
24060,"Repentigny/Repentigny"," 78","Repentigny",15,0,7,82,14,93,3,214,392
24060,"Repentigny/Repentigny"," 79","Repentigny",18,2,7,64,17,88,5,201,435
24060,"Repentigny/Repentigny"," 80","Repentigny",16,2,9,36,16,101,9,189,460
24060,"Repentigny/Repentigny"," 81","Repentigny",21,2,8,36,19,82,8,176,415
24060,"Repentigny/Repentigny"," 82","Repentigny",11,1,7,51,11,58,4,143,312
24060,"Repentigny/Repentigny"," 83","Repentigny",16,0,7,73,25,87,6,214,420
24060,"Repentigny/Repentigny"," 84","Repentigny",16,2,3,76,23,94,2,216,446
24060,"Repentigny/Repentigny"," 85","Repentigny",19,1,9,72,23,92,5,221,458
24060,"Repentigny/Repentigny"," 86","Repentigny",13,3,5,58,26,87,9,201,421
24060,"Repentigny/Repentigny"," 87","Repentigny",16,2,6,73,16,105,2,220,413
24060,"Repentigny/Repentigny"," 88","Repentigny",8,1,7,88,19,79,7,209,457
24060,"Repentigny/Repentigny"," 89","Repentigny",16,3,9,92,15,119,2,256,542
24060,"Repentigny/Repentigny"," 90","Repentigny",10,1,5,65,25,103,15,224,384
24060,"Repentigny/Repentigny"," 91","Repentigny",27,2,11,90,12,115,7,264,612
24060,"Repentigny/Repentigny"," 92","Repentigny",17,0,4,61,20,95,2,199,379
24060,"Repentigny/Repentigny"," 93","Repentigny",13,0,4,46,14,82,3,162,335
24060,"Repentigny/Repentigny"," 94","Repentigny",9,1,4,63,8,115,4,204,596
24060,"Repentigny/Repentigny"," 95","Repentigny",12,2,5,55,17,36,5,132,365
24060,"Repentigny/Repentigny"," 96","Repentigny",18,3,5,51,20,106,1,204,381
24060,"Repentigny/Repentigny"," 97","Repentigny",5,4,8,79,15,58,5,174,360
24060,"Repentigny/Repentigny"," 98","Repentigny",15,3,10,64,28,108,9,237,433
24060,"Repentigny/Repentigny"," 99","Repentigny",13,2,7,70,16,76,7,191,407
24060,"Repentigny/Repentigny"," 100","Repentigny",14,0,3,66,23,89,2,197,363
24060,"Repentigny/Repentigny"," 101","Repentigny",26,2,6,87,23,96,1,241,408
24060,"Repentigny/Repentigny"," 102","Repentigny",25,5,5,74,23,95,1,228,441
24060,"Repentigny/Repentigny"," 103","Repentigny",12,0,9,51,19,103,8,202,491
24060,"Repentigny/Repentigny"," 104","Repentigny",26,0,5,90,13,48,6,188,448
24060,"Repentigny/Repentigny"," 105","Repentigny",17,1,3,81,7,70,5,184,495
24060,"Repentigny/Repentigny"," 106","Repentigny",21,0,11,100,11,59,3,205,509
24060,"Repentigny/Repentigny"," 107","Repentigny",10,1,4,95,15,59,4,188,484
24060,"Repentigny/Repentigny"," 108","Repentigny",12,0,10,56,13,79,2,172,489
24060,"Repentigny/Repentigny"," 109","Repentigny",8,2,6,80,15,80,6,197,477
24060,"Repentigny/Repentigny"," 110","Repentigny",18,2,2,63,14,48,0,147,426
24060,"Repentigny/Repentigny"," 111","Repentigny",23,0,7,64,21,105,6,226,434
24060,"Repentigny/Repentigny"," 112","Repentigny",14,0,0,75,13,38,1,141,431
24060,"Repentigny/Repentigny"," 113","Repentigny",20,2,7,53,9,65,0,156,427
24060,"Repentigny/Repentigny"," 114","Repentigny",11,1,4,40,11,68,1,136,342
24060,"Repentigny/Repentigny"," 115","Repentigny",16,1,5,35,11,53,5,126,294
24060,"Repentigny/Repentigny"," 116","Repentigny",15,1,7,37,21,64,2,147,390
24060,"Repentigny/Repentigny"," 117","Repentigny",4,2,4,25,25,51,6,117,325
