Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Uzair Baig,René De Vries,Helena Jaczek,Muhammad Ahsin Sahi,Ben Smith,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35054,"Markham--Stouffville/Markham--Stouffville"," 1","Whitchurch-Stouffville",8,15,101,24,133,0,281,370
35054,"Markham--Stouffville/Markham--Stouffville"," 2","Whitchurch-Stouffville",Merged with No./Fusionné avec le n°1,,,,,,,468
35054,"Markham--Stouffville/Markham--Stouffville"," 3","Whitchurch-Stouffville",6,22,95,27,132,0,282,362
35054,"Markham--Stouffville/Markham--Stouffville"," 4","Whitchurch-Stouffville",Merged with No./Fusionné avec le n°3,,,,,,,505
35054,"Markham--Stouffville/Markham--Stouffville"," 5","Whitchurch-Stouffville",10,23,136,33,167,4,373,568
35054,"Markham--Stouffville/Markham--Stouffville"," 6","Whitchurch-Stouffville",Merged with No./Fusionné avec le n°5,,,,,,,478
35054,"Markham--Stouffville/Markham--Stouffville"," 7","Whitchurch-Stouffville",2,9,60,11,71,2,155,500
35054,"Markham--Stouffville/Markham--Stouffville"," 8","Whitchurch-Stouffville",1,2,135,5,122,4,269,369
35054,"Markham--Stouffville/Markham--Stouffville"," 9","Whitchurch-Stouffville",Merged with No./Fusionné avec le n°8,,,,,,,453
35054,"Markham--Stouffville/Markham--Stouffville"," 10","Whitchurch-Stouffville",2,3,216,9,136,2,368,463
35054,"Markham--Stouffville/Markham--Stouffville"," 11","Whitchurch-Stouffville",Merged with No./Fusionné avec le n°10,,,,,,,389
35054,"Markham--Stouffville/Markham--Stouffville"," 12","Whitchurch-Stouffville",17,18,98,28,173,3,337,502
35054,"Markham--Stouffville/Markham--Stouffville"," 13","Whitchurch-Stouffville",Merged with No./Fusionné avec le n°12,,,,,,,368
35054,"Markham--Stouffville/Markham--Stouffville"," 14","Whitchurch-Stouffville",4,11,113,21,157,0,306,393
35054,"Markham--Stouffville/Markham--Stouffville"," 15","Whitchurch-Stouffville",Merged with No./Fusionné avec le n°14,,,,,,,537
35054,"Markham--Stouffville/Markham--Stouffville"," 16","Whitchurch-Stouffville",20,15,172,36,190,2,435,485
35054,"Markham--Stouffville/Markham--Stouffville"," 17","Whitchurch-Stouffville",Merged with No./Fusionné avec le n°16,,,,,,,504
35054,"Markham--Stouffville/Markham--Stouffville"," 18","Whitchurch-Stouffville",4,18,55,22,69,0,168,487
35054,"Markham--Stouffville/Markham--Stouffville"," 19","Whitchurch-Stouffville",8,2,26,9,38,0,83,288
35054,"Markham--Stouffville/Markham--Stouffville"," 20","Whitchurch-Stouffville",4,12,138,18,158,5,335,190
35054,"Markham--Stouffville/Markham--Stouffville"," 21","Whitchurch-Stouffville",Merged with No./Fusionné avec le n°20,,,,,,,383
35054,"Markham--Stouffville/Markham--Stouffville"," 22","Whitchurch-Stouffville",Merged with No./Fusionné avec le n°20,,,,,,,486
35054,"Markham--Stouffville/Markham--Stouffville"," 23","Whitchurch-Stouffville",5,5,63,19,74,2,168,429
35054,"Markham--Stouffville/Markham--Stouffville"," 24","Whitchurch-Stouffville",1,6,76,11,77,1,172,491
35054,"Markham--Stouffville/Markham--Stouffville"," 25","Whitchurch-Stouffville",4,8,67,20,67,0,166,440
35054,"Markham--Stouffville/Markham--Stouffville"," 26","Whitchurch-Stouffville",6,2,75,15,71,0,169,487
35054,"Markham--Stouffville/Markham--Stouffville"," 27","Whitchurch-Stouffville",1,9,92,28,51,1,182,606
35054,"Markham--Stouffville/Markham--Stouffville"," 28","Whitchurch-Stouffville",3,7,55,11,61,2,139,433
35054,"Markham--Stouffville/Markham--Stouffville"," 29","Whitchurch-Stouffville",8,18,118,35,131,2,312,408
35054,"Markham--Stouffville/Markham--Stouffville"," 30","Whitchurch-Stouffville",Merged with No./Fusionné avec le n°29,,,,,,,463
35054,"Markham--Stouffville/Markham--Stouffville"," 31","Whitchurch-Stouffville",7,9,119,30,135,3,303,393
35054,"Markham--Stouffville/Markham--Stouffville"," 32","Whitchurch-Stouffville",Merged with No./Fusionné avec le n°31,,,,,,,377
35054,"Markham--Stouffville/Markham--Stouffville"," 33","Whitchurch-Stouffville",5,5,96,8,82,2,198,551
35054,"Markham--Stouffville/Markham--Stouffville"," 34","Whitchurch-Stouffville",2,14,129,17,80,0,242,584
35054,"Markham--Stouffville/Markham--Stouffville"," 35","Whitchurch-Stouffville",1,5,115,25,74,1,221,591
35054,"Markham--Stouffville/Markham--Stouffville"," 36","Whitchurch-Stouffville",1,7,83,22,51,1,165,400
35054,"Markham--Stouffville/Markham--Stouffville"," 37","Whitchurch-Stouffville",4,12,233,43,98,3,393,918
35054,"Markham--Stouffville/Markham--Stouffville"," 38","Whitchurch-Stouffville",7,6,79,26,101,0,219,496
35054,"Markham--Stouffville/Markham--Stouffville"," 39","Whitchurch-Stouffville",2,5,83,30,86,2,208,481
35054,"Markham--Stouffville/Markham--Stouffville"," 40","Whitchurch-Stouffville",3,9,51,24,84,3,174,502
35054,"Markham--Stouffville/Markham--Stouffville"," 41","Whitchurch-Stouffville",1,21,136,24,80,5,267,744
35054,"Markham--Stouffville/Markham--Stouffville"," 42","Whitchurch-Stouffville",5,9,93,25,57,3,192,555
35054,"Markham--Stouffville/Markham--Stouffville"," 43","Whitchurch-Stouffville",2,12,96,14,78,1,203,514
35054,"Markham--Stouffville/Markham--Stouffville"," 44","Whitchurch-Stouffville",2,14,165,32,108,2,323,895
35054,"Markham--Stouffville/Markham--Stouffville"," 45","Whitchurch-Stouffville",6,14,97,32,96,1,246,720
35054,"Markham--Stouffville/Markham--Stouffville"," 46","Whitchurch-Stouffville",4,8,65,22,77,2,178,423
35054,"Markham--Stouffville/Markham--Stouffville"," 47","Whitchurch-Stouffville",5,3,84,33,82,1,208,526
35054,"Markham--Stouffville/Markham--Stouffville"," 48","Whitchurch-Stouffville",2,10,59,18,77,0,166,463
35054,"Markham--Stouffville/Markham--Stouffville"," 49","Whitchurch-Stouffville",7,8,66,12,94,0,187,519
35054,"Markham--Stouffville/Markham--Stouffville"," 50","Whitchurch-Stouffville",2,11,70,24,46,0,153,470
35054,"Markham--Stouffville/Markham--Stouffville"," 51","Whitchurch-Stouffville",6,5,90,16,78,0,195,494
35054,"Markham--Stouffville/Markham--Stouffville"," 52","Whitchurch-Stouffville",1,4,66,8,66,2,147,408
35054,"Markham--Stouffville/Markham--Stouffville"," 53","Whitchurch-Stouffville",2,4,149,29,108,1,293,398
35054,"Markham--Stouffville/Markham--Stouffville"," 54","Whitchurch-Stouffville",Merged with No./Fusionné avec le n°53,,,,,,,391
35054,"Markham--Stouffville/Markham--Stouffville"," 55","Whitchurch-Stouffville",3,3,96,6,65,2,175,85
35054,"Markham--Stouffville/Markham--Stouffville"," 56","Whitchurch-Stouffville",7,8,47,26,57,1,146,484
35054,"Markham--Stouffville/Markham--Stouffville"," 57A","Whitchurch-Stouffville",0,11,68,21,75,1,176,474
35054,"Markham--Stouffville/Markham--Stouffville"," 57B","Whitchurch-Stouffville",Merged with No./Fusionné avec le n°55,,,,,,,140
35054,"Markham--Stouffville/Markham--Stouffville"," 58","Whitchurch-Stouffville",4,7,141,34,83,7,276,475
35054,"Markham--Stouffville/Markham--Stouffville"," 59","Whitchurch-Stouffville",Merged with No./Fusionné avec le n°58,,,,,,,424
