Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Caroline-Joan Boucher,Sébastien Desautels,André Lepage,Sylvain Pariseau,Brigitte Sansoucy,Simon-Pierre Savard-Tremblay,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 187","Sainte-Marie-Madeleine",32,2,23,3,12,71,5,148,357
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 188","Sainte-Madeleine",27,1,7,6,13,56,2,112,262
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 189","Sainte-Marie-Madeleine",58,5,18,2,15,102,6,206,402
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 190","Sainte-Marie-Madeleine",26,5,20,6,17,62,4,140,307
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 191","Sainte-Madeleine",9,6,10,2,8,61,3,99,276
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 192","Sainte-Madeleine",24,4,11,8,17,67,4,135,268
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 193","Sainte-Madeleine",33,1,13,8,11,76,3,145,332
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 194","Sainte-Marie-Madeleine",18,1,18,6,14,80,4,141,305
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 195","Sainte-Marie-Madeleine",29,0,17,7,18,73,3,147,365
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 196","Sainte-Marie-Madeleine",19,2,16,5,12,66,4,124,322
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 197","Sainte-Marie-Madeleine",21,1,11,10,10,62,3,118,318
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 198","Saint-Pie",30,4,32,3,16,99,7,191,439
