Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Marc Emery,Peter Fragiskatos,Stephen Gallant,Mary Ann Hodge,Dirka Prout,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35052,"London North Centre/London-Centre-Nord"," 173","London",9,58,23,4,76,0,170,395
35052,"London North Centre/London-Centre-Nord"," 174","London",9,81,45,5,43,1,184,483
35052,"London North Centre/London-Centre-Nord"," 175A","London",8,73,26,4,65,0,176,228
35052,"London North Centre/London-Centre-Nord"," 175B","London",4,53,36,2,49,0,144,234
35052,"London North Centre/London-Centre-Nord"," 176","London",12,54,31,3,80,0,180,431
35052,"London North Centre/London-Centre-Nord"," 177","London",13,67,30,4,63,3,180,401
35052,"London North Centre/London-Centre-Nord"," 178A","London",Merged with No./Fusionné avec le n°175A,,,,,,,219
35052,"London North Centre/London-Centre-Nord"," 178B","London",Merged with No./Fusionné avec le n°175B,,,,,,,210
35052,"London North Centre/London-Centre-Nord"," 179","London",9,83,46,4,72,0,214,543
35052,"London North Centre/London-Centre-Nord"," 180","London",6,77,37,5,71,1,197,597
35052,"London North Centre/London-Centre-Nord"," 181","London",7,57,42,1,55,1,163,506
35052,"London North Centre/London-Centre-Nord"," 182A","London",Merged with No./Fusionné avec le n°147A,,,,,,,233
35052,"London North Centre/London-Centre-Nord"," 182B","London",14,51,18,5,46,1,135,229
35052,"London North Centre/London-Centre-Nord"," 183","London",10,70,55,7,55,3,200,536
35052,"London North Centre/London-Centre-Nord"," 184A","London",Merged with No./Fusionné avec le n°147A,,,,,,,152
35052,"London North Centre/London-Centre-Nord"," 184B","London",Merged with No./Fusionné avec le n°182B,,,,,,,132
35052,"London North Centre/London-Centre-Nord"," 185A","London",7,46,26,4,37,0,120,308
35052,"London North Centre/London-Centre-Nord"," 185B","London",5,31,23,4,36,0,99,256
35052,"London North Centre/London-Centre-Nord"," 186A","London",8,49,26,4,48,0,135,198
35052,"London North Centre/London-Centre-Nord"," 186B","London",12,35,20,5,45,0,117,159
35052,"London North Centre/London-Centre-Nord"," 187A","London",Merged with No./Fusionné avec le n°189A,,,,,,,253
35052,"London North Centre/London-Centre-Nord"," 187B","London",Merged with No./Fusionné avec le n°189B,,,,,,,205
35052,"London North Centre/London-Centre-Nord"," 188A","London",Merged with No./Fusionné avec le n°189A,,,,,,,258
35052,"London North Centre/London-Centre-Nord"," 188B","London",Merged with No./Fusionné avec le n°189B,,,,,,,216
35052,"London North Centre/London-Centre-Nord"," 189A","London",13,92,62,8,138,1,314,316
35052,"London North Centre/London-Centre-Nord"," 189B","London",11,88,49,6,127,2,283,299
35052,"London North Centre/London-Centre-Nord"," 190","London",Void/Supprimé,,,,,,,
35052,"London North Centre/London-Centre-Nord"," 191","London",9,32,25,3,57,1,127,426
35052,"London North Centre/London-Centre-Nord"," 192","London",17,53,47,5,74,0,196,650
35052,"London North Centre/London-Centre-Nord"," 193","London",14,81,45,8,49,2,199,574
35052,"London North Centre/London-Centre-Nord"," 194A","London",Merged with No./Fusionné avec le n°175A,,,,,,,202
35052,"London North Centre/London-Centre-Nord"," 194B","London",Merged with No./Fusionné avec le n°175B,,,,,,,164
35052,"London North Centre/London-Centre-Nord"," 195A","London",Merged with No./Fusionné avec le n°196A,,,,,,,208
35052,"London North Centre/London-Centre-Nord"," 195B","London",Merged with No./Fusionné avec le n°196B,,,,,,,166
35052,"London North Centre/London-Centre-Nord"," 196A","London",21,40,31,6,81,0,179,279
35052,"London North Centre/London-Centre-Nord"," 196B","London",7,33,18,5,50,0,113,241
35052,"London North Centre/London-Centre-Nord"," 197A","London",Merged with No./Fusionné avec le n°196A,,,,,,,204
35052,"London North Centre/London-Centre-Nord"," 197B","London",Merged with No./Fusionné avec le n°196B,,,,,,,176
35052,"London North Centre/London-Centre-Nord"," 198A","London",Merged with No./Fusionné avec le n°201A,,,,,,,204
35052,"London North Centre/London-Centre-Nord"," 198B","London",Merged with No./Fusionné avec le n°201B,,,,,,,174
35052,"London North Centre/London-Centre-Nord"," 199","London",11,47,22,4,88,0,172,555
35052,"London North Centre/London-Centre-Nord"," 200","London",5,73,48,3,55,0,184,574
35052,"London North Centre/London-Centre-Nord"," 201A","London",11,56,36,7,57,0,167,277
35052,"London North Centre/London-Centre-Nord"," 201B","London",11,46,35,4,45,0,141,231
35052,"London North Centre/London-Centre-Nord"," 202A","London",6,59,33,1,59,0,158,271
35052,"London North Centre/London-Centre-Nord"," 202B","London",13,50,25,3,43,1,135,247
35052,"London North Centre/London-Centre-Nord"," 400","London",Merged with No./Fusionné avec le n°68,,,,,,,233
35052,"London North Centre/London-Centre-Nord"," 401","London",Merged with No./Fusionné avec le n°102,,,,,,,20
35052,"London North Centre/London-Centre-Nord"," 402","London",Merged with No./Fusionné avec le n°107,,,,,,,186
35052,"London North Centre/London-Centre-Nord"," 403","London",Merged with No./Fusionné avec le n°118C,,,,,,,42
35052,"London North Centre/London-Centre-Nord"," 404A","London",Merged with No./Fusionné avec le n°185A,,,,,,,144
35052,"London North Centre/London-Centre-Nord"," 404B","London",Merged with No./Fusionné avec le n°185B,,,,,,,126
35052,"London North Centre/London-Centre-Nord"," 405A","London",Merged with No./Fusionné avec le n°185A,,,,,,,111
35052,"London North Centre/London-Centre-Nord"," 405B","London",Merged with No./Fusionné avec le n°185B,,,,,,,89
35052,"London North Centre/London-Centre-Nord"," 406A","London",Merged with No./Fusionné avec le n°185A,,,,,,,134
35052,"London North Centre/London-Centre-Nord"," 406B","London",Merged with No./Fusionné avec le n°185B,,,,,,,113
35052,"London North Centre/London-Centre-Nord"," 407A","London",Merged with No./Fusionné avec le n°186A,,,,,,,122
35052,"London North Centre/London-Centre-Nord"," 407B","London",Merged with No./Fusionné avec le n°186B,,,,,,,96
35052,"London North Centre/London-Centre-Nord"," 408A","London",Merged with No./Fusionné avec le n°186A,,,,,,,93
35052,"London North Centre/London-Centre-Nord"," 408B","London",Merged with No./Fusionné avec le n°186B,,,,,,,96
35052,"London North Centre/London-Centre-Nord"," 409A","London",Merged with No./Fusionné avec le n°202A,,,,,,,72
35052,"London North Centre/London-Centre-Nord"," 409B","London",Merged with No./Fusionné avec le n°202B,,,,,,,72
35052,"London North Centre/London-Centre-Nord"," 410A","London",Merged with No./Fusionné avec le n°186A,,,,,,,119
35052,"London North Centre/London-Centre-Nord"," 410B","London",Merged with No./Fusionné avec le n°186B,,,,,,,104
35052,"London North Centre/London-Centre-Nord"," 411A","London",Merged with No./Fusionné avec le n°202A,,,,,,,101
35052,"London North Centre/London-Centre-Nord"," 411B","London",Merged with No./Fusionné avec le n°202B,,,,,,,98
35052,"London North Centre/London-Centre-Nord"," 412A","London",Merged with No./Fusionné avec le n°202A,,,,,,,129
35052,"London North Centre/London-Centre-Nord"," 412B","London",Merged with No./Fusionné avec le n°202B,,,,,,,80
35052,"London North Centre/London-Centre-Nord"," 413A","London",Merged with No./Fusionné avec le n°202A,,,,,,,78
35052,"London North Centre/London-Centre-Nord"," 413B","London",Merged with No./Fusionné avec le n°202B,,,,,,,59
35052,"London North Centre/London-Centre-Nord"," 414A","London",Merged with No./Fusionné avec le n°202A,,,,,,,81
35052,"London North Centre/London-Centre-Nord"," 414B","London",Merged with No./Fusionné avec le n°202B,,,,,,,89
35052,"London North Centre/London-Centre-Nord"," 415A","London",Merged with No./Fusionné avec le n°186A,,,,,,,114
35052,"London North Centre/London-Centre-Nord"," 415B","London",Merged with No./Fusionné avec le n°186B,,,,,,,100
35052,"London North Centre/London-Centre-Nord"," 500","London",Merged with No./Fusionné avec le n°5,,,,,,,93
35052,"London North Centre/London-Centre-Nord"," 501","Mobile poll/Bureau itinérant",2,17,10,2,2,1,34,106
35052,"London North Centre/London-Centre-Nord"," 502","Mobile poll/Bureau itinérant",0,42,36,1,10,0,89,131
35052,"London North Centre/London-Centre-Nord"," 503","Mobile poll/Bureau itinérant",0,35,0,2,3,0,40,55
35052,"London North Centre/London-Centre-Nord"," 504","Mobile poll/Bureau itinérant",0,44,20,1,8,1,74,98
35052,"London North Centre/London-Centre-Nord"," 505","London ",Merged with No./Fusionné avec le n°138,,,,,,,149
35052,"London North Centre/London-Centre-Nord"," 506","Mobile poll/Bureau itinérant",0,20,15,0,5,4,44,175
35052,"London North Centre/London-Centre-Nord"," 507","Mobile poll/Bureau itinérant",2,50,25,3,9,4,93,143
35052,"London North Centre/London-Centre-Nord"," 508","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
35052,"London North Centre/London-Centre-Nord"," 509","London",Merged with No./Fusionné avec le n°183,,,,,,,70
35052,"London North Centre/London-Centre-Nord"," 510","Mobile poll/Bureau itinérant",3,28,10,5,12,1,59,199
35052,"London North Centre/London-Centre-Nord"," 511","Mobile poll/Bureau itinérant",5,39,23,2,8,2,79,115
35052,"London North Centre/London-Centre-Nord"," 512","London ",Merged with No./Fusionné avec le n°177,,,,,,,201
35052,"London North Centre/London-Centre-Nord"," 513","Mobile poll/Bureau itinérant",1,18,8,0,5,2,34,59
35052,"London North Centre/London-Centre-Nord"," 514","London",Merged with No./Fusionné avec le n°173,,,,,,,58
35052,"London North Centre/London-Centre-Nord"," 515","Mobile poll/Bureau itinérant",0,10,10,2,2,4,28,95
35052,"London North Centre/London-Centre-Nord"," 516","Mobile poll/Bureau itinérant",2,32,22,0,7,1,64,65
35052,"London North Centre/London-Centre-Nord"," 517","Mobile poll/Bureau itinérant",2,36,12,0,10,0,60,57
35052,"London North Centre/London-Centre-Nord"," 518","Mobile poll/Bureau itinérant",1,30,24,3,4,3,65,121
35052,"London North Centre/London-Centre-Nord"," 519","Mobile poll/Bureau itinérant",2,49,38,5,16,4,114,163
35052,"London North Centre/London-Centre-Nord"," 600","London",107,818,599,22,311,11,1868,
35052,"London North Centre/London-Centre-Nord"," 601","London",61,656,428,29,266,10,1450,
35052,"London North Centre/London-Centre-Nord"," 602","London",61,1065,815,44,285,6,2276,
35052,"London North Centre/London-Centre-Nord"," 603","London",48,938,950,19,230,12,2197,
35052,"London North Centre/London-Centre-Nord"," 604","London",50,658,624,28,140,4,1504,
35052,"London North Centre/London-Centre-Nord"," 605","London",46,803,662,20,200,3,1734,
35052,"London North Centre/London-Centre-Nord"," 606","London",104,782,651,32,290,6,1865,
35052,"London North Centre/London-Centre-Nord"," 607","London",62,357,245,20,249,16,949,
35052,"London North Centre/London-Centre-Nord"," 608","London",63,366,243,25,265,9,971,
35052,"London North Centre/London-Centre-Nord"," 609","London",45,595,298,36,315,7,1296,
35052,"London North Centre/London-Centre-Nord"," 610","London",43,494,289,18,210,5,1059,
35052,"London North Centre/London-Centre-Nord"," 611","London",81,644,367,26,365,4,1487,
35052,"London North Centre/London-Centre-Nord"," 612","London",53,458,218,23,349,13,1114,
35052,"London North Centre/London-Centre-Nord"," 613","London",42,452,201,29,360,5,1089,
35052,"London North Centre/London-Centre-Nord"," 614","London",66,273,117,16,327,5,804,
35052,"London North Centre/London-Centre-Nord"," 615","London",90,435,363,27,371,10,1296,
35052,"London North Centre/London-Centre-Nord"," 616","London",102,378,207,28,492,6,1213,
35052,"London North Centre/London-Centre-Nord"," 617","London",65,589,354,31,365,5,1409,
35052,"London North Centre/London-Centre-Nord",,Group 1/Groupe 1, 29,336,171,19,204,48,807,378
35052,"London North Centre/London-Centre-Nord",,Group 2/Groupe 2, 73,1554,836,45,911,110,3529,
